frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
2553,85.185,,,0,1,0,,
2556,85.285,3746,1200,1,1,0,1404,116
2559,85.385,3746,1200,1,1,0,,
2562,85.485,2729,1459,1,1,0,213,714
2565,85.585,2817,1430,1,1,0,231,697
2568,85.686,2723,1435,1,1,0,207,691
2571,85.786,3116,1461,1,1,1,475,865
2574,85.886,3035,1549,1,1,1,594,1228
2577,85.986,2531,1642,1,1,0,38,510
2580,86.086,2893,1509,1,1,1,57,871
2583,86.186,3228,1371,1,1,0,448,685
2586,86.286,3069,1495,1,1,1,479,950
2589,86.386,3136,1481,1,1,0,582,983
2592,86.486,3098,1487,1,1,1,513,954
2595,86.587,3520,1302,1,1,0,977,544
2598,86.687,3530,1298,1,1,0,994,530
2601,86.787,3527,1297,1,1,0,972,531
2604,86.887,3524,1299,1,1,0,969,536
2607,86.987,3520,1302,1,1,0,977,544
2610,87.087,3517,1306,1,1,0,998,555
2613,87.187,3510,1312,1,1,0,1016,572
2616,87.287,3427,1366,1,1,1,1091,772
2619,87.387,3524,1301,1,1,0,996,541
2622,87.487,3427,1366,1,1,1,1091,772
2625,87.588,3427,1366,1,1,1,1091,772
2628,87.688,3739,1205,1,1,0,1444,121
2631,87.788,3427,1366,1,1,1,1091,772
2634,87.888,3519,1314,1,1,0,1113,574
2637,87.988,3518,1313,1,1,0,1098,574
2640,88.088,3513,1315,1,1,0,1079,579
2643,88.188,3505,1319,1,1,0,1070,593
2646,88.288,3504,1319,1,1,0,1070,596
2649,88.388,3506,1318,1,1,0,1067,591
2652,88.488,3510,1314,1,1,0,1052,579
2655,88.588,3515,1311,1,1,0,1039,568
2658,88.689,3515,1310,1,1,0,1026,565
2661,88.789,3514,1310,1,1,0,1021,566
2664,88.889,3514,1310,1,1,0,1029,567
2667,88.989,3416,1367,1,1,1,1015,764
2670,89.089,280,1710,1,1,0,130,598
2673,89.189,280,1710,1,1,0,110,597
2676,89.289,1132,1152,1,1,0,102,590
2679,89.389,280,1710,1,1,0,89,571
2682,89.489,280,1710,1,1,1,67,606
2685,89.59,3500,1313,1,1,0,970,579
2688,89.69,3499,1313,1,1,0,959,579
2691,89.79,3496,1313,1,1,0,941,579
2694,89.89,3490,1316,1,1,0,939,590
2697,89.99,3493,1315,1,1,0,943,585
2700,90.09,3495,1313,1,1,0,939,580
2703,90.19,3498,1309,1,1,0,918,570
2706,90.29,3501,1305,1,1,0,896,560
2709,90.39,3511,1298,1,1,0,888,541
2712,90.49,3519,1293,1,1,0,888,528
2715,90.591,3519,1290,1,1,0,864,523
2718,90.691,3367,1377,1,1,1,823,767
2721,90.791,3446,1355,1,1,0,1090,726
2724,90.891,3445,1354,1,1,0,1066,720
2727,90.991,3367,1377,1,1,1,823,767
2730,91.091,3404,1356,1,1,0,835,705
2733,91.191,3337,1383,1,1,1,736,767
2736,91.291,3621,1280,1,1,0,1631,381
2739,91.391,3621,1280,1,1,0,,
2742,91.491,3502,1322,1,1,0,1089,604
2745,91.591,3500,1323,1,1,0,1089,609
2748,91.692,3499,1324,1,1,0,1089,611
2751,91.792,3502,1322,1,1,0,1089,604
2754,91.892,3501,1322,1,1,0,1084,606
2757,91.992,3498,1323,1,1,0,1076,609
2760,92.092,3502,1320,1,1,0,1068,599
2763,92.192,3504,1318,1,1,0,1058,593
2766,92.292,3502,1318,1,1,0,1045,593
2769,92.392,3502,1317,1,1,0,1024,589
2772,92.492,3490,1324,1,1,0,1023,613
2775,92.593,3374,1376,1,1,1,851,769
2778,92.693,2658,1351,1,1,0,184,631
2781,92.793,2800,1341,1,1,0,208,627
2784,92.893,2585,1633,1,1,1,211,926
2787,92.993,3610,1268,1,1,0,1226,402
2790,93.093,3377,1374,1,1,1,852,763
2793,93.193,3669,1235,1,1,0,1239,287
2796,93.293,3666,1238,1,1,0,1263,291
2799,93.393,3664,1240,1,1,0,1287,292
2802,93.493,3662,1243,1,1,0,1311,294
2805,93.594,3662,1243,1,1,0,,
2808,93.694,3392,1381,1,1,0,1016,819
2811,93.794,3400,1378,1,1,0,1039,811
2814,93.894,3409,1375,1,1,0,1062,802
2817,93.994,3416,1372,1,1,0,1086,796
2820,94.094,3421,1366,1,1,1,1046,766
2823,94.194,3562,1277,1,1,0,977,472
2826,94.294,3558,1282,1,1,0,999,482
2829,94.394,3553,1286,1,1,0,1021,493
2832,94.494,3434,1364,1,1,1,1121,768
2835,94.594,3491,1280,1,1,0,694,522
2838,94.695,3358,1379,1,1,1,789,764
2841,94.795,3520,1334,1,1,0,1543,660
2844,94.895,3524,1332,1,1,0,1558,652
2847,94.995,3524,1331,1,1,0,1534,646
2850,95.095,3524,1331,1,1,0,,
