frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
118,3.937,17,1548,1,1,0,575,859
121,4.037,5,1556,1,1,0,581,858
124,4.137,,,0,1,0,588,858
127,4.238,,,0,1,0,595,859
130,4.338,,,0,1,0,603,858
133,4.438,,,0,1,0,611,861
136,4.538,,,0,1,0,621,863
139,4.638,,,0,1,0,631,865
142,4.738,,,0,1,0,643,866
145,4.838,,,0,1,0,655,867
148,4.938,,,0,1,0,667,868
151,5.038,,,0,1,0,679,869
154,5.138,,,0,1,0,689,871
157,5.239,,,0,1,0,700,870
160,5.339,,,0,1,0,709,871
163,5.439,,,0,1,0,719,871
166,5.539,,,0,1,0,724,871
169,5.639,,,0,1,0,726,871
172,5.739,,,0,1,0,725,873
175,5.839,,,0,1,0,723,872
178,5.939,,,0,1,0,719,871
181,6.039,,,0,1,0,712,871
184,6.139,,,0,1,0,703,874
187,6.24,,,0,1,0,689,877
190,6.34,,,0,1,0,678,878
193,6.44,,,0,1,0,665,879
196,6.54,,,0,1,0,661,879
199,6.64,,,0,1,0,649,879
202,6.74,,,0,1,0,649,878
205,6.84,,,0,1,0,649,880
208,6.94,,,0,1,0,655,878
211,7.04,,,0,1,0,654,879
214,7.14,,,0,1,0,645,880
217,7.241,,,0,1,0,642,880
220,7.341,,,0,1,0,638,880
223,7.441,,,0,1,0,643,878
226,7.541,,,0,1,0,655,878
229,7.641,,,0,1,0,656,879
232,7.741,,,0,1,0,659,880
235,7.841,,,0,1,0,669,879
238,7.941,,,0,1,0,668,880
241,8.041,,,0,1,0,671,879
244,8.141,,,0,1,0,676,880
247,8.242,,,0,1,0,673,878
250,8.342,,,0,1,0,674,881
253,8.442,,,0,1,0,680,879
256,8.542,,,0,1,0,687,879
259,8.642,,,0,1,0,681,880
262,8.742,,,0,1,0,681,879
265,8.842,,,0,1,0,681,879
268,8.942,,,0,1,0,681,880
271,9.042,,,0,1,0,681,880
274,9.142,,,0,1,0,681,880
277,9.243,,,0,1,0,681,881
280,9.343,,,0,1,0,681,880
283,9.443,,,0,1,0,681,882
286,9.543,,,0,1,0,681,882
289,9.643,,,0,1,0,681,883
292,9.743,,,0,1,0,679,883
295,9.843,,,0,1,0,681,886
298,9.943,,,0,1,0,681,877
301,10.043,268,1149,1,1,0,681,881
304,10.143,133,1328,1,1,0,666,880
307,10.244,10,1499,1,1,0,681,882
310,10.344,268,1292,1,1,0,681,881
313,10.444,,,0,1,0,681,882
316,10.544,290,1051,1,1,0,680,882
319,10.644,,,0,1,0,681,883
322,10.744,442,868,1,1,0,681,883
325,10.844,,,0,1,0,681,884
328,10.944,,,0,1,0,681,883
331,11.044,,,0,1,0,681,884
334,11.144,,,0,1,0,681,883
337,11.245,,,0,1,0,681,884
340,11.345,,,0,1,0,678,883
343,11.445,,,0,1,0,681,884
346,11.545,,,0,1,0,679,885
349,11.645,,,0,1,0,681,886
352,11.745,175,1594,1,1,0,681,885
355,11.845,175,1594,1,1,0,681,883
358,11.945,175,1594,1,1,0,681,884
361,12.045,,,0,1,0,681,885
364,12.145,,,0,1,0,680,885
367,12.246,370,1059,1,1,0,680,885
370,12.346,351,1077,1,1,0,681,886
373,12.446,355,1066,1,1,0,657,882
376,12.546,,,0,1,0,681,882
379,12.646,,,0,1,0,688,883
382,12.746,139,1344,1,1,0,681,884
385,12.846,88,1407,1,1,0,681,885
388,12.946,41,1464,1,1,0,681,885
391,13.046,363,1053,1,1,0,679,885
394,13.146,338,441,1,1,0,681,885
397,13.247,338,441,1,1,0,681,885
400,13.347,338,441,1,1,0,681,885
403,13.447,338,441,1,1,0,681,885
406,13.547,338,441,1,1,0,681,885
409,13.647,337,441,1,1,0,680,885
412,13.747,338,441,1,1,0,681,885
415,13.847,338,440,1,1,0,681,884
