frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
725,24.191,1,green,1580,1261,0.4642,0.737,0.0,0.0,0.0,backcourt,0,14.6,,12.1,none,,,1670.0,1460.0,0,0,right,,638.0,360.0,789.0,654.0,1760,1759,0.0,41.0,0.0,0,43.63,36.85,40.17,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,725_360_638_654_789,image_px,observed,none
725,24.191,5,green,1760,1659,0.517,0.9696,0.0,0.0,0.0,backcourt,0,2.8,,12.1,none,,,1670.0,1460.0,0,0,right,,1594.0,173.0,1726.0,432.0,1760,1759,0.0,46.8,0.0,0,48.6,48.48,46.51,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
728,24.291,1,green,1687,1473,0.4956,0.8609,79.16,79.16,63.2,backcourt,0,8.2,6.2,5.5,none,,,1723.5,1566.0,0,0,right,,677.0,360.0,829.0,657.0,1760,1759,0.0,45.7,-59.48,0,46.59,43.05,45.1,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.3333333333333333,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,728_360_677_657_829,image_px,observed,none
728,24.291,5,green,1760,1659,0.517,0.9696,0.0,0.0,0.0,backcourt,0,2.8,1.3,5.5,none,,,1723.5,1566.0,0,0,right,,1576.0,202.0,1747.0,431.0,1760,1759,0.0,46.8,0.0,0,48.6,48.48,46.51,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.3333333333333333,green#?,,,0,2,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
728,24.291,6,white,1640,1694,0.4818,0.9901,0.0,0.0,0.0,backcourt,0,3.8,3.5,4.7,none,,,1723.5,1679.5,0,0,right,,1070.0,82.0,1163.0,168.0,1760,1759,0.0,47.1,0.0,0,45.29,49.5,46.94,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.3333333333333333,white#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,728_82_1070_168_1163,image_px,observed,none
728,24.291,8,white,1807,1665,0.5308,0.9731,0.0,0.0,0.0,backcourt,0,2.9,1.3,4.7,none,,,1723.5,1679.5,0,0,right,,-15.0,112.0,96.0,323.0,1760,1759,0.0,45.7,0.0,0,49.9,48.66,45.49,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.3333333333333333,white#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
731,24.391,3,green,1750,1649,0.5141,0.9638,0.0,0.0,0.0,backcourt,0,3.1,0.4,,none,,,1750.0,1649.0,0,0,right,,1161.0,265.0,1338.0,492.0,1760,1759,0.0,46.9,0.0,0,48.33,48.19,46.6,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
731,24.391,9,white,1760,1659,0.517,0.9696,0.0,0.0,0.0,backcourt,0,2.8,0.4,7.5,none,,,1895.5,1669.0,0,0,right,,1609.0,177.0,1747.0,435.0,1760,1759,0.0,46.8,0.0,0,48.6,48.48,46.51,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
731,24.391,10,white,2031,1679,0.5967,0.9813,0.0,0.0,0.0,backcourt,0,7.8,7.8,7.5,none,,,1895.5,1669.0,0,0,right,,684.0,106.0,798.0,338.0,1760,1759,0.0,40.6,0.0,0,56.09,49.06,40.57,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,731_106_684_338_798,image_px,observed,none
734,24.491,5,green,1760,1659,0.517,0.9696,0.0,0.0,0.0,backcourt,0,2.8,1.5,,none,,,1760.0,1659.0,0,0,right,,1614.0,180.0,1734.0,436.0,1760,1759,0.0,46.8,0.0,0,48.6,48.48,46.51,0,0,0,1.0,unclassified,0,0.0,0.0,,,3,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,4,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
