frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
819,27.327,,,0,1,0,282,340
822,27.427,,,0,1,0,281,357
825,27.527,,,0,1,0,300,358
828,27.628,,,0,1,0,323,357
831,27.728,,,0,1,0,337,358
834,27.828,,,0,1,0,,
837,27.928,,,0,1,0,375,345
840,28.028,,,0,1,0,375,345
843,28.128,,,0,1,0,375,346
846,28.228,,,0,1,0,375,348
849,28.328,,,0,1,0,376,345
852,28.428,,,0,1,0,377,338
855,28.529,,,0,1,0,377,338
858,28.629,,,0,1,0,370,344
861,28.729,,,0,1,0,,
864,28.829,,,0,1,0,339,357
867,28.929,,,0,1,0,332,359
870,29.029,,,0,1,0,323,358
873,29.129,,,0,1,0,312,358
876,29.229,,,0,1,0,299,358
879,29.329,,,0,1,0,286,358
882,29.429,,,0,1,0,271,360
885,29.53,,,0,1,0,254,362
888,29.63,,,0,1,0,237,364
891,29.73,,,0,1,0,219,364
894,29.83,,,0,1,0,198,365
897,29.93,,,0,1,0,186,365
900,30.03,,,0,1,0,174,366
903,30.13,,,0,1,0,166,368
906,30.23,212,1406,1,1,0,160,366
909,30.33,42,156,1,1,0,158,366
912,30.43,42,156,1,1,0,158,367
915,30.53,46,156,1,1,0,166,366
918,30.631,49,155,1,1,0,172,365
921,30.731,55,154,1,1,0,184,362
924,30.831,63,153,1,1,0,201,360
927,30.931,69,154,1,1,0,214,362
930,31.031,78,152,1,1,0,231,359
933,31.131,85,151,1,1,0,245,357
936,31.231,91,149,1,1,0,258,354
939,31.331,99,148,1,1,0,274,352
942,31.431,107,148,1,1,0,290,351
945,31.532,114,146,1,1,0,303,348
948,31.632,120,145,1,1,0,315,347
951,31.732,124,145,1,1,0,323,347
954,31.832,129,145,1,1,0,334,346
957,31.932,134,144,1,1,0,343,345
960,32.032,138,145,1,1,0,351,346
963,32.132,143,144,1,1,0,361,345
966,32.232,146,144,1,1,0,368,345
969,32.332,151,144,1,1,0,378,345
972,32.432,154,145,1,1,0,384,347
975,32.532,157,143,1,1,0,390,344
978,32.633,160,143,1,1,0,395,343
981,32.733,163,143,1,1,0,402,344
984,32.833,166,143,1,1,0,408,343
987,32.933,169,142,1,1,0,414,342
990,33.033,173,143,1,1,0,422,343
993,33.133,176,143,1,1,0,428,344
996,33.233,180,143,1,1,0,436,344
999,33.333,183,143,1,1,0,443,344
1002,33.433,185,145,1,1,0,446,347
1005,33.534,186,145,1,1,0,449,347
1008,33.634,186,145,1,1,0,450,348
1011,33.734,186,146,1,1,0,449,350
1014,33.834,187,144,1,1,0,451,346
1017,33.934,181,146,1,1,0,440,350
1020,34.034,180,146,1,1,0,437,349
1023,34.134,179,146,1,1,0,436,350
1026,34.234,178,147,1,1,0,434,351
1029,34.334,167,149,1,1,0,411,355
1032,34.434,171,146,1,1,0,419,350
1035,34.535,168,147,1,1,0,413,351
1038,34.635,164,147,1,1,0,406,352
1041,34.735,159,147,1,1,0,395,351
1044,34.835,153,147,1,1,0,382,350
1047,34.935,146,146,1,1,0,369,349
1050,35.035,139,146,1,1,0,355,349
1053,35.135,135,147,1,1,0,347,351
1056,35.235,134,146,1,1,0,343,349
1059,35.335,132,144,1,1,0,339,344
1062,35.435,134,144,1,1,0,343,344
1065,35.535,137,143,1,1,0,349,342
1068,35.636,139,142,1,1,0,353,341
1071,35.736,142,142,1,1,0,358,340
1074,35.836,142,142,1,1,0,359,341
1077,35.936,142,143,1,1,0,360,343
1080,36.036,142,142,1,1,0,359,341
1083,36.136,141,143,1,1,0,358,343
1086,36.236,141,143,1,1,0,357,342
1089,36.336,140,143,1,1,0,356,343
1092,36.436,139,143,1,1,0,353,343
1095,36.537,139,143,1,1,0,353,343
1098,36.637,136,143,1,1,0,346,343
1101,36.737,134,142,1,1,0,343,341
1104,36.837,135,143,1,1,0,344,343
1107,36.937,138,145,1,1,0,351,346
1110,37.037,142,147,1,1,0,360,351
1113,37.137,147,150,1,1,0,371,356
1116,37.237,152,154,1,1,0,383,364
