frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
1331,44.367,1122,1319,1,1,0,1132,688
1334,44.467,1194,1348,1,1,0,1125,702
1337,44.567,1158,1332,1,1,0,1114,714
1340,44.667,889,1236,1,1,1,1516,945
1343,44.767,1161,1334,1,1,0,1297,335
1346,44.867,1824,1620,1,1,0,1277,349
1349,44.967,1565,1538,1,1,0,1257,338
1352,45.067,781,1317,1,1,1,1231,824
1355,45.167,272,868,1,1,0,214,614
1358,45.267,272,868,1,1,0,,
1361,45.367,1279,1228,1,1,0,651,531
1364,45.467,1279,1228,1,1,0,,
1367,45.567,1017,1148,1,1,0,461,495
1370,45.667,1749,1376,1,1,1,805,552
1373,45.767,1242,1242,1,1,0,441,421
1376,45.867,1242,1242,1,1,0,,
1379,45.967,563,983,1,1,0,229,538
1382,46.067,563,983,1,1,0,,
1385,46.167,,,0,1,0,1431,439
1388,46.267,,,0,1,0,,
1391,46.367,,,0,1,0,1279,435
1394,46.467,,,0,1,0,,
1397,46.567,,,0,1,0,,
1400,46.667,,,0,1,0,197,779
1403,46.767,,,0,1,0,215,777
1406,46.867,,,0,1,0,,
1409,46.967,,,0,1,0,1136,678
1412,47.067,,,0,1,0,1160,682
1415,47.167,,,0,1,0,1172,682
1418,47.267,,,0,1,0,1192,694
1421,47.367,,,0,1,0,,
1424,47.467,1170,1198,1,1,0,528,377
1427,47.567,369,479,1,1,1,745,947
1430,47.667,,,0,1,0,145,94
1433,47.767,,,0,1,0,,
1436,47.867,,,0,1,0,,
1439,47.967,826,168,1,1,0,994,260
1442,48.067,826,168,1,1,0,,
1445,48.167,535,295,1,1,0,810,493
1448,48.267,487,339,1,1,1,788,587
1451,48.367,1509,250,1,1,0,1670,399
1454,48.467,1504,251,1,1,0,1666,400
1457,48.567,1498,250,1,1,0,1660,399
1460,48.667,1472,251,1,1,0,1637,400
1463,48.767,1447,252,1,1,0,1616,402
1466,48.867,1189,358,1,1,1,1507,622
1469,48.967,1395,172,1,1,0,1479,264
1472,49.067,1254,180,1,1,1,1368,278
1475,49.167,23,394,1,1,0,120,170
1478,49.267,9,393,1,1,0,120,193
1481,49.367,,,0,1,0,245,642
1484,49.467,518,148,1,1,0,721,228
1487,49.567,343,393,1,1,1,668,714
1490,49.667,294,389,1,1,1,615,706
1493,49.767,458,117,1,1,0,658,180
1496,49.867,445,117,1,1,0,647,181
1499,49.967,438,111,1,1,0,639,172
1502,50.067,468,109,1,1,0,663,169
1505,50.167,637,452,1,1,1,1029,865
1508,50.267,617,87,1,1,0,775,136
1511,50.367,393,430,1,1,1,742,809
1514,50.467,469,423,1,1,1,821,790
1517,50.567,1506,181,1,1,0,1583,279
1520,50.667,1476,348,1,1,1,1776,596
1523,50.767,224,114,1,1,0,463,177
1526,50.867,224,114,1,1,0,,
1529,50.967,1515,307,1,1,0,1753,509
1532,51.067,1314,466,1,1,1,1799,892
1535,51.167,1207,303,1,1,0,1457,503
1538,51.267,1231,304,1,1,0,1481,506
1541,51.367,1240,312,1,1,0,1499,522
1544,51.467,1245,321,1,1,0,1515,541
1547,51.567,1241,332,1,1,0,1524,563
1550,51.667,1228,343,1,1,0,1526,587
1553,51.767,1222,349,1,1,0,1528,601
1556,51.867,1222,349,1,1,0,,
1559,51.967,350,359,1,1,0,659,633
1562,52.067,299,450,1,1,1,648,864
1565,52.167,1432,37,1,1,0,1379,67
1568,52.267,1432,37,1,1,0,,
1571,52.367,473,345,1,1,0,777,600
1574,52.467,331,476,1,1,1,699,939
1577,52.567,,,0,1,0,163,432
1580,52.667,,,0,1,0,182,436
1583,52.767,,,0,1,0,205,438
1586,52.867,,,0,1,0,,
1589,52.967,,,0,1,0,,
1592,53.067,511,279,1,1,0,778,460
1595,53.167,474,382,1,1,1,800,685
1598,53.267,1565,16,1,1,0,1460,40
1601,53.367,1565,16,1,1,0,,
1604,53.467,580,251,1,1,0,827,406
1607,53.567,607,248,1,1,0,850,399
1610,53.667,642,350,1,1,1,951,610
1613,53.767,1486,242,1,1,0,1639,384
1616,53.867,1506,243,1,1,0,1658,386
1619,53.967,1488,249,1,1,0,1650,397
1622,54.067,1465,246,1,1,0,1626,392
1625,54.167,1463,246,1,1,0,1623,391
1628,54.267,1447,243,1,1,0,1605,385
