frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
1708,56.933,5,green,557,1341,0.1636,0.7838,0.0,0.0,0.0,mid_range,0,3.0,,,none,,,557.0,1341.0,0,0,left,,1611.0,394.0,1899.0,1027.0,449,1364,0.0,17.4,0.0,0,15.38,39.19,17.43,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1711,57.033,5,green,550,1342,0.1616,0.7843,2.36,2.36,171.9,mid_range,0,2.9,1.0,,none,,,550.0,1342.0,0,0,left,,1435.0,192.0,1705.0,844.0,449,1364,0.0,17.3,1.22,0,15.19,39.22,17.35,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1711,57.033,10,white,519,1358,0.1525,0.7937,0.0,0.0,0.0,mid_range,0,1.9,1.0,,none,,,519.0,1358.0,0,0,left,,634.0,431.0,853.0,1035.0,449,1364,0.0,17.2,0.0,0,14.33,39.68,17.27,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1714,57.133,5,green,537,1344,0.1578,0.7855,4.38,2.02,171.3,mid_range,1,0.1,0.6,,shot,,,537.0,1344.0,0,0,left,0.6,1238.0,149.0,1488.0,585.0,533,1344,86.35,17.2,2.15,0,14.83,39.28,17.19,0,0,1,1.0,unclassified,0,0.0,24.0,,,4,,0.0,0.0,drive,,,0.0,0,unknown,,,217.256632682283,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1714,57.133,10,white,520,1357,0.1528,0.7931,0.47,0.47,315.0,mid_range,0,0.5,0.6,,none,,,520.0,1357.0,0,0,left,0.6,639.0,439.0,872.0,1032.0,533,1344,86.35,17.2,0.07,0,14.36,39.66,17.26,0,0,1,1.0,unclassified,0,0.0,24.0,,,4,,0.0,0.0,drive,,,0.0,0,unknown,,,217.256632682283,white#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1717,57.233,5,green,515,1349,0.1513,0.7884,7.52,3.14,167.2,mid_range,0,0.5,1.1,,none,,,515.0,1349.0,0,0,left,,981.0,51.0,1225.0,390.0,533,1344,0.0,16.9,2.99,0,14.22,39.42,16.98,0,0,2,1.0,unclassified,0,0.0,23.9,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,1.3743685418725535,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1717,57.233,9,white,760,1288,0.2233,0.7528,0.0,0.0,0.0,mid_range,0,6.5,7.0,8.0,none,,,619.0,1324.0,0,0,left,,210.0,57.0,450.0,534.0,533,1344,0.0,20.6,0.0,0,20.99,37.64,20.18,0,0,2,1.0,unclassified,0,0.0,23.9,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,1.3743685418725535,white#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,1717_57_210_534_450,image_px,observed,none
1717,57.233,10,white,478,1360,0.1404,0.7949,14.04,13.57,175.9,mid_range,0,1.6,1.1,8.0,none,,,619.0,1324.0,0,0,left,,670.0,187.0,883.0,595.0,533,1344,0.0,16.6,6.74,0,13.2,39.74,16.75,0,0,2,1.0,unclassified,0,0.0,23.9,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,1.3743685418725535,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1720,57.333,5,green,526,1348,0.1545,0.7878,3.68,-3.84,354.8,mid_range,0,0.2,1.2,,none,,,526.0,1348.0,0,0,left,,985.0,51.0,1246.0,590.0,533,1344,0.0,17.1,-1.95,0,14.53,39.39,17.12,0,0,3,1.0,unclassified,0,0.0,23.8,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,1.2018504251546631,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
1720,57.333,9,white,655,1316,0.1924,0.7691,36.22,36.22,165.1,mid_range,0,3.5,3.7,4.9,none,,,569.0,1337.5,0,0,left,,-14.0,20.0,236.0,423.0,533,1344,0.0,18.8,19.48,0,18.09,38.46,18.6,0,0,3,1.0,unclassified,0,0.0,23.8,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,1.2018504251546631,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
