frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
1974,65.866,,,0,1,0,1485,671
1977,65.966,,,0,1,0,1482,670
1980,66.066,,,0,1,0,1478,670
1983,66.166,,,0,1,0,1475,670
1986,66.266,,,0,1,0,1470,669
1989,66.366,,,0,1,0,1467,669
1992,66.466,,,0,1,0,1462,669
1995,66.567,,,0,1,0,1458,669
1998,66.667,,,0,1,0,1455,669
2001,66.767,,,0,1,0,1454,669
2004,66.867,,,0,1,0,1450,668
2007,66.967,,,0,1,0,1449,668
2010,67.067,,,0,1,0,1448,668
2013,67.167,,,0,1,0,1447,668
2016,67.267,,,0,1,0,1448,669
2019,67.367,,,0,1,0,1450,669
2022,67.467,,,0,1,0,1450,669
2025,67.567,,,0,1,0,1450,669
2028,67.668,,,0,1,0,1451,669
2031,67.768,,,0,1,0,1451,669
2034,67.868,,,0,1,0,1452,670
2037,67.968,,,0,1,0,1453,670
2040,68.068,,,0,1,0,1453,670
2043,68.168,,,0,1,0,1454,671
2046,68.268,,,0,1,0,1454,671
2049,68.368,,,0,1,0,1454,671
2052,68.468,,,0,1,0,1455,672
2055,68.569,,,0,1,0,1455,672
2058,68.669,,,0,1,0,1456,673
2061,68.769,,,0,1,0,1457,673
2064,68.869,,,0,1,0,1457,674
2067,68.969,,,0,1,0,1458,675
2070,69.069,,,0,1,0,1458,676
2073,69.169,,,0,1,0,1459,677
2076,69.269,,,0,1,0,1460,678
2079,69.369,,,0,1,0,1461,679
2082,69.469,,,0,1,0,1462,681
2085,69.57,,,0,1,0,1463,682
2088,69.67,,,0,1,0,1464,684
2091,69.77,,,0,1,0,1465,686
2094,69.87,,,0,1,0,1466,688
2097,69.97,,,0,1,0,1468,690
2100,70.07,,,0,1,0,1469,691
2103,70.17,,,0,1,0,1470,693
2106,70.27,,,0,1,0,1472,694
2109,70.37,,,0,1,0,1473,695
2112,70.47,,,0,1,0,1475,696
2115,70.57,,,0,1,0,1476,696
2118,70.671,,,0,1,0,1476,696
2121,70.771,,,0,1,0,1474,697
2124,70.871,,,0,1,0,1471,696
2127,70.971,,,0,1,0,1467,696
2130,71.071,,,0,1,0,1461,695
2133,71.171,,,0,1,0,1453,694
2136,71.271,,,0,1,0,1445,693
2139,71.371,,,0,1,0,1434,693
2142,71.471,,,0,1,0,1423,692
2145,71.572,,,0,1,0,1411,692
2148,71.672,,,0,1,0,1398,691
2151,71.772,,,0,1,0,1383,690
2154,71.872,,,0,1,0,1369,690
2157,71.972,,,0,1,0,1354,689
2160,72.072,,,0,1,0,1339,689
2163,72.172,,,0,1,0,1325,688
2166,72.272,,,0,1,0,1309,687
2169,72.372,,,0,1,0,1291,687
2172,72.472,,,0,1,0,1273,686
2175,72.573,,,0,1,0,1254,685
2178,72.673,,,0,1,0,1234,686
2181,72.773,,,0,1,0,1212,686
2184,72.873,,,0,1,0,1190,685
2187,72.973,,,0,1,0,1167,685
2190,73.073,,,0,1,0,1144,685
2193,73.173,,,0,1,0,1121,685
2196,73.273,,,0,1,0,1098,685
2199,73.373,,,0,1,0,1076,685
2202,73.473,,,0,1,0,1053,686
2205,73.573,,,0,1,0,1031,686
2208,73.674,,,0,1,0,1010,687
2211,73.774,,,0,1,0,988,688
2214,73.874,,,0,1,0,966,689
2217,73.974,,,0,1,0,944,690
2220,74.074,,,0,1,0,922,691
2223,74.174,,,0,1,0,900,692
2226,74.274,,,0,1,0,878,694
2229,74.374,,,0,1,0,855,695
2232,74.474,,,0,1,0,834,696
2235,74.575,,,0,1,0,814,697
2238,74.675,3344,722,1,1,0,793,698
2241,74.775,2940,642,1,1,0,774,699
2244,74.875,,,0,1,0,756,699
2247,74.975,,,0,1,0,736,700
2250,75.075,,,0,1,0,718,700
2253,75.175,,,0,1,0,699,700
2256,75.275,4262,580,1,1,0,681,700
2259,75.375,3983,609,1,1,0,664,698
2262,75.475,3726,636,1,1,0,648,697
2265,75.576,3458,666,1,1,0,631,697
2268,75.676,3228,691,1,1,0,616,697
2271,75.776,3002,717,1,1,0,601,698
