frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
3249,54.204,4,green,753,1067,0.2212,0.6236,0.0,0.0,0.0,mid_range,0,7.8,,5.7,none,,,841.0,1119.5,0,0,left,,715.0,387.0,815.0,544.0,996,1211,0.0,17.6,0.0,0,20.79,31.18,16.73,0,0,1,1.0,fast_break,0,0.0,24.0,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3249,54.204,5,green,929,1172,0.2729,0.685,0.0,0.0,0.0,mid_range,1,2.1,,5.7,none,,,841.0,1119.5,0,0,left,,545.0,70.0,621.0,225.0,996,1211,0.0,23.1,0.0,0,25.65,34.25,22.4,0,0,1,1.0,fast_break,0,0.0,24.0,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3249_70_545_225_621,image_px,observed,none
3255,54.304,4,green,753,1067,0.2212,0.6236,0.0,0.0,0.0,mid_range,0,7.8,,5.8,none,,,842.5,1120.5,0,0,left,,722.0,384.0,820.0,543.0,995,1211,1.0,17.6,0.0,0,20.79,31.18,16.73,0,0,2,1.0,fast_break,0,0.0,23.899900008312557,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,,,0.5,green#?,,,0,1,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
3255,54.304,5,green,932,1174,0.2738,0.6861,0.6,0.6,33.7,mid_range,1,2.0,,5.8,none,,,842.5,1120.5,0,0,left,,547.0,69.0,630.0,223.0,995,1211,1.0,23.2,-0.59,0,25.74,34.31,22.5,0,0,2,1.0,fast_break,0,0.0,23.899900008312557,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,,,0.5,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3255_69_547_223_630,image_px,observed,none
3261,54.404,4,green,752,1066,0.2209,0.623,0.24,0.24,225.0,mid_range,0,7.4,6.0,6.0,none,,,845.0,1121.0,0,0,left,0.1,729.0,382.0,823.0,543.0,983,1201,15.62,17.5,0.21,0,20.77,31.15,16.69,0,0,3,1.0,fast_break,0,0.0,23.799800016625102,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,17.7341478509682,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3261,54.404,5,green,938,1176,0.2756,0.6873,1.05,0.45,18.4,mid_range,1,1.4,0.1,6.0,none,,,845.0,1121.0,0,0,left,0.1,558.0,63.0,634.0,218.0,983,1201,15.62,23.4,-1.05,0,25.9,34.37,22.68,0,0,3,1.0,fast_break,0,0.0,23.799800016625102,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,17.7341478509682,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3261_63_558_218_634,image_px,observed,none
3261,54.404,8,white,936,1180,0.275,0.6897,0.0,0.0,0.0,mid_range,0,1.4,0.1,,none,,,936.0,1180.0,0,0,left,0.1,425.0,-12.0,502.0,155.0,983,1201,15.62,23.4,0.0,0,25.85,34.48,22.68,0,0,3,1.0,fast_break,0,0.0,23.799800016625102,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,17.7341478509682,white#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3267,54.504,3,green,994,1186,0.292,0.6932,0.0,0.0,0.0,3pt_arc,0,1.0,1.3,7.5,none,,,873.0,1126.0,0,0,left,1.3,791.0,158.0,881.0,298.0,1011,1218,32.76,24.9,0.0,0,27.45,34.66,24.21,0,0,4,1.0,fast_break,0,0.0,23.699700024937652,,,4,,0.0,0.0,double_team,,,0.0,0,unknown,,,11.721300648344828,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3267,54.504,4,green,752,1066,0.2209,0.623,0.0,-0.24,0.0,mid_range,0,8.3,2.4,7.5,none,,,873.0,1126.0,0,0,left,1.3,730.0,383.0,824.0,543.0,1011,1218,32.76,17.5,0.0,0,20.77,31.15,16.69,0,0,4,1.0,fast_break,0,0.0,23.699700024937652,,,4,,0.0,0.0,double_team,,,0.0,0,unknown,,,11.721300648344828,green#?,,,0,3,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
3267,54.504,6,white,830,1101,0.2438,0.6435,0.0,0.0,0.0,mid_range,0,6.0,2.4,3.9,none,,,888.5,1141.0,0,0,left,1.3,790.0,269.0,878.0,435.0,1011,1218,32.76,19.9,0.0,0,22.92,32.17,19.07,0,0,4,1.0,fast_break,0,0.0,23.699700024937652,,,4,,0.0,0.0,double_team,,,0.0,0,unknown,,,11.721300648344828,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3267,54.504,9,white,947,1181,0.2782,0.6902,0.0,0.0,0.0,mid_range,1,2.0,1.3,3.9,pass,,,888.5,1141.0,0,0,left,1.3,566.0,57.0,638.0,207.0,1011,1218,32.76,23.7,0.0,0,26.15,34.51,22.96,0,0,4,1.0,fast_break,0,0.0,23.699700024937652,,,4,,0.0,0.0,double_team,,,0.0,0,unknown,,,11.721300648344828,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3273,54.605,3,green,987,1182,0.29,0.6908,1.34,1.34,209.7,3pt_arc,0,0.8,1.0,7.2,none,,,869.5,1124.0,0,0,left,1.0,788.0,159.0,882.0,302.0,998,1209,15.81,24.7,1.33,0,27.26,34.54,23.98,0,0,5,1.0,fast_break,0,0.0,23.59960003325021,,,4,,0.0,0.1,double_team,,,0.0,0,unknown,,,10.73027906854658,green#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
