frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
3481,58.075,797,1303,1,1,0,274,619
3487,58.175,797,1303,1,1,0,287,615
3493,58.275,793,1306,1,1,0,294,627
3499,58.375,793,1306,1,1,0,,
3505,58.475,857,1265,1,1,0,77,390
3511,58.575,853,1267,1,1,0,67,403
3517,58.675,851,1269,1,1,0,50,414
3523,58.775,848,1270,1,1,0,32,426
3529,58.875,848,1270,1,1,0,,
3535,58.976,848,1270,1,1,0,,
3541,59.076,848,1270,1,1,0,,
3547,59.176,617,1410,1,1,0,760,221
3553,59.276,652,1386,1,1,0,774,218
3559,59.376,589,1425,1,1,0,783,212
3565,59.476,815,1296,1,1,0,787,213
3571,59.576,,,0,1,0,786,211
3577,59.676,,,0,1,0,783,212
3583,59.776,984,1188,1,1,0,779,212
3589,59.876,1424,913,1,1,0,777,211
3595,59.977,1423,913,1,1,0,773,208
3601,60.077,1106,1109,1,1,0,770,205
3607,60.177,1116,1103,1,1,0,769,203
3613,60.277,1139,1089,1,1,0,770,198
3619,60.377,1157,1078,1,1,0,769,188
3625,60.477,1177,1064,1,1,0,769,177
3631,60.577,1190,1056,1,1,0,769,166
3637,60.677,1213,1042,1,1,0,769,154
3643,60.777,1547,834,1,1,0,768,149
3649,60.877,856,1269,1,1,0,767,155
3655,60.978,1491,869,1,1,0,766,164
3661,61.078,1467,885,1,1,0,766,171
3667,61.178,1464,887,1,1,0,767,174
3673,61.278,1464,887,1,1,0,767,176
3679,61.378,1453,893,1,1,0,767,175
3685,61.478,1449,896,1,1,0,767,174
3691,61.578,300,1611,1,1,0,765,172
3697,61.678,1139,1088,1,1,0,762,170
3703,61.778,300,1611,1,1,0,754,161
3709,61.878,1216,1007,1,1,0,744,149
3715,61.979,525,1471,1,1,0,734,138
3721,62.079,2458,259,1,1,0,727,130
3727,62.179,,,0,1,0,725,126
3733,62.279,,,0,1,0,726,115
3739,62.379,,,0,1,0,727,105
3745,62.479,,,0,1,0,728,96
3751,62.579,2639,148,1,1,0,731,90
3757,62.679,1457,888,1,1,0,737,86
3763,62.779,,,0,1,0,745,83
3769,62.879,1238,1025,1,1,0,755,81
3775,62.98,252,1643,1,1,0,766,78
3781,63.08,1327,969,1,1,0,777,75
3787,63.18,,,0,1,0,788,71
3793,63.28,674,1373,1,1,0,800,66
3799,63.38,653,1388,1,1,0,813,62
3805,63.48,,,0,1,0,827,57
3811,63.58,17,1793,1,1,0,839,50
3817,63.68,88,1748,1,1,0,848,42
3823,63.78,121,1727,1,1,0,853,38
3829,63.88,149,1710,1,1,0,855,49
3835,63.981,115,1731,1,1,0,852,39
3841,64.081,659,1387,1,1,0,829,39
3847,64.181,653,1391,1,1,0,822,38
3853,64.281,650,1393,1,1,0,807,50
3859,64.381,,,0,1,0,818,56
3865,64.481,,,0,1,0,814,51
3871,64.581,,,0,1,0,810,52
3877,64.681,632,1404,1,1,0,799,46
3883,64.781,621,1411,1,1,0,797,39
3889,64.881,1920,598,1,1,0,778,41
3895,64.982,299,1614,1,1,0,796,55
3901,65.082,545,1459,1,1,0,808,41
3907,65.182,617,1414,1,1,0,818,53
3913,65.282,417,1539,1,1,0,804,44
3919,65.382,407,1545,1,1,0,798,60
3925,65.482,209,1669,1,1,0,775,63
3931,65.582,411,1544,1,1,0,763,66
3937,65.682,1669,754,1,1,0,746,79
3943,65.782,,,0,1,0,727,84
3949,65.882,1228,1031,1,1,0,745,75
3955,65.983,,,0,1,0,764,87
3961,66.083,1958,575,1,1,0,741,94
3967,66.183,2506,227,1,1,0,723,94
3973,66.283,1819,660,1,1,0,699,100
3979,66.383,2276,372,1,1,0,720,112
3985,66.483,1720,722,1,1,0,696,117
3991,66.583,1469,880,1,1,0,672,122
3997,66.683,1581,810,1,1,0,686,125
4003,66.783,1482,871,1,1,0,675,126
4009,66.883,1425,907,1,1,0,667,127
4015,66.984,1360,948,1,1,0,656,129
4021,67.084,1326,970,1,1,0,648,127
4027,67.184,1295,989,1,1,0,641,128
4033,67.284,1275,1001,1,1,0,636,129
4039,67.384,1262,1010,1,1,0,632,129
4045,67.484,1255,1014,1,1,0,630,129
4051,67.584,1241,1023,1,1,0,626,130
4057,67.684,1221,1035,1,1,0,619,130
4063,67.784,1211,1042,1,1,0,615,130
4069,67.884,1191,1054,1,1,0,606,128
4075,67.985,1172,1066,1,1,0,597,127
