frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
3720,62.062,1,green,2618,1624,0.7691,0.9492,0.0,0.0,0.0,corner_3,0,145.9,,10.7,none,0.0,0.0,2963.0,1650.7,0,0,right,,1217.0,573.0,1295.0,675.0,7900.0,1772.0,0.0,27.5,0.0,0,72.29,47.46,27.84,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3720_573_1217_675_1295,image_px,observed,none
3720,62.062,2,green,3006,1654,0.8831,0.9667,0.0,0.0,0.0,corner_3,0,135.2,,7.2,none,0.0,0.0,2963.0,1650.7,0,0,right,,1059.0,583.0,1165.0,675.0,7900.0,1772.0,0.0,23.1,0.0,0,83.01,48.33,24.03,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3720_583_1059_675_1165,image_px,observed,none
3720,62.062,3,green,3265,1674,0.9592,0.9784,0.0,0.0,0.0,corner_3,0,128.0,,7.2,none,0.0,0.0,2963.0,1650.7,0,0,right,,1004.0,586.0,1091.0,675.0,7900.0,1772.0,0.0,22.6,0.0,0,90.16,48.92,23.96,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3720_586_1004_675_1091,image_px,observed,none
3726,62.162,6,white,3284,1676,0.9647,0.9795,0.0,0.0,0.0,corner_3,0,,0.5,,none,,,3284.0,1676.0,0,0,,,997.0,593.0,1079.0,674.0,,,0.0,22.7,0.0,0,90.69,48.98,24.06,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,99.64171928576012,white#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3726_593_997_674_1079,image_px,observed,none
3726,62.162,3,green,3265,1676,0.9592,0.9795,0.33,0.33,90.0,corner_3,0,,0.5,,none,,,3265.0,1676.0,0,0,,,1004.0,586.0,1091.0,675.0,,,0.0,22.7,-0.33,0,90.16,48.98,24.02,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,99.64171928576012,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
3756,62.663,7,white,2648,1627,0.7779,0.9509,0.0,0.0,0.0,corner_3,0,,17.1,,none,,,2648.0,1627.0,0,0,,,1193.0,597.0,1291.0,675.0,,,0.0,27.0,0.0,0,73.12,47.55,27.43,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.7,half_court,,,0.0,0,unknown,,,2.5221243250702594,white#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
3756,62.663,3,green,3265,1676,0.9592,0.9795,0.0,-0.33,0.0,corner_3,0,,17.1,,none,,,3265.0,1676.0,0,0,,,1004.0,586.0,1091.0,675.0,,,0.0,22.7,0.0,0,90.16,48.98,24.02,0,0,0,0.6,unclassified,0,0.0,0.0,,,4,,0.0,0.7,half_court,,,0.0,0,unknown,,,2.5221243250702594,green#?,,,0,4,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,image_px,observed,none
3762,62.763,6,white,3129,1677,0.9192,0.9801,25.83,25.83,179.6,corner_3,0,,0.0,,none,,,3129.0,1677.0,0,0,,,997.0,593.0,1079.0,674.0,,,0.0,22.9,-3.95,0,86.41,49.01,24.12,0,0,0,0.6,unclassified,0,0.0,0.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,-89.71857157792057,685.5278275512587,2.5221243250702594,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
3762,62.763,3,green,3129,1677,0.9192,0.9801,22.67,22.67,179.6,corner_3,0,,0.0,,none,,,3129.0,1677.0,0,0,,,1004.0,586.0,1091.0,675.0,,,0.0,22.9,-3.49,0,86.41,49.01,24.12,0,0,0,0.533,unclassified,0,0.0,0.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,-89.71857157792057,685.5278275512587,2.5221243250702594,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
3780,63.063,8,white,112,1543,0.0329,0.9018,0.0,0.0,0.0,mid_range,0,,,,none,,,112.0,1543.0,0,0,,,1061.0,295.0,1177.0,559.0,,,0.0,19.0,0.0,0,3.09,45.09,20.21,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.1,half_court,,,0.0,0,unknown,-89.5734380242099,683.7309949579005,0.3333333333333333,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3780_295_1061_559_1177,image_px,observed,none
3786,63.163,8,white,65,1541,0.0191,0.9006,7.84,7.84,182.4,mid_range,0,,,,none,,,65.0,1541.0,0,0,,,1065.0,297.0,1183.0,557.0,,,0.0,19.1,-0.67,0,1.79,45.03,20.33,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.2,half_court,,,0.0,0,unknown,-89.51422867357708,681.6175077121214,0.1666666666666666,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3786_297_1065_557_1183,image_px,observed,none
3792,63.263,8,white,167,1544,0.0491,0.9024,17.01,9.17,1.7,mid_range,0,,,,none,,,167.0,1544.0,0,0,,,1067.0,299.0,1189.0,560.0,,,0.0,19.0,-0.84,0,4.61,45.12,20.13,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.3,half_court,,,0.0,0,unknown,-89.44871608577408,679.203863524493,0.2357022603955158,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3792_299_1067_560_1189,image_px,observed,none
3798,63.363,8,white,351,1550,0.1031,0.9059,30.68,13.67,1.9,mid_range,0,,,,none,,,351.0,1550.0,0,0,,,1069.0,298.0,1193.0,566.0,,,0.0,19.9,-9.36,0,9.69,45.3,20.78,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.4,half_court,,,0.0,0,unknown,-89.37808765607416,676.694867374503,0.1666666666666666,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3798_298_1069_566_1193,image_px,observed,none
3804,63.463,8,white,285,1548,0.0837,0.9047,11.01,-19.67,181.7,mid_range,0,,,,none,,,285.0,1548.0,0,0,,,1057.0,292.0,1199.0,564.0,,,0.0,19.5,2.38,0,7.87,45.24,20.41,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.5,half_court,,,0.0,0,unknown,-89.30094050403397,674.1401001015356,0.1666666666666666,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3804_292_1057_564_1199,image_px,observed,none
3810,63.563,8,white,292,1548,0.0858,0.9047,1.17,-9.84,0.0,mid_range,0,,,,none,,,292.0,1548.0,0,0,,,1056.0,287.0,1206.0,564.0,,,0.0,19.5,-0.23,0,8.06,45.24,20.43,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.6,half_court,,,0.0,0,unknown,-2.953835099695566,617.4610268786848,2.852873794770615,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3810_287_1056_564_1206,image_px,observed,none
3816,63.664,8,white,370,1550,0.1087,0.9059,13.0,11.83,1.5,mid_range,0,,,,none,,,370.0,1550.0,0,0,,,1067.0,284.0,1213.0,566.0,,,0.0,20.1,-4.19,0,10.22,45.3,20.89,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.7,half_court,,,0.0,0,unknown,29.44103440412471,593.1386308815246,2.833333333333333,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3816_284_1067_566_1213,image_px,observed,none
3822,63.764,8,white,344,1551,0.1011,0.9065,4.34,-8.66,177.8,mid_range,0,,,,none,,,344.0,1551.0,0,0,,,1061.0,312.0,1195.0,566.0,,,0.0,19.9,0.99,0,9.5,45.32,20.76,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.8,half_court,,,0.0,0,unknown,23.95458478125228,643.487270523679,0.0,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3822_312_1061_566_1195,image_px,observed,none
3828,63.864,8,white,379,1554,0.1113,0.9082,5.85,1.51,4.9,mid_range,0,,,,none,,,379.0,1554.0,0,0,,,1060.0,312.0,1174.0,568.0,,,0.0,20.3,-2.27,0,10.47,45.41,21.07,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.9,half_court,,,0.0,0,unknown,42.08426000331699,611.7318359867022,0.0,white#?,,,0,5,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3828_312_1060_568_1174,image_px,observed,none
3834,63.964,1,green,2618,1624,0.7691,0.9492,0.0,0.0,0.0,corner_3,0,,61.7,,none,,,2618.0,1624.0,0,0,,,1181.0,370.0,1295.0,544.0,,,0.0,27.5,0.0,0,72.29,47.46,27.84,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,2.0,half_court,,,0.0,0,unknown,48.780727832982905,611.7465713915069,0.2357022603955158,green#?,,,0,6,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,image_px,observed,none
3834,63.964,8,white,383,1556,0.1125,0.9094,0.75,-5.1,26.6,mid_range,0,,61.7,,none,,,383.0,1556.0,0,0,,,1049.0,315.0,1161.0,569.0,,,0.0,20.4,-0.52,0,10.58,45.47,21.15,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,2.0,half_court,,,0.0,0,unknown,48.780727832982905,611.7465713915069,0.2357022603955158,white#?,,,0,6,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3834_315_1049_569_1161,image_px,observed,none
3840,64.064,8,white,332,1555,0.0975,0.9088,8.5,7.75,181.1,mid_range,0,,63.2,,none,,,332.0,1555.0,0,0,,,1029.0,317.0,1163.0,568.0,,,0.0,19.9,2.27,0,9.17,45.44,20.81,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,2.1,half_court,,,0.0,0,unknown,62.480171336632246,611.2005053579788,0.0,white#?,,,0,6,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,3840_317_1029_568_1163,image_px,observed,none
3840,64.064,1,green,2618,1624,0.7691,0.9492,0.0,0.0,0.0,corner_3,0,,63.2,,none,,,2618.0,1624.0,0,0,,,1181.0,370.0,1295.0,544.0,,,0.0,27.5,0.0,0,72.29,47.46,27.84,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,2.1,half_court,,,0.0,0,unknown,62.480171336632246,611.2005053579788,0.0,green#?,,,0,6,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,image_px,observed,none
