frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
4215,70.32,925,1244,1,1,0,1166,579
4221,70.42,119,1028,1,1,1,1170,539
4227,70.52,119,1028,1,1,0,1062,546
4233,70.621,119,1028,1,1,1,1170,539
4239,70.721,2264,1519,1,1,0,664,526
4245,70.821,2190,1426,1,1,1,606,576
4251,70.921,2102,1544,1,1,0,974,422
4257,71.021,2138,1550,1,1,1,934,425
4263,71.121,771,426,1,1,0,631,497
4269,71.221,208,39,1,1,1,576,562
4275,71.321,2329,1603,1,1,0,885,337
4281,71.421,2161,1556,1,1,1,926,418
4287,71.521,2576,1661,1,1,0,667,243
4293,71.622,2586,1662,1,1,0,651,251
4299,71.722,2620,1666,1,1,1,599,278
4305,71.822,2448,1632,1,1,0,795,291
4311,71.922,2448,1632,1,1,0,,
4317,72.022,2998,1747,1,1,0,138,185
4323,72.122,2998,1747,1,1,0,,
4329,72.222,2673,1677,1,1,0,542,264
4335,72.322,1227,803,1,1,1,589,551
4341,72.422,1227,803,1,1,0,534,587
4347,72.522,1227,803,1,1,0,514,582
4353,72.623,2517,1462,1,1,0,520,579
4359,72.723,2629,1515,1,1,0,500,566
4365,72.823,2719,1528,1,1,0,478,566
4371,72.923,2661,1458,1,1,0,488,585
4377,73.023,2793,1480,1,1,0,464,584
4383,73.123,2720,1462,1,1,0,477,586
4389,73.223,2688,1462,1,1,0,483,585
4395,73.323,2894,1566,1,1,0,497,585
4401,73.423,3100,1608,1,1,0,514,583
4407,73.523,3100,1608,1,1,0,519,583
4413,73.624,454,488,1,1,0,528,586
4419,73.724,673,457,1,1,1,684,542
4425,73.824,943,344,1,1,0,883,409
4431,73.924,953,342,1,1,0,890,407
4437,74.024,960,362,1,1,0,891,428
4443,74.124,942,340,1,1,0,883,405
4449,74.224,898,448,1,1,1,836,522
4455,74.324,917,525,1,1,0,64,377
4461,74.424,58,375,1,1,0,50,357
4467,74.524,,,0,1,0,184,386
4473,74.625,35,92,1,1,0,235,129
4479,74.725,154,452,1,1,1,68,355
4485,74.825,267,37,1,1,0,430,54
4491,74.925,269,40,1,1,0,431,57
4497,75.025,297,48,1,1,0,453,68
4503,75.125,327,48,1,1,0,477,68
4509,75.225,274,97,1,1,1,430,133
4515,75.325,889,87,1,1,0,893,113
4521,75.425,924,88,1,1,0,917,114
4527,75.525,942,107,1,1,0,926,137
4533,75.626,940,121,1,1,0,922,153
4539,75.726,929,122,1,1,0,914,155
4545,75.826,960,115,1,1,0,937,146
4551,75.926,922,345,1,1,1,869,411
4557,76.026,117,277,1,1,0,293,362
4563,76.126,315,339,1,1,1,441,428
4569,76.226,845,151,1,1,0,850,191
4575,76.326,981,346,1,1,1,908,410
4581,76.426,246,256,1,1,0,395,332
4587,76.526,243,276,1,1,0,391,356
4593,76.627,370,325,1,1,1,483,409
4599,76.727,876,315,1,1,0,843,380
4605,76.827,867,308,1,1,0,838,372
4611,76.927,860,287,1,1,0,837,349
4617,77.027,737,336,1,1,1,745,408
4623,77.127,217,28,1,1,0,390,42
4629,77.227,221,42,1,1,0,392,60
4635,77.327,229,43,1,1,0,398,62
4641,77.427,244,40,1,1,0,411,58
4647,77.527,258,37,1,1,0,422,54
4653,77.628,261,38,1,1,0,425,55
4659,77.728,264,38,1,1,0,427,55
4665,77.828,263,37,1,1,0,426,54
4671,77.928,268,38,1,1,0,430,55
4677,78.028,266,51,1,1,0,428,72
4683,78.128,260,64,1,1,0,422,89
4689,78.228,244,73,1,1,0,408,101
4695,78.328,227,72,1,1,0,394,100
4701,78.428,222,64,1,1,0,391,90
4707,78.528,227,56,1,1,0,396,79
4713,78.629,230,52,1,1,0,398,74
4719,78.729,229,51,1,1,0,398,73
4725,78.829,229,51,1,1,0,398,73
4731,78.929,227,49,1,1,0,396,70
4737,79.029,223,43,1,1,0,393,62
4743,79.129,221,42,1,1,0,392,61
4749,79.229,222,42,1,1,0,393,61
4755,79.329,224,45,1,1,0,394,65
4761,79.429,235,45,1,1,0,403,64
4767,79.529,263,38,1,1,0,426,55
4773,79.63,248,48,1,1,0,413,69
4779,79.73,220,40,1,1,0,391,58
4785,79.83,198,52,1,1,0,372,74
4791,79.93,218,64,1,1,0,388,90
4797,80.03,190,57,1,1,0,365,81
4803,80.13,169,43,1,1,0,349,62
4809,80.23,196,51,1,1,0,371,73
