frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
4873,81.298,2076,1265,1,1,0,627,162
4879,81.398,2077,1266,1,1,0,627,163
4885,81.498,2077,1266,1,1,0,627,163
4891,81.598,2076,1265,1,1,0,627,162
4897,81.698,2076,1264,1,1,0,626,163
4903,81.798,2076,1265,1,1,0,627,162
4909,81.898,2076,1265,1,1,0,627,162
4915,81.999,2076,1264,1,1,0,627,161
4921,82.099,2076,1264,1,1,0,627,161
4927,82.199,2076,1265,1,1,0,627,162
4933,82.299,2076,1265,1,1,0,627,162
4939,82.399,2076,1265,1,1,0,627,162
4945,82.499,2076,1265,1,1,0,627,162
4951,82.599,2076,1265,1,1,0,627,162
4957,82.699,2077,1266,1,1,0,628,162
4963,82.799,2077,1266,1,1,0,628,162
4969,82.899,2077,1266,1,1,0,628,162
4975,83.0,2077,1266,1,1,0,628,162
4981,83.1,2077,1266,1,1,0,628,162
4987,83.2,2077,1266,1,1,0,627,163
4993,83.3,2077,1266,1,1,0,627,163
4999,83.4,2077,1266,1,1,0,627,163
5005,83.5,2076,1264,1,1,0,626,163
5011,83.6,2076,1264,1,1,0,626,163
5017,83.7,2076,1264,1,1,0,626,163
5023,83.8,2077,1266,1,1,0,628,162
5029,83.9,2077,1266,1,1,0,627,163
5035,84.001,2077,1266,1,1,0,628,162
5041,84.101,2076,1264,1,1,0,626,162
5047,84.201,2075,1262,1,1,0,625,160
5053,84.301,2074,1257,1,1,0,621,159
5059,84.401,2071,1250,1,1,0,615,157
5065,84.501,2067,1240,1,1,0,606,155
5071,84.601,2062,1227,1,1,0,595,153
5077,84.701,2055,1211,1,1,0,581,151
5083,84.801,2046,1189,1,1,0,562,149
5089,84.901,2035,1161,1,1,0,539,148
5095,85.002,2022,1131,1,1,0,515,148
5101,85.102,2027,1142,1,1,0,524,147
5107,85.202,2028,1146,1,1,0,525,155
5113,85.302,2033,1153,1,1,0,536,135
5119,85.402,2031,1145,1,1,0,532,125
5125,85.502,2029,1144,1,1,0,527,142
5131,85.602,2022,1129,1,1,0,515,142
5137,85.702,2013,1104,1,1,0,498,133
5143,85.802,2014,1108,1,1,0,500,136
5149,85.902,2015,1102,1,1,0,500,114
5155,86.003,2012,1091,1,1,0,495,98
5161,86.103,2006,1080,1,1,0,484,109
5167,86.203,2003,1072,1,1,0,478,108
5173,86.303,2006,1080,1,1,0,484,111
5179,86.403,2003,1072,1,1,0,478,111
5185,86.503,1993,1049,1,1,0,461,110
5191,86.603,1986,1033,1,1,0,449,113
5197,86.703,1998,1063,1,1,0,470,118
5203,86.803,2002,1070,1,1,0,476,110
5209,86.903,2005,1071,1,1,0,481,87
5215,87.004,2009,1086,1,1,0,489,109
5221,87.104,2020,1114,1,1,0,510,114
5227,87.204,2007,1084,1,1,0,486,115
5233,87.304,1994,1052,1,1,0,462,117
5239,87.404,1982,1023,1,1,0,442,119
5245,87.504,1967,987,1,1,0,418,118
5251,87.604,1952,951,1,1,0,396,118
5257,87.704,1939,918,1,1,0,377,118
5263,87.804,1925,884,1,1,0,358,118
5269,87.904,1910,848,1,1,0,339,116
5275,88.005,1894,810,1,1,0,320,117
5281,88.105,1879,772,1,1,0,302,117
5287,88.205,1863,735,1,1,0,287,123
5293,88.305,1852,709,1,1,0,275,120
5299,88.405,1843,686,1,1,0,266,121
5305,88.505,1836,670,1,1,0,260,122
5311,88.605,1829,654,1,1,0,254,123
5317,88.705,1830,655,1,1,0,254,122
5323,88.805,1828,651,1,1,0,253,123
5329,88.905,1829,654,1,1,0,254,123
5335,89.006,1831,659,1,1,0,256,123
5341,89.106,1836,670,1,1,0,260,123
5347,89.206,1841,682,1,1,0,265,123
5353,89.306,1847,697,1,1,0,271,123
5359,89.406,1854,714,1,1,0,278,123
5365,89.506,1860,730,1,1,0,285,124
5371,89.606,1865,742,1,1,0,290,124
5377,89.706,1869,751,1,1,0,294,124
5383,89.806,1871,757,1,1,0,297,125
5389,89.906,1874,765,1,1,0,301,127
5395,90.007,1877,771,1,1,0,303,125
5401,90.107,1878,773,1,1,0,304,125
5407,90.207,1878,773,1,1,0,304,124
5413,90.307,1877,771,1,1,0,303,124
5419,90.407,1877,771,1,1,0,303,125
5425,90.507,1877,771,1,1,0,303,125
5431,90.607,1877,772,1,1,0,304,127
5437,90.707,1876,770,1,1,0,303,127
5443,90.807,1877,771,1,1,0,303,125
5449,90.907,1876,770,1,1,0,303,127
5455,91.008,1874,765,1,1,0,301,127
5461,91.108,1872,759,1,1,0,298,127
5467,91.208,1868,749,1,1,0,294,127
