frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
4873,81.298,2,green,1719,583,0.505,0.3407,0.0,0.0,0.0,backcourt,0,21.3,,29.2,none,,,1953.5,1057.5,0,0,right,,252.0,167.0,366.0,374.0,2076,1265,0.0,43.0,0.0,0,47.47,17.04,42.04,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4873_167_252_374_366,image_px,observed,none
4873,81.298,3,green,2188,1532,0.6428,0.8954,0.0,0.0,0.0,backcourt,0,8.0,,29.2,none,,,1953.5,1057.5,0,0,right,,967.0,101.0,1041.0,174.0,2076,1265,0.0,34.8,0.0,0,60.42,44.77,34.55,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4879,81.398,4,green,2134,1539,0.6269,0.8995,0.0,0.0,0.0,backcourt,1,7.7,,29.8,none,,,1914.0,1046.0,0,0,right,,594.0,231.0,701.0,447.0,2077,1266,1.41,36.2,0.0,0,58.93,44.97,35.89,0,0,1,1.0,fast_break,0,0.0,24.0,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4879,81.398,2,green,1694,553,0.4976,0.3232,6.51,6.51,230.2,backcourt,0,22.4,,29.8,none,,,1914.0,1046.0,0,0,right,,252.0,167.0,366.0,374.0,2077,1266,1.41,43.4,3.13,0,46.78,16.16,42.46,0,0,1,0.933,fast_break,0,0.0,24.0,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4885,81.498,2,green,1659,458,0.4874,0.2677,16.87,10.36,249.8,backcourt,0,25.1,,31.3,none,,,1891.0,975.5,0,0,right,,211.0,152.0,367.0,377.0,2077,1266,0.0,43.0,1.6,0,45.81,13.38,42.19,0,0,2,1.0,fast_break,0,2.8,23.89990000417449,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4885_152_211_377_367,image_px,observed,none
4885,81.498,4,green,2123,1493,0.6237,0.8726,7.88,7.88,256.6,backcourt,1,6.4,,31.3,none,,,1891.0,975.5,0,0,right,,589.0,227.0,695.0,421.0,2077,1266,0.0,35.8,2.18,0,58.63,43.63,35.42,0,0,2,1.0,fast_break,0,2.8,23.89990000417449,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,,,0.0,green#?,,,0,2,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4891,81.598,2,green,1687,515,0.4956,0.301,10.58,-6.29,63.8,backcourt,0,23.3,31.3,31.3,none,11.3,11.3,2029.3,1251.0,0,0,right,,243.0,191.0,352.0,374.0,2076,1265,1.41,43.4,-2.5,0,46.59,15.05,42.52,0,0,3,1.0,fast_break,0,0.0,23.79980000834899,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4891_191_243_374_352,image_px,observed,none
4891,81.598,3,green,2176,1539,0.6392,0.8995,2.32,2.32,149.7,backcourt,0,8.1,0.4,4.6,none,11.3,11.3,2029.3,1251.0,0,0,right,,806.0,112.0,892.0,298.0,2076,1265,1.41,35.2,-2.31,0,60.09,44.97,34.93,0,0,3,1.0,fast_break,0,0.0,23.79980000834899,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4891,81.598,5,green,2225,1699,0.6536,0.993,0.0,0.0,0.0,backcourt,0,12.7,4.7,4.6,none,11.3,11.3,2029.3,1251.0,0,0,right,,850.0,238.0,932.0,417.0,2076,1265,1.41,36.7,0.0,0,61.44,49.65,36.79,0,0,3,1.0,fast_break,0,0.0,23.79980000834899,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4891_238_850_417_932,image_px,observed,none
4891,81.598,8,white,2188,1532,0.6428,0.8954,0.0,0.0,0.0,backcourt,0,8.0,0.4,,none,,,2188.0,1532.0,0,0,right,,967.0,101.0,1041.0,174.0,2076,1265,1.41,34.8,0.0,0,60.42,44.77,34.55,0,0,3,1.0,fast_break,0,0.0,23.79980000834899,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.1666666666666666,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4897,81.698,1,green,2180,1546,0.6404,0.9036,0.0,0.0,0.0,backcourt,0,8.3,1.2,4.0,none,10.5,10.5,2018.0,1224.3,0,0,right,,809.0,128.0,913.0,297.0,2076,1264,1.0,35.2,0.0,0,60.2,45.18,34.96,0,0,4,1.0,fast_break,0,0.0,23.699700012523483,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4897,81.698,2,green,1651,442,0.485,0.2583,13.57,2.99,243.7,backcourt,0,25.6,35.0,33.8,none,10.5,10.5,2018.0,1224.3,0,0,right,,231.0,203.0,343.0,378.0,2076,1264,1.0,42.9,2.55,0,45.59,12.92,42.11,0,0,4,1.0,fast_break,0,0.0,23.699700012523483,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,4,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4897_203_231_378_343,image_px,observed,none
4897,81.698,5,green,2223,1685,0.6531,0.9848,2.36,2.36,261.9,backcourt,0,12.3,2.9,4.0,none,10.5,10.5,2018.0,1224.3,0,0,right,,863.0,226.0,943.0,401.0,2076,1264,1.0,36.5,1.21,0,61.39,49.24,36.56,0,0,4,1.0,fast_break,0,0.0,23.699700012523483,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,4,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,4897_226_863_401_943,image_px,observed,none
4897,81.698,9,white,2208,1580,0.6486,0.9234,0.0,0.0,0.0,backcourt,0,9.5,1.2,,none,,,2208.0,1580.0,0,0,right,,1066.0,108.0,1134.0,179.0,2076,1264,1.0,35.1,0.0,0,60.97,46.17,34.93,0,0,4,1.0,fast_break,0,0.0,23.699700012523483,,,4,,0.0,0.1,half_court,,,0.0,0,unknown,,,0.2357022603955158,white#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4903,81.798,1,green,2180,1546,0.6404,0.9036,0.0,0.0,0.0,backcourt,0,8.3,0.4,4.4,none,14.8,14.8,1991.7,1189.3,0,0,right,,811.0,127.0,910.0,298.0,2076,1265,1.0,35.2,0.0,0,60.2,45.18,34.96,0,0,5,1.0,fast_break,0,0.0,23.599600016697977,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,5,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
4903,81.798,10,white,2188,1532,0.6428,0.8954,0.0,0.0,0.0,backcourt,0,8.0,0.4,,none,,,2188.0,1532.0,0,0,right,,967.0,100.0,1041.0,174.0,2076,1265,1.0,34.8,0.0,0,60.42,44.77,34.55,0,0,5,1.0,fast_break,0,0.0,23.599600016697977,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.2357022603955158,white#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4903,81.798,2,green,1568,322,0.4606,0.1882,24.32,10.75,235.3,backcourt,0,29.6,37.5,37.8,none,14.8,14.8,1991.7,1189.3,0,0,right,,226.13898,206.2917,345.32904,393.1595,2076,1265,1.0,41.8,5.89,0,43.3,9.41,41.12,0,0,5,0.933,fast_break,0,0.0,23.599600016697977,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4903,81.798,5,green,2227,1700,0.6542,0.9936,2.59,0.23,75.1,backcourt,0,12.7,4.8,4.4,none,14.8,14.8,1991.7,1189.3,0,0,right,,867.9363,219.9656,948.1102,395.31345,2076,1265,1.0,36.6,-1.08,0,61.5,49.68,36.77,0,0,5,0.933,fast_break,0,0.0,23.599600016697977,,,4,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.2357022603955158,green#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4909,81.898,3,green,2182,1552,0.641,0.9071,2.39,0.07,65.2,backcourt,0,8.4,0.6,4.1,none,14.3,14.3,1977.7,1165.7,0,0,right,,821.0,129.0,917.0,298.0,2076,1265,0.0,35.2,-0.35,0,60.25,45.35,35.02,0,0,6,1.0,fast_break,0,0.0,23.499500020872468,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,6,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4909,81.898,10,white,2188,1532,0.6428,0.8954,0.0,0.0,0.0,backcourt,0,8.0,0.6,,none,,,2188.0,1532.0,0,0,right,,968.0,100.0,1041.0,174.0,2076,1265,0.0,34.8,0.0,0,60.42,44.77,34.55,0,0,6,1.0,fast_break,0,0.0,23.499500020872468,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,6,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
4909,81.898,2,green,1525,252,0.448,0.1473,13.69,-10.63,238.4,backcourt,0,31.8,39.8,40.2,none,14.3,14.3,1977.7,1165.7,0,0,right,,223.14975,216.03447,342.3398,402.90222,2076,1265,0.0,41.4,1.86,0,42.11,7.36,40.86,0,0,6,0.867,fast_break,0,0.0,23.499500020872468,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,6,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4909,81.898,5,green,2226,1693,0.6539,0.9895,1.18,-1.41,261.9,backcourt,0,12.5,4.6,4.1,none,14.3,14.3,1977.7,1165.7,0,0,right,,873.5177,213.45398,953.69165,388.80182,2076,1265,0.0,36.5,0.61,0,61.47,49.47,36.65,0,0,6,0.867,fast_break,0,0.0,23.499500020872468,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,6,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4915,81.999,1,green,2186,1562,0.6422,0.9129,2.85,2.85,69.4,backcourt,0,8.8,0.8,3.7,none,14.7,14.7,1997.8,1216.5,0,0,right,4.4,835.0,125.0,919.0,303.0,2076,1264,1.0,35.3,-0.64,0,60.37,45.65,35.1,0,0,7,1.0,fast_break,0,0.0,23.39940002504696,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,-22.61986494803935,162.77083333333326,0.1666666666666666,green#?,,,0,7,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4915,81.999,9,white,2207,1580,0.6484,0.9234,0.17,0.17,180.0,backcourt,0,9.4,0.8,,none,,,2207.0,1580.0,0,0,right,4.4,1065.0,107.0,1135.0,178.0,2076,1264,1.0,35.1,-0.14,0,60.95,46.17,34.95,0,0,7,1.0,fast_break,0,0.0,23.39940002504696,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,-22.61986494803935,162.77083333333326,0.1666666666666666,white#?,,,0,7,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
4915,81.999,2,green,1469,164,0.4316,0.0959,17.38,3.69,237.5,backcourt,0,34.7,44.1,39.7,none,14.7,14.7,1997.8,1216.5,0,0,right,4.4,220.16052,225.77724,339.3506,412.64502,2076,1264,1.0,41.0,1.44,0,40.57,4.79,40.69,0,0,7,0.8,fast_break,0,0.0,23.39940002504696,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,-22.61986494803935,162.77083333333326,0.1666666666666666,green#?,,,0,7,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4915,81.999,5,green,2225,1689,0.6536,0.9871,0.69,-0.49,256.0,backcourt,0,12.4,3.1,3.7,none,14.7,14.7,1997.8,1216.5,0,0,right,4.4,879.0991,206.94235,959.2731,382.2902,2076,1264,1.0,36.5,0.29,0,61.44,49.36,36.59,0,0,7,0.8,fast_break,0,0.0,23.39940002504696,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,-22.61986494803935,162.77083333333326,0.1666666666666666,green#?,,,0,7,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4915,81.999,4,green,2111,1451,0.6202,0.848,7.28,-0.6,254.1,backcourt,1,5.3,4.4,3.7,none,14.7,14.7,1997.8,1216.5,0,0,right,4.4,576.4215,191.85742,682.5084,387.77045,2076,1264,1.0,35.5,1.47,0,58.29,42.4,35.08,0,0,7,0.667,fast_break,0,0.0,23.39940002504696,,,4,,0.0,0.0,fast_break,,,0.0,0,unknown,-22.61986494803935,162.77083333333326,0.1666666666666666,green#?,,,0,7,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
4921,82.099,2,green,1469,164,0.4316,0.0959,0.0,-17.38,0.0,backcourt,0,34.7,44.1,39.3,none,8.2,8.2,1921.3,1056.7,0,0,right,4.8,211.0,150.0,380.0,384.0,2076,1264,0.0,41.0,0.0,0,40.57,4.79,40.69,0,0,8,1.0,fast_break,0,0.0,23.299300029221456,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,-15.899522588459233,162.6801515151515,0.0,green#?,,,0,8,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,image_px,observed,none
4921,82.099,3,green,2188,1568,0.6428,0.9164,2.85,0.46,69.4,backcourt,0,8.9,0.6,4.2,none,8.2,8.2,1921.3,1056.7,0,0,right,4.8,843.0,126.0,923.0,306.0,2076,1264,0.0,35.3,-0.65,0,60.42,45.82,35.16,0,0,8,1.0,fast_break,0,0.0,23.299300029221456,,,4,,0.0,0.1,fast_break,,,0.0,0,unknown,-15.899522588459233,162.6801515151515,0.0,green#?,,,0,8,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
