frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
1392,23.223,,,0,1,0,,
1398,23.323,,,0,1,0,,
1404,23.423,,,0,1,0,,
1410,23.523,,,0,1,0,,
1416,23.624,,,0,1,0,,
1422,23.724,,,0,1,0,,
1428,23.824,,,0,1,0,,
1434,23.924,,,0,1,0,,
1440,24.024,,,0,1,0,,
1446,24.124,,,0,1,0,,
1452,24.224,,,0,1,0,,
1458,24.324,,,0,1,0,,
1464,24.424,,,0,1,0,824,355
1470,24.524,,,0,1,0,824,355
1476,24.625,,,0,1,0,825,355
1482,24.725,,,0,1,0,,
1488,24.825,,,0,1,0,,
1494,24.925,,,0,1,0,,
1500,25.025,,,0,1,0,,
1506,25.125,,,0,1,0,,
1512,25.225,,,0,1,0,826,354
1518,25.325,,,0,1,0,826,354
1524,25.425,,,0,1,0,825,353
1530,25.525,,,0,1,0,826,353
1536,25.626,,,0,1,0,827,353
1542,25.726,,,0,1,0,825,354
1548,25.826,,,0,1,0,826,354
1554,25.926,,,0,1,0,826,354
1560,26.026,,,0,1,0,825,354
1566,26.126,,,0,1,0,827,354
1572,26.226,,,0,1,0,827,354
1578,26.326,,,0,1,0,826,354
1584,26.426,,,0,1,0,,
1590,26.526,,,0,1,0,,
1596,26.627,,,0,1,0,,
1602,26.727,,,0,1,0,781,154
1608,26.827,,,0,1,0,,
1614,26.927,,,0,1,0,780,173
1620,27.027,,,0,1,0,,
1626,27.127,,,0,1,0,783,177
1632,27.227,,,0,1,0,,
1638,27.327,,,0,1,0,1026,584
1644,27.427,,,0,1,0,1025,583
1650,27.527,,,0,1,0,1025,583
1656,27.628,,,0,1,0,,
1662,27.728,,,0,1,0,,
1668,27.828,,,0,1,0,,
1674,27.928,152,33,1,1,0,680,284
1680,28.028,204,11,1,1,1,531,235
1686,28.128,136,97,1,1,1,528,235
1692,28.228,,,0,1,0,741,269
1698,28.328,,,0,1,0,740,268
1704,28.428,,,0,1,0,729,267
1710,28.528,,,0,1,0,731,267
1716,28.629,,,0,1,0,741,268
1722,28.729,,,0,1,0,741,268
1728,28.829,,,0,1,0,741,269
1734,28.929,,,0,1,0,741,268
1740,29.029,,,0,1,0,742,269
1746,29.129,,,0,1,0,738,268
1752,29.229,,,0,1,0,738,269
1758,29.329,,,0,1,0,,
1764,29.429,,,0,1,0,,
1770,29.529,,,0,1,0,,
1776,29.63,,,0,1,0,,
1782,29.73,,,0,1,0,,
1788,29.83,,,0,1,0,,
1794,29.93,,,0,1,0,,
1800,30.03,,,0,1,0,,
1806,30.13,,,0,1,0,,
1812,30.23,,,0,1,0,1053,578
1818,30.33,,,0,1,0,1057,579
1824,30.43,,,0,1,0,1057,578
1830,30.53,,,0,1,0,1060,579
1836,30.631,,,0,1,0,1060,579
1842,30.731,,,0,1,0,1056,578
1848,30.831,,,0,1,0,1059,579
1854,30.931,,,0,1,0,1057,579
1860,31.031,,,0,1,0,1060,579
1866,31.131,,,0,1,0,1059,579
1872,31.231,,,0,1,0,1059,579
1878,31.331,,,0,1,0,1058,579
1884,31.431,,,0,1,0,1059,579
1890,31.531,,,0,1,0,1059,579
1896,31.632,,,0,1,0,1061,579
1902,31.732,,,0,1,0,1062,579
1908,31.832,,,0,1,0,1061,578
1914,31.932,,,0,1,0,1062,579
1920,32.032,,,0,1,0,1061,577
1926,32.132,,,0,1,0,1060,577
1932,32.232,,,0,1,0,1061,577
1938,32.332,,,0,1,0,1061,578
1944,32.432,,,0,1,0,1062,578
1950,32.532,,,0,1,0,1058,581
1956,32.633,,,0,1,0,1060,579
1962,32.733,,,0,1,0,1063,578
1968,32.833,,,0,1,0,1060,579
1974,32.933,,,0,1,0,1061,579
1980,33.033,,,0,1,0,1060,579
1986,33.133,,,0,1,0,1062,578
