frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
2107,35.152,6,white,2874,23,0.8443,0.0134,0.0,0.0,0.0,corner_3,0,,,,none,,,2874.0,23.0,0,0,,,-15.0,468.0,101.0,662.0,,,0.0,25.2,0.0,0,79.36,0.67,26.08,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.7453559924999299,white#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2107_468_-15_662_101,image_px,observed,none
2113,35.252,6,white,2862,6,0.8408,0.0035,3.47,3.47,234.8,corner_3,0,,,,none,,,2862.0,6.0,0,0,,,-15.0,469.0,123.0,670.0,,,0.0,25.8,-3.41,0,79.03,0.18,26.66,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.8333333333333334,white#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2113_469_-15_670_123,image_px,observed,none
2119,35.352,6,white,2862,7,0.8408,0.0041,0.17,-3.3,90.0,corner_3,0,,,,none,,,2862.0,7.0,0,0,,,-15.0,458.0,125.0,669.0,,,0.0,25.8,0.15,0,79.03,0.2,26.63,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.5,half_court,,,0.0,0,unknown,,,0.6009252125773316,white#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2119_458_-15_669_125,image_px,observed,none
2125,35.452,1,green,2863,8,0.8411,0.0047,0.0,0.0,0.0,corner_3,0,,0.0,,none,,,2863.0,8.0,0,0,,,-15.0,450.0,120.0,669.0,,,0.0,25.7,0.0,0,79.06,0.23,26.59,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.6,half_court,,,0.0,0,unknown,,,1.0137937550497031,green#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2125_450_-15_669_120,image_px,observed,none
2125,35.452,6,white,2863,8,0.8411,0.0047,0.24,0.07,45.0,corner_3,0,,0.0,,none,,,2863.0,8.0,0,0,,,-11.147621,457.75354,127.23075,664.3572,,,0.0,25.7,0.22,0,79.06,0.23,26.59,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.6,half_court,,,0.0,0,unknown,,,1.0137937550497031,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
2137,35.652,7,white,2847,0,0.8364,0.0,0.0,0.0,0.0,corner_3,0,,0.5,,none,,,2847.0,0.0,0,0,,,114.0,469.0,247.0,636.0,,,0.0,26.1,0.0,0,78.62,0.0,26.97,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,-25.614793652232244,509.2714327339323,0.1666666666666666,white#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
2137,35.652,1,green,2864,10,0.8414,0.0058,0.37,0.37,63.4,corner_3,0,,0.5,,none,,,2864.0,10.0,0,0,,,-15.0,450.0,120.0,669.0,,,0.0,25.7,0.37,0,79.09,0.29,26.53,0,0,0,0.867,unclassified,0,0.0,0.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,-25.614793652232244,509.2714327339323,0.1666666666666666,green#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
2143,35.752,8,white,2851,7,0.8375,0.0041,0.0,0.0,0.0,corner_3,0,,0.5,,none,,,2851.0,7.0,0,0,,,107.0,468.0,251.0,632.0,,,0.0,25.9,0.0,0,78.73,0.2,26.74,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,-47.469726146188414,509.760465997181,0.8333333333333334,white#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
2143,35.752,1,green,2867,15,0.8422,0.0088,0.97,0.6,59.0,corner_3,0,,0.5,,none,,,2867.0,15.0,0,0,,,-15.0,450.0,120.0,669.0,,,0.0,25.5,0.97,0,79.17,0.44,26.36,0,0,0,0.8,unclassified,0,0.0,0.0,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,-47.469726146188414,509.760465997181,0.8333333333333334,green#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,image_px,observed,none
2149,35.852,8,white,2865,30,0.8417,0.0175,4.49,4.49,58.7,corner_3,0,,0.3,,none,,,2865.0,30.0,0,0,,,107.0,468.0,251.0,632.0,,,0.0,25.2,4.46,0,79.12,0.88,25.98,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,1.0,half_court,,,0.0,0,unknown,-59.219101717875546,510.27003787878783,0.9718253158075502,white#?,,,0,5,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
