frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
2321,38.722,2225,1730,1,1,0,928,376
2327,38.822,2225,1729,1,1,0,923,382
2333,38.922,2225,1729,1,1,0,901,384
2339,39.022,2224,1729,1,1,0,888,405
2345,39.122,2224,1729,1,1,0,,
2351,39.223,2228,1730,1,1,0,737,310
2357,39.323,2228,1730,1,1,0,,
2363,39.423,2225,1730,1,1,0,1180,303
2369,39.523,2225,1730,1,1,0,,
2375,39.623,2225,1730,1,1,0,,
2381,39.723,2229,1730,1,1,0,764,245
2387,39.823,2228,1730,1,1,0,773,266
2393,39.923,2229,1730,1,1,0,750,271
2399,40.023,2229,1730,1,1,0,,
2405,40.123,2230,1730,1,1,0,662,204
2411,40.224,2230,1730,1,1,0,,
2417,40.324,2228,1732,1,1,0,220,590
2423,40.424,2228,1732,1,1,0,,
2429,40.524,2227,1732,1,1,0,194,593
2435,40.624,2227,1732,1,1,0,,
2441,40.724,2227,1732,1,1,0,95,598
2447,40.824,2227,1732,1,1,0,,
2453,40.924,2222,1732,1,1,0,75,488
2459,41.024,2222,1732,1,1,0,,
2465,41.124,2222,1732,1,1,0,,
2471,41.225,2222,1732,1,1,0,,
2477,41.325,2226,1730,1,1,0,1061,263
2483,41.425,2226,1730,1,1,0,,
2489,41.525,2227,1730,1,1,0,918,267
2495,41.625,2227,1730,1,1,0,,
2501,41.725,2234,1730,1,1,0,408,116
2507,41.825,2252,1728,1,1,1,201,290
2513,41.925,2238,1730,1,1,0,264,173
2519,42.025,2252,1728,1,1,1,201,290
2525,42.125,2229,1730,1,1,0,700,252
2531,42.226,2229,1730,1,1,0,703,259
2537,42.326,2229,1730,1,1,0,722,268
2543,42.426,830,1278,1,1,1,770,510
2549,42.526,2228,1730,1,1,0,1172,83
2555,42.626,2228,1730,1,1,0,,
2561,42.726,2562,1698,1,1,0,45,298
2567,42.826,2756,1686,1,1,0,64,301
2573,42.926,2325,1723,1,1,0,79,290
2579,43.026,2283,1726,1,1,0,91,279
2585,43.126,,,0,1,0,109,281
2591,43.227,,,0,1,0,118,288
2597,43.327,2267,1728,1,1,0,115,274
2603,43.427,2261,1728,1,1,0,106,259
2609,43.527,2258,1729,1,1,0,100,248
2615,43.627,2258,1729,1,1,0,,
2621,43.727,2233,1731,1,1,0,455,72
2627,43.827,2233,1731,1,1,0,,
2633,43.927,2234,1731,1,1,0,383,62
2639,44.027,2234,1731,1,1,0,,
2645,44.127,2235,1731,1,1,0,307,73
2651,44.228,2236,1731,1,1,0,283,77
2657,44.328,2236,1731,1,1,0,,
2663,44.428,2229,1730,1,1,0,910,118
2669,44.528,2229,1730,1,1,0,919,105
2675,44.628,2229,1730,1,1,0,917,89
2681,44.728,2229,1730,1,1,0,894,81
2687,44.828,2229,1730,1,1,0,,
2693,44.928,2224,1729,1,1,0,867,409
2699,45.028,2215,1726,1,1,1,762,504
2705,45.128,2238,1729,1,1,0,347,299
2711,45.229,2238,1729,1,1,0,,
2717,45.329,2229,1730,1,1,0,898,53
2723,45.429,2229,1730,1,1,0,,
2729,45.529,2249,1730,1,1,0,40,161
2735,45.629,2248,1730,1,1,0,56,166
2741,45.729,2248,1730,1,1,0,67,170
2747,45.829,2247,1730,1,1,0,75,175
2753,45.929,2247,1730,1,1,0,82,180
2759,46.029,2247,1730,1,1,0,89,184
2765,46.129,2247,1730,1,1,0,100,188
2771,46.23,2246,1730,1,1,0,112,192
2777,46.33,2246,1730,1,1,0,121,194
2783,46.43,2245,1730,1,1,0,129,196
2789,46.53,2245,1730,1,1,0,137,200
2795,46.63,2245,1730,1,1,0,145,203
2801,46.73,2245,1730,1,1,0,151,206
2807,46.83,2244,1730,1,1,0,159,208
2813,46.93,2244,1730,1,1,0,166,211
2819,47.03,2244,1730,1,1,0,172,212
2825,47.13,2243,1730,1,1,0,179,213
2831,47.231,2243,1730,1,1,0,184,214
2837,47.331,2243,1730,1,1,0,189,215
2843,47.431,2242,1730,1,1,0,195,216
2849,47.531,2242,1730,1,1,0,199,216
2855,47.631,2242,1730,1,1,0,200,216
2861,47.731,2242,1730,1,1,0,199,217
2867,47.831,2243,1730,1,1,0,196,219
2873,47.931,2243,1730,1,1,0,192,219
2879,48.031,2243,1730,1,1,0,189,223
2885,48.131,2244,1730,1,1,0,188,225
2891,48.232,2243,1730,1,1,0,196,226
2897,48.332,2243,1730,1,1,0,194,225
2903,48.432,2244,1730,1,1,0,192,229
2909,48.532,2244,1730,1,1,0,191,233
2915,48.632,2244,1730,1,1,0,191,235
