frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
2785,46.463,1,green,37,1006,0.0109,0.588,0.0,0.0,0.0,paint,0,,,,none,,,37.0,1006.0,1,0,,,492.0,288.0,623.0,539.0,,,0.0,5.3,0.0,0,1.02,29.4,6.1,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2785_288_492_539_623,image_px,observed,none
2791,46.563,1,green,32,1007,0.0094,0.5885,0.85,0.85,168.7,paint,1,0.0,,,none,,,32.0,1007.0,1,0,left,,493.0,288.0,624.0,539.0,32.0,1007.0,0.0,5.4,-0.65,0,0.88,29.43,6.22,0,0,1,1.0,post_up,1,0.0,24.0,,,4,,0.0,0.0,post_up,,,0.0,0,unknown,,,0.0,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2791_288_493_539_624,image_px,observed,none
2797,46.663,1,green,107,995,0.0314,0.5815,12.66,11.81,350.9,paint,1,0.0,,,dribble,,,107.0,995.0,1,0,left,,478.0,290.0,611.0,540.0,107.0,995.0,75.95,4.1,5.83,1,2.95,29.08,4.68,0,0,2,1.0,post_up,1,0.0,23.89990000822842,,,4,,0.0,0.1,paint_touch,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,0,1,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2797_290_478_540_611,image_px,observed,none
2803,46.763,6,white,202,980,0.0593,0.5728,0.0,0.0,0.0,restricted_area,0,5.3,5.3,,none,,,202.0,980.0,0,1,left,5.3,474.0,288.0,598.0,539.0,14.0,1009.0,94.05,3.7,0.0,0,5.58,28.64,3.65,0,0,3,1.0,post_up,1,0.0,23.79980001645684,,,4,,0.0,0.2,paint_touch,,,0.0,0,unknown,,,1.5,white#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,2803_288_474_539_598,image_px,observed,none
2803,46.763,1,green,14,1009,0.0041,0.5897,15.67,3.01,171.4,paint,1,0.0,5.3,,dribble,,,14.0,1009.0,1,0,left,5.3,470.5807,290.65613,602.75183,541.07056,14.0,1009.0,94.05,5.7,-12.14,0,0.39,29.49,6.62,0,0,3,0.933,post_up,1,0.0,23.79980001645684,,,4,,0.0,0.2,paint_touch,,,0.0,0,unknown,,,1.5,green#?,,,1,2,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
2809,46.863,2,green,26,1007,0.0076,0.5885,0.0,0.0,0.0,paint,1,0.0,0.0,,none,,,26.0,1007.0,1,1,left,0.0,463.0,286.0,632.0,547.0,26.0,1007.0,12.17,5.5,0.0,0,0.72,29.43,6.34,0,0,4,1.0,post_up,1,0.0,23.699700024685264,,,4,,0.0,0.3,post_up,,,0.0,0,unknown,,,1.3333333333333333,green#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
2809,46.863,6,white,27,1007,0.0079,0.5885,29.51,29.51,171.2,paint,0,0.0,0.0,,none,,,27.0,1007.0,1,1,left,0.0,474.0,288.0,598.0,539.0,26.0,1007.0,12.17,5.4,-22.12,0,0.75,29.43,6.32,0,0,4,0.933,post_up,1,0.0,23.699700024685264,,,4,,0.0,0.3,post_up,,,0.0,0,unknown,,,1.3333333333333333,white#?,,,0,3,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
2815,46.964,2,green,33,1006,0.0097,0.588,1.18,1.18,351.9,paint,1,0.0,0.2,,dribble,,,33.0,1006.0,1,1,left,0.2,463.0,286.0,632.0,546.0,33.0,1006.0,7.07,5.3,0.86,0,0.91,29.4,6.18,0,0,5,1.0,post_up,1,0.0,23.599600032913685,,,4,,0.0,0.4,post_up,,,0.0,0,unknown,,,1.1666666666666667,green#?,,,1,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
2815,46.964,6,white,27,1007,0.0079,0.5885,0.0,-29.51,0.0,paint,0,0.2,0.2,,none,,,27.0,1007.0,1,1,left,0.2,474.0,288.0,598.0,539.0,33.0,1006.0,7.07,5.4,0.0,0,0.75,29.43,6.32,0,0,5,0.867,post_up,1,0.0,23.599600032913685,,,4,,0.0,0.4,post_up,,,0.0,0,unknown,,,1.1666666666666667,white#?,,,0,3,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,image_px,observed,none
2821,47.064,2,green,74,1000,0.0217,0.5845,6.91,5.73,351.7,paint,1,0.0,1.3,,dribble,,,74.0,1000.0,1,1,left,1.3,449.0,288.0,611.0,552.0,74.0,1000.0,41.44,4.6,4.16,1,2.04,29.22,5.3,0,0,6,1.0,post_up,1,0.0,23.499500041142102,,,4,,0.0,0.5,paint_touch,,,0.0,0,unknown,,,0.1666666666666666,green#?,,,2,3,1,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,image_px,observed,none
