frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
5893,98.315,239,2087,1,1,0,1053,41
5899,98.415,239,2087,1,1,0,,
5905,98.515,294,2162,1,1,0,1201,261
5911,98.615,294,2162,1,1,0,,
5917,98.715,712,2111,1,1,0,1238,514
5923,98.815,689,2077,1,1,0,1230,512
5929,98.915,681,2045,1,1,0,1223,512
5935,99.016,666,2013,1,1,0,1215,511
5941,99.116,659,1983,1,1,0,1208,511
5947,99.216,652,1955,1,1,0,1201,511
5953,99.316,656,1925,1,1,0,1195,513
5959,99.416,636,1916,1,1,0,1190,510
5965,99.516,630,1893,1,1,0,1184,510
5971,99.616,622,1882,1,1,0,1180,509
5977,99.716,622,1861,1,1,0,1175,510
5983,99.816,618,1847,1,1,0,1171,510
5989,99.916,628,1817,1,1,0,1166,513
5995,100.017,604,1811,1,1,0,1159,509
6001,100.117,611,1796,1,1,0,1157,511
6007,100.217,611,1775,1,1,0,1152,512
6013,100.317,605,1773,1,1,0,1150,511
6019,100.417,603,1766,1,1,0,1148,511
6025,100.517,605,1752,1,1,0,1145,512
6031,100.617,604,1749,1,1,0,1144,512
6037,100.717,603,1746,1,1,0,1143,512
6043,100.817,602,1743,1,1,0,1142,512
6049,100.917,597,1741,1,1,0,1140,511
6055,101.018,599,1731,1,1,0,1138,512
6061,101.118,597,1721,1,1,0,1135,512
6067,101.218,599,1710,1,1,0,1133,513
6073,101.318,594,1712,1,1,0,1132,512
6079,101.418,594,1709,1,1,0,1131,512
6085,101.518,593,1706,1,1,0,1130,512
6091,101.618,594,1709,1,1,0,1131,512
6097,101.718,591,1700,1,1,0,1128,512
6103,101.818,590,1695,1,1,0,1126,512
6109,101.918,588,1689,1,1,0,1124,512
6115,102.019,582,1685,1,1,0,1121,511
6121,102.119,580,1677,1,1,0,1118,511
6127,102.219,582,1663,1,1,0,1115,512
6133,102.319,576,1660,1,1,0,1112,511
6139,102.419,574,1652,1,1,0,1109,511
6145,102.519,569,1651,1,1,0,1107,510
6151,102.619,567,1646,1,1,0,1105,510
6157,102.719,567,1643,1,1,0,1104,510
6163,102.819,566,1641,1,1,0,1103,510
6169,102.919,565,1638,1,1,0,1102,510
6175,103.02,564,1633,1,1,0,1100,510
6181,103.12,560,1638,1,1,0,1100,509
6187,103.22,563,1630,1,1,0,1099,510
6193,103.32,563,1630,1,1,0,1099,510
6199,103.42,563,1630,1,1,0,1099,510
6205,103.52,563,1630,1,1,0,1099,510
6211,103.62,563,1627,1,1,0,1098,510
6217,103.72,563,1627,1,1,0,1098,510
6223,103.82,562,1625,1,1,0,1097,510
6229,103.92,558,1630,1,1,0,1097,509
6235,104.021,561,1620,1,1,0,1095,510
6241,104.121,561,1620,1,1,0,1095,510
6247,104.221,560,1617,1,1,0,1094,510
6253,104.321,559,1614,1,1,0,1093,510
6259,104.421,559,1612,1,1,0,1092,510
6265,104.521,551,1620,1,1,0,1091,508
6271,104.621,544,1627,1,1,0,1090,506
6277,104.721,541,1630,1,1,0,1089,505
6283,104.821,543,1622,1,1,0,1088,506
6289,104.921,543,1622,1,1,0,1088,506
6295,105.022,538,1620,1,1,0,1085,505
6301,105.122,534,1620,1,1,0,1083,504
6307,105.222,533,1615,1,1,0,1081,504
6313,105.322,530,1618,1,1,0,1080,503
6319,105.422,526,1618,1,1,0,1078,502
6325,105.522,527,1608,1,1,0,1076,503
6331,105.622,526,1604,1,1,0,1074,503
6337,105.722,520,1611,1,1,0,1073,501
6343,105.822,520,1609,1,1,0,1072,501
6349,105.922,519,1607,1,1,0,1071,501
6355,106.023,519,1607,1,1,0,1071,501
6361,106.123,517,1614,1,1,0,1072,500
6367,106.223,516,1611,1,1,0,1071,500
6373,106.323,516,1611,1,1,0,1071,500
6379,106.423,516,1611,1,1,0,1071,500
6385,106.523,516,1611,1,1,0,1071,500
6391,106.623,516,1611,1,1,0,1071,500
6397,106.723,516,1609,1,1,0,1070,500
6403,106.823,516,1611,1,1,0,1071,500
6409,106.923,516,1609,1,1,0,1070,500
6415,107.024,515,1607,1,1,0,1069,500
6421,107.124,515,1605,1,1,0,1068,500
6427,107.224,514,1600,1,1,0,1066,500
6433,107.324,513,1598,1,1,0,1065,500
6439,107.424,513,1596,1,1,0,1064,500
6445,107.524,513,1596,1,1,0,1064,500
6451,107.624,512,1593,1,1,0,1063,500
6457,107.724,512,1593,1,1,0,1063,500
6463,107.824,513,1596,1,1,0,1064,500
6469,107.924,516,1593,1,1,0,1065,501
6475,108.025,514,1602,1,1,0,1067,500
6481,108.125,515,1607,1,1,0,1069,500
6487,108.225,517,1614,1,1,0,1072,500
