frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,position_source,source_branch,matched_event_id,coordinate_space,observation,calibration
6803,113.497,1,green,1291,7,0.3793,0.0041,0.0,0.0,0.0,backcourt,0,,,,none,,,1291.0,7.0,0,0,,,699.0,113.0,776.0,271.0,,,0.0,39.2,0.0,0,35.65,0.2,39.23,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.2,half_court,,,0.0,0,unknown,88.88577771123924,265.5448140032863,1.118033988749895,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6803_113_699_271_776,image_px,observed,none
6809,113.597,1,green,1213,10,0.3563,0.0058,13.01,13.01,177.8,backcourt,0,,,,none,,,1213.0,10.0,0,0,,,703.0,111.0,781.0,276.0,,,0.0,37.4,10.47,0,33.5,0.29,37.53,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.3,half_court,,,0.0,0,unknown,89.1753299970128,261.32112204893,30.0448738463726,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6809_111_703_276_781,image_px,observed,none
6815,113.697,1,green,1231,37,0.3616,0.0216,5.41,-7.6,56.3,backcourt,0,,,,none,,,1231.0,37.0,0,0,,,709.0,108.0,789.0,273.0,,,0.0,37.4,0.33,0,33.99,1.08,37.39,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.4,half_court,,,0.0,0,unknown,89.16743671096671,261.96126932928223,3.745367509040705,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6815_108_709_273_789,image_px,observed,none
6821,113.797,1,green,1240,65,0.3643,0.038,4.9,-0.51,72.2,backcourt,0,,,,none,,,1240.0,65.0,0,0,,,716.0,109.0,794.0,271.0,,,0.0,37.1,1.53,0,34.24,1.9,37.07,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.5,half_court,,,0.0,0,unknown,89.09784650971635,268.1986438871553,3.2744804507314167,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6821_109_716_271_794,image_px,observed,none
6827,113.897,1,green,1271,139,0.3734,0.0812,13.37,8.47,67.3,backcourt,0,,,,none,,,1271.0,139.0,0,0,,,725.0,104.0,807.0,267.0,,,0.0,36.7,2.31,0,35.1,4.06,36.46,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.6,half_court,,,0.0,0,unknown,89.09784650971635,268.1986438871553,3.2744804507314167,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6827_104_725_267_807,image_px,observed,none
6833,113.997,1,green,1372,341,0.4031,0.1993,37.64,24.27,63.4,backcourt,0,,,,none,,,1372.0,341.0,0,0,,,740.0,100.0,822.0,261.0,,,0.0,36.5,-2.42,0,37.89,9.96,35.93,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,1.7,half_court,,,0.0,0,unknown,88.95810639466336,280.47415039577766,9.910712498212336,green#?,,,0,2,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6833_100_740_261_822,image_px,observed,none
6839,114.097,1,green,1372,341,0.4031,0.1993,0.0,-37.64,0.0,backcourt,0,,,,none,,,1372.0,341.0,0,0,,,757.0,91.0,837.0,255.0,,,0.0,36.5,0.0,0,37.89,9.96,35.93,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.2,1.8,half_court,,,0.0,0,unknown,88.83988011080261,289.03900295489825,3.890872509976251,green#?,,,0,2,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,image_px,observed,none
6863,114.498,2,green,1684,37,0.4947,0.0216,0.0,0.0,0.0,backcourt,0,,,,none,,,1684.0,37.0,0,0,,,688.0,65.0,766.0,245.0,,,0.0,47.9,0.0,0,46.5,1.08,47.69,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.2,2.2,half_court,,,0.0,0,unknown,83.95674758823944,350.6783430188974,67.75466363612504,green#?,,,0,3,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6863_65_688_245_766,image_px,observed,none
6869,114.598,6,white,1728,68,0.5076,0.0397,0.0,0.0,0.0,backcourt,0,,7.9,,none,,,1728.0,68.0,0,0,,,692.0,48.0,778.0,244.0,,,0.0,47.3,0.0,0,47.72,1.99,47.04,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.2,2.3,half_court,,,0.0,0,unknown,-87.66378408931241,391.014598227954,3.1001792062897127,white#?,,,0,4,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6869_48_692_244_778,image_px,observed,none
6869,114.598,2,green,1450,4,0.426,0.0023,39.39,39.39,188.0,backcourt,0,,7.9,,none,,,1450.0,4.0,0,0,,,688.0,65.0,766.0,245.0,,,0.0,42.8,29.58,0,40.04,0.12,42.77,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.2,2.3,half_court,,,0.0,0,unknown,-87.66378408931241,391.014598227954,3.1001792062897127,green#?,,,0,4,1,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,image_px,observed,none
