draw_kind,draw_order,section_id,competition,game,source_tree,source_path,source_bytes,source_sha256,receiver_dir,receiver_path,receiver_bytes,receiver_sha256,bytes_equal,sha256_equal,source_status,usable_span_s,usable_start_s,width,height,avg_fps,codec_name
1080p30,0,9sq-YMlIo9Q_s2346,UNDECLARED,9sq-YMlIo9Q,g364_scratch_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1,1,RETAINED,132.076,0.0,1920,1080,29.97003,h264
1080p30,1,9sq-YMlIo9Q_s90,UNDECLARED,9sq-YMlIo9Q,g364_scratch_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s90.mp4,65354306,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\9sq-YMlIo9Q_s90.mp4,65354306,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,1,1,RETAINED,131.054,0.0,1920,1080,29.97003,h264
1080p30,2,RIrGQJ_jsGQ_s90,UNDECLARED,RIrGQJ_jsGQ,g364_scratch_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s90.mp4,57018293,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\RIrGQJ_jsGQ_s90.mp4,57018293,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,1,1,RETAINED,135.1,0.0,1920,1080,30.0,h264
1080p30,3,UCVSlzgun0o_s2298,UNDECLARED,UCVSlzgun0o,g364_scratch_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1,1,RETAINED,131.06,0.0,1920,1080,29.97003,h264
1080p30,4,UCVSlzgun0o_s90,UNDECLARED,UCVSlzgun0o,g364_scratch_val,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1,1,RETAINED,133.09,0.0,1920,1080,29.97003,h264
1080p30,5,UzaYBYy3GZg_s90,UNDECLARED,UzaYBYy3GZg,g364_scratch_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\UzaYBYy3GZg_s90.mp4,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1,1,RETAINED,135.059,0.0,1920,1080,29.97003,h264
1080p30,6,Vm0FqeGo-8g_s1317,UNDECLARED,Vm0FqeGo-8g,g364_scratch_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\Vm0FqeGo-8g_s1317.mp4,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1,1,RETAINED,131.08,0.0,1920,1080,29.97003,h264
1080p30,7,Vm0FqeGo-8g_s90,UNDECLARED,Vm0FqeGo-8g,g364_scratch_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s90.mp4,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\Vm0FqeGo-8g_s90.mp4,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1,1,RETAINED,135.125,0.0,1920,1080,29.97003,h264
1080p30,8,X5w3V6rh26s_s90,UNDECLARED,X5w3V6rh26s,g364_scratch_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\X5w3V6rh26s_s90.mp4,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1,1,RETAINED,135.092,0.0,1920,1080,29.97003,h264
1080p30,9,Y1cgaIWW8gk_s1437,UNDECLARED,Y1cgaIWW8gk,g364_scratch_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\Y1cgaIWW8gk_s1437.mp4,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1,1,RETAINED,133.034,0.0,1920,1080,30.0,h264
1080p30,10,Y1cgaIWW8gk_s2784,UNDECLARED,Y1cgaIWW8gk,g364_scratch_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,68904225,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\Y1cgaIWW8gk_s2784.mp4,68904225,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,1,1,RETAINED,135.067,0.0,1920,1080,30.0,h264
