draw_kind,section_id,start_frame,frames,window_start_s,window_end_s,probed_frames,first_source_frame,last_source_frame,first_pts_s,last_pts_s,pts_elapsed_s,monotonic,probe_status
1080p30,9sq-YMlIo9Q_s2346,118,300,3.937935,13.937935,300,118,417,3.937267,13.9139,9.976633,1,OK
1080p30,9sq-YMlIo9Q_s90,234,300,7.809935,17.809935,300,234,533,7.8078,17.784433,9.976633,1,OK
1080p30,RIrGQJ_jsGQ_s90,363,300,12.106452,22.106452,300,363,662,12.1,22.066667,9.966667,1,OK
1080p30,UCVSlzgun0o_s2298,468,300,15.620645,25.620645,300,468,767,15.6156,25.592233,9.976633,1,OK
1080p30,UCVSlzgun0o_s90,595,300,19.853226,29.853226,300,595,894,19.853167,29.8298,9.976633,1,OK
1080p30,UzaYBYy3GZg_s90,725,300,24.204968,34.204968,300,725,1024,24.190833,34.167467,9.976634,0,OK
1080p30,Vm0FqeGo-8g_s1317,819,300,27.340645,37.340645,300,819,1118,27.3273,37.303933,9.976633,0,OK
1080p30,Vm0FqeGo-8g_s90,968,300,32.290323,42.290323,300,968,1267,32.298933,42.275567,9.976634,0,OK
1080p30,X5w3V6rh26s_s90,1088,300,36.317032,46.317032,300,1088,1387,36.302933,46.279567,9.976634,0,OK
1080p30,Y1cgaIWW8gk_s1437,1191,300,39.688387,49.688387,300,1191,1490,39.7,49.666667,9.966667,1,OK
1080p30,Y1cgaIWW8gk_s2784,1331,300,44.378613,54.378613,300,1331,1630,44.366667,54.333333,9.966666,1,OK
1080p30,qrWmO434a0k_s2804,1452,300,48.413032,58.413032,300,1452,1751,48.4,58.366667,9.966667,0,OK
1080p30,tFnl0NVn6FA_s2774,1574,300,52.46129,62.46129,300,1574,1873,52.466667,62.433333,9.966666,1,OK
1080p30,tFnl0NVn6FA_s90,1708,300,56.918581,66.918581,300,1708,2007,56.933333,66.9,9.966667,1,OK
1080p30,tZeqmc_-_sA_s2574,1815,300,60.500323,70.500323,300,1815,2114,60.5,70.466667,9.966667,1,OK
1080p30,yZ5u2sOpiNU_s1371,1857,300,61.969548,71.969548,300,1857,2156,61.9619,71.938533,9.976633,1,OK
1080p30,yZ5u2sOpiNU_s3933,1974,300,65.856903,75.856903,300,1974,2273,65.8658,75.842433,9.976633,1,OK
