frame_key,round,position,width,height,terra_cx,terra_cy,terra_d,sol_cx,sol_cy,sol_d,gap_px
12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,1,10,1280,720,841.0,349.5,25.5,845.5,298.5,29.0,51.198
0e57a267d711ef73b1298a36a868f8b5d3c6cfffcd3ebcd947835d2a538fa206,1,16,1920,1080,1279.5,153.5,29.0,1280.5,150.5,31.0,3.162
06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,1,18,1920,1080,686.5,253.5,27.0,910.5,414.5,27.0,275.857
1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,1,19,1920,1080,1646.5,365.5,28.0,1687.5,549.0,27.5,188.025
0e1c3340aa20f8875f6db9f3375803b9503d90de4e8a2e8e688d603f38acbbf5,1,21,1280,720,654.5,46.5,25.0,654.5,46.5,25.0,0.0
3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,1,22,1280,720,1082.0,284.0,22.0,1051.5,326.5,23.0,52.312
082ca7619ae6cade00728666b1e288da7dbd0fb12f054903a19e54f9467e46df,1,24,1280,720,508.0,587.5,28.5,513.5,584.0,36.5,6.519
033833a1647685ecd6b012db9b6ca88b76c0048783008491f45ea30ae2241a93,1,26,1280,720,317.0,433.5,22.5,316.5,435.5,19.0,2.062
07c32f0c1352ce05c4cb92a4491cd21ab57aac9ab36d4d4b9343407bcd22cfdb,1,29,1280,720,855.5,322.5,25.0,855.5,322.5,23.0,0.0
41a51cd4fdf664e3bbbfd0da84ff730956e6b35a18296c00b298be5bbfd4f6a9,2,1,1280,720,949.0,207.0,18.0,939.0,213.0,23.0,11.662
51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,2,2,1920,1080,1288.0,562.0,28.0,1262.0,552.0,31.0,27.857
2a9a56d523ae3dd2c8ec40c0b44b6afd40c1c91c2f2c72702b7c9eda0be9aa27,2,10,1280,720,828.0,79.5,23.5,826.5,76.5,22.0,3.354
