global_index,round,position,frame_key,shot_category,play_state,settled_label,evidence_source,sheet,final_state
5,1,5,07809652362f91987384405e9c51fea6940afeed400231c7f093ef7ea14d9138,PLAYER_CLOSEUP,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,07809652362f.jpg,ABSENT
15,1,15,0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,LIVE_PLAY_WIDE,PLAY,ADJUDICATED,G403_FINISHER_EYE_ON_NATIVE_SHEET,0746f934c503.jpg,VISIBLE
25,1,25,12261437a3cf37d68762ce14890fb0b0f89d682c0cef38470fdc6b18e751bf63,LIVE_PLAY_WIDE,PLAY,UNKNOWN,G403_FINISHER_EYE_ON_NATIVE_SHEET,12261437a3cf.jpg,UNKNOWN
35,2,5,2716dc44218a91ff03c2ae818c583c0ea800adec43ca0a258dce3b13e18a627c,PLAYER_CLOSEUP,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,2716dc44218a.jpg,ABSENT
45,2,15,0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,0ef480c1dc0b.jpg,VISIBLE
55,2,25,2dec3133bd281d19d5fd67fc2356176887cdee1483db572a31b1120623ce9689,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,2dec3133bd28.jpg,VISIBLE
65,3,5,3081d8b7e6494e24d94a66b6b1638948c1c64fced15101fbb9dc0dfc3eb88b59,CROWD,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,3081d8b7e649.jpg,ABSENT
75,3,15,11a327e470e7fd336f43309d7c9f974a1042949071864d9a6e6bedc680835028,DEAD_BALL_SETUP,NON_PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,11a327e470e7.jpg,VISIBLE
85,3,25,342db439be5087e0f97bb937297479d15d1b4bc8d3ebfa052bb7204b9d319d60,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,342db439be50.jpg,VISIBLE
95,4,5,30828d37a3c5040ead5a313a3ab20921d23efd13c8edddf0716947763622faf5,BENCH_SIDELINE,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,30828d37a3c5.jpg,ABSENT
105,4,15,694f990b560c3ea542f2fb86fba9a0ca856072c53bf2be0db9b1f3afa54110fe,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,694f990b560c.jpg,UNKNOWN
115,4,25,4a1750769a6d81c19853fc506a091aa683c69a0c6265ef3c66d1d385debbcdb2,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,4a1750769a6d.jpg,VISIBLE
125,5,5,43a146721b4ecd958bbb7e9fbfea67880243a15d3bf275be49947c501fbf634b,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,43a146721b4e.jpg,VISIBLE
135,5,15,73b55b32aaa40695a8e629c18214512f5c22341c337623c999d5af28246ea59f,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,73b55b32aaa4.jpg,VISIBLE
145,5,25,76a161ada37815ef2c9e1c3d3f36d1f7ec1651052a0039a100e44d59e5dad558,LIVE_PLAY_TIGHT,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,76a161ada378.jpg,VISIBLE
155,6,5,6850627900848f4ac12eda764add442aa4a7edaa45e562ef866edb77cc684de4,PLAYER_CLOSEUP,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,685062790084.jpg,ABSENT
165,6,15,79ea5f1bf761d1ab152bd9f3b3a916c4b21efab0f2f7012ab8f1aec058f0e735,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,79ea5f1bf761.jpg,UNKNOWN
175,6,25,822a5d65c1d994deb4511f9e01ce17991f7f33553aae48a3729bae1539a208d6,PLAYER_CLOSEUP,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,822a5d65c1d9.jpg,ABSENT
185,7,5,92352b7937f60fc803b3af393a8772bae6bcc37f5a22a84fda8454dec3feb718,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,92352b7937f6.jpg,VISIBLE
195,7,15,9115fdc7cf7155d6e13c1d306c6c0df3d44ee31975c9e54a44a6f648f00ff599,LIVE_PLAY_WIDE,PLAY,VISIBLE,G403_FINISHER_EYE_ON_NATIVE_SHEET,9115fdc7cf71.jpg,UNKNOWN
205,7,25,91103f3898ef49ebf2a0a9e173880a6d6c831c9255a8d493e82016abab1254df,PLAYER_CLOSEUP,NON_PLAY,ADJUDICATED,G403_FINISHER_EYE_ON_NATIVE_SHEET,91103f3898ef.jpg,ABSENT
215,8,5,bb955ba7fdb7c5a86ea30ff23dd5a6243f00f62a1f18fcb589e893f1654bdcbf,DEAD_BALL_SETUP,NON_PLAY,ABSENT,G403_FINISHER_EYE_ON_NATIVE_SHEET,bb955ba7fdb7.jpg,ABSENT
