video_id,competition,canonical_game,in_old_identity_set,old_title_resolvable,eligibility,exclusion_reason
WE47jDv_JLs,bcl,bcl|as monaco v aek final full game basketball champions l,0,NOT_RESOLVABLE,ELIGIBLE,
y8UQxPOVdbE,bcl,bcl|baxi manresa v dar ssafaka full game basketball champion,0,NOT_RESOLVABLE,ELIGIBLE,
g0lXjTWhxQo,bcl,bcl|filou oostende v hapoel atsmon holon full game basketbal,0,NOT_RESOLVABLE,ELIGIBLE,
iiBVytTmfKw,bcl,bcl|hapoel atsmon holon v hapoel jerusalem full game basketb,0,NOT_RESOLVABLE,ELIGIBLE,
fixywKCSSpw,bcl,bcl|hapoel jerusalem v iberostar tenerife full game qtr fina,0,NOT_RESOLVABLE,ELIGIBLE,
5_sp7Q8AHcU,bcl,bcl|jda bourgogne dijon v unicaja full game basketball champ,0,NOT_RESOLVABLE,ELIGIBLE,
Y8Twp7LgPb8,bcl,bcl|limoges csp v baxi manresa full game basketball champion,0,NOT_RESOLVABLE,ELIGIBLE,
pYCgIuP6-e0,bcl,bcl|mhp riesen ludwigsburg v baxi manresa semi final full ga,0,NOT_RESOLVABLE,ELIGIBLE,
prxLSgEkawg,eurocup,eurocup|50 points second half makes the difference besiktas bou,0,NOT_RESOLVABLE,ELIGIBLE,
adN6aEmgK5Y,eurocup,eurocup|dynamo moscow crowned eurocup king 2006 final vs aris,0,NOT_RESOLVABLE,ELIGIBLE,
OFbyNU6UQQs,eurocup,eurocup|full match portugal v spain 2018 fifa world cup,0,NOT_RESOLVABLE,ELIGIBLE,
1MQ38PsSviw,eurocup,eurocup|lietuvos rytas makes history 2009 eurocup final vs khimk,0,NOT_RESOLVABLE,ELIGIBLE,
rOdFBZJRwEo,eurocup,eurocup|resilience right to the end gran canaria turk telekom,0,NOT_RESOLVABLE,ELIGIBLE,
2UNJe2grSzo,eurocup,eurocup|sevilla v roma 1 1 sevilla win 4 1 on penalties europa,0,NOT_RESOLVABLE,ELIGIBLE,
