card_id,dispatch_position,stratum,frame_key,video_id,canonical_game,competition,pts,frame_index,width,height,card_sha256,claude_label,claude_support,terra_label,sol_label,joint_label
card_00,0,EXCLUDED,5582919a651c79d184c7a25ed29bfef64934f51a0d4c57bd490d564fb43f5387,iiBVytTmfKw,bcl|hapoel atsmon holon v hapoel jerusalem full game basketb,bcl,40.000000,1200,1920,1080,d24f910c319ea377c2a0265313d2f47f0736042aff8031bc49848bcb368186ff,NONPLAY,tight two-player close-up dead ball,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_01,1,EXCLUDED,e9df5243f97f59599642845baf372cf542d570617afe977286cc1b8a8e66219d,g0lXjTWhxQo,bcl|filou oostende v hapoel atsmon holon full game basketbal,bcl,114.000000,3420,1920,1080,675ff214ac42bb8d47d727299a75ae5b7995bbd23d7f9b29917fb6305ef225b7,PLAY,wide live play multi-player,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_02,2,EXCLUDED,a642f74a3f7365a6b7a18d7ca3633d7914f86c6b3b230f70844f877b8e0f136f,prxLSgEkawg,eurocup|50 points second half makes the difference besiktas bou,eurocup,42.000000,1050,1920,1080,e2e1b62158ac5f503f5fadd5c207fa9bdf26510be11ed88963ff67084e6e8763,NONPLAY,coach close-up sideline,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_03,3,ADMITTED,c320975839ccd4366f03785afaf53d64bd666395c207bf378477e172e438b2fd,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,86.000000,2580,1920,1080,721d3d1b4d79d8226dee59c668dccf7cec5d5759804ffe2216d2750a89cb601d,PLAY,wide live play multi-player,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_04,4,EXCLUDED,4b9549e86700bf4b39847eb2182beee55492ce1edd1a5473fcdd4169b225e19a,prxLSgEkawg,eurocup|50 points second half makes the difference besiktas bou,eurocup,96.000000,2400,1920,1080,263a7bf1e60b6524d72ee3902b37dc757147e444d79a2a44edfef52003fbbec4,NONPLAY,officials at review monitor,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_05,5,ADMITTED,0289e5bf26877adb59ffbc68585734f15599b80dc0b576a6d1b9f4a33707c083,Y8Twp7LgPb8,bcl|limoges csp v baxi manresa full game basketball champion,bcl,98.000000,2940,1920,1080,64837c8a6934ce30bfd6892a9f77543a8c0a3db1217ac3492e93a6effbf89d15,PLAY,wide live play multi-player,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_06,6,ADMITTED,313085bb11d0ced66ed61754c8a8e1e00f771283b1e8495d7c7572d8cf195737,iiBVytTmfKw,bcl|hapoel atsmon holon v hapoel jerusalem full game basketb,bcl,100.000000,3000,1920,1080,ba65f18911c8d1708076b4d3c3acab1d07859753045360b2fa13777369f3c1f6,PLAY,wide live play multi-player,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_07,7,EXCLUDED,c219066f7db40b3ec33467df9dbbeda5c2293004c4a0ae5ea75e864bd1d2215e,prxLSgEkawg,eurocup|50 points second half makes the difference besiktas bou,eurocup,128.000000,3200,1920,1080,0df201155ff131d988c2132c54e528e97659826d0e104aa166b9ab200c390a7d,NONPLAY,full-screen score graphic,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_08,8,ADMITTED,31fb9ce8f25d83ed7d6fb991d98ae789ba64d70b0612e88d9605b867d99fb8cc,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,30.000000,900,1920,1080,847cccba75ee82a3801b11e2f70bea725791a09c1afef37bee3490634106dbfb,PLAY,wide live play multi-player,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
card_09,9,ADMITTED,a6129ef599234ba8b10015659d24dae13d119cba6da994a4896ba0c9278778a1,pYCgIuP6-e0,bcl|mhp riesen ludwigsburg v baxi manresa semi final full ga,bcl,52.000000,1560,1920,1080,16188ebf4d7a09d85a3a0a155db0337efb2764d25d4892877230feeef97881d9,PLAY,ball at rim multi-player action,NOT REACHED,NOT REACHED,SINGLE_REVIEWER_NO_JOINT_LABEL
