draw_j,source_id,competition,tag,query,discovered_at,format_probe_at,compatible_30fps,qualifying_format_ids,listing_qualifying_ids,metadata_qualifying_ids,listing_complete,metadata_complete,listing_formats,metadata_formats,probe_status,raw_inventory_digest,error,hls_h264_720_1080_fps_set,720p30,1080p30,720p60,1080p60
0,0pKftc-Z0_k,basketball,bleague,B.League full game,2026-09-11T16:36:49Z,2026-09-11T16:38:59Z,YES,232|270,232|270,232|270,True,True,14,19,OK,21d70adb3056d8c3b8ec6b972d2eb0cfd338bf30839f8ab6d206901b38e1aec3,,30,True,True,False,False
1,y5rz-f3spww,basketball,bleague,B.League full game,2026-09-11T16:36:49Z,2026-09-11T16:39:16Z,NO,,,,True,True,24,36,OK,75be66901b3de30af6e01892f9b7468542eae75c8a7c24a5fd0934f60eba5729,,25,False,False,False,False
2,mxV9XV3uwVs,basketball,bcl,Basketball Champions League full game,2026-09-11T16:36:05Z,2026-09-11T16:39:33Z,YES,232|270,232|270,232|270,True,True,28,40,OK,0db47a494ac4a2b9176c66ec308e56a499ef9b3ce0694d56b47196e0d1687810,,30,True,True,False,False
3,SCuv58Dsehg,basketball,betclic,Betclic Elite match complet basket,2026-09-11T16:36:18Z,2026-09-11T16:39:51Z,NO,,,,True,True,14,19,OK,ca3ee884796fdaf1e55bc5471fe2508297157526a4d14226aa807ff1c905a8c3,,50,False,False,False,False
4,N-AM_AtzV1s,basketball,cba,CBA basketball full game,2026-09-11T16:35:47Z,2026-09-11T16:40:08Z,NO,,,,True,True,11,16,OK,7cdc23768da939991cae32c22e9f0f267c8f05b23afca26b77945be66dc79a47,,none,False,False,False,False
5,J6YFyipGQTQ,basketball,eurocup,EuroCup full game replay,2026-09-11T16:36:00Z,2026-09-11T16:40:25Z,NO,,,,True,True,36,48,OK,1d5af2c865923cdb04ecd73b83e5b42821ce70170977ea5707da5d185506878d,,25,False,False,False,False
6,2sbib3tt90c,basketball,euroleague,EuroLeague full game 2025,2026-09-11T16:35:30Z,2026-09-11T16:40:43Z,NO,,,,True,True,36,48,OK,3398a32a0ea916e7819789f52d084759400ec22095d29d45393b575dbdb10807,,25,False,False,False,False
7,xRuH1qSD2dE,basketball,euroleague,EuroLeague full game 2025,2026-09-11T16:35:30Z,2026-09-11T16:41:01Z,NO,,,,True,True,36,48,OK,ea7b69b095d6c179cc7364ad867feca40b873f823c5e120447bb60683fed9453,,25,False,False,False,False
8,L2uZqxKTgVU,basketball,fibawc,FIBA World Cup 2023 full game,2026-09-11T16:36:36Z,2026-09-11T16:41:19Z,YES,232|270,232|270,232|270,True,True,14,19,OK,9ad0275af85ceecb559c8e520efc20f36cf12edc4a71f6cadd089c0524fed920,,30,True,True,False,False
9,Q9JyBMHHm2Q,basketball,fiba,FIBA full game 2025,2026-09-11T16:35:34Z,2026-09-11T16:41:36Z,YES,232|270,232|270,232|270,True,True,36,48,OK,ca8cb03c6746c9581b697d01d95fa9b559cd7be79a407c43668fb16c620f3c56,,30,True,True,False,False
