order,competition,tag,query,source_id,duration_s,title,discovered_at
0,nba,.,NBA full game replay 2025,oL9Uaie2v2A,6150,Los Angeles Lakers vs Los Angeles Clippers NBA FULL GAME 02.,2026-09-11T16:35:08Z
1,nba,.,NBA full game replay 2025,L7o4UCIIqS4,5414,Milwaukee Bucks vs San Antonio Spurs NBA FULL GAME 01.08.202,2026-09-11T16:35:08Z
2,nba,.,NBA full game replay 2025,Kh7Fj4ogPN4,6140,Oklahoma City Thunder vs Minnesota Timberwolves NBA FULL GAM,2026-09-11T16:35:08Z
3,nba,.,NBA full game replay 2025,pPHOlLVyjQc,3307,The Most INSANE Endings of the 2025-26 NBA Season | Pt. 2,2026-09-11T16:35:08Z
4,nba,.,NBA full game replay 2025,o6uZg1OXn0U,3435,The Most INSANE Endings of the 2025-26 NBA Season | Pt. 1,2026-09-11T16:35:08Z
5,nba,.,NBA full game replay 2025,KO5gQVMZlrw,16045,4 HOURS of the NBA's WILDEST ENDINGS of the 2022-23 Season 🔥,2026-09-11T16:35:08Z
6,nba,.,NBA full game replay 2025,3fT6aYz2N9w,6528,Grizzlies & Warriors EPIC OT BATTLE - 2021 NBA Play-In Tourn,2026-09-11T16:35:08Z
7,nba,.,NBA full game replay 2025,cRqEjm_OF1E,5648,LeBron James Highest-Scoring Game As A Laker 🔥 | NBA Classic,2026-09-11T16:35:08Z
8,nba,.,NBA full game replay 2025,7DT_8xZwDRU,5839,Clippers & Lakers Battle For LA On Christmas Day | NBA Class,2026-09-11T16:35:08Z
9,nba,.,NBA full game replay 2025,LPDnemFoqVk,5642,Warriors & Lakers Instant Classic - 2021 Play-In Tournament ,2026-09-11T16:35:08Z
10,nba,.,NBA full game replay 2025,h5pTl8fOM2U,5799,Warriors vs Cavaliers EPIC Finals Rematch On Christmas Day |,2026-09-11T16:35:08Z
11,nba,.,NBA full game replay 2025,I33o9UnUe1A,7358,Stephen Curry Delivers One of the Greatest Games Ever | NBA ,2026-09-11T16:35:08Z
12,nba,.,NBA full game replay 2025,RD68Xth--34,5068,The WILDEST ENDINGS Of Week 6 | 2024-25 NBA Season,2026-09-11T16:35:08Z
13,nba,.,NBA full game replay 2025,IeaneIKx1Ig,11216,3 Hours of the BEST Moments of NBA Week 2 | 2023-24 Season,2026-09-11T16:35:08Z
14,nba,.,NBA full game replay 2025,7HQqWMaKxpA,7108,Philippines v Iran | Full Basketball Game | FIBA Basketball ,2026-09-11T16:35:08Z
15,nba,.,NBA full game 2024,5U9k1U6nN-g,4752,Lakers vs Warriors WILD Christmas Day Ending | NBA Classic G,2026-09-11T16:35:12Z
16,nba,.,NBA full game 2024,qAeUUwn-A8s,5223,"The Biggest Game 7 Comeback In NBA History! | May 19, 2024",2026-09-11T16:35:12Z
17,nba,.,NBA full game 2024,sN8v9Uus6xw,5678,Luka Dončić's ICONIC 73-PT Performance | Full Game | January,2026-09-11T16:35:12Z
18,nba,.,NBA full game 2024,spBCthmSgks,6809,2024 NBA Playoffs: #6 Phoenix Suns vs #3 Minnesota Timberwol,2026-09-11T16:35:12Z
19,nba,.,NBA full game 2024,Ktu6yFS9iMo,6386,"TIMBERWOLVES at LAKERS | FULL GAME | October 24, 2025",2026-09-11T16:35:12Z
20,nba,.,NBA full game 2024,J6RT3BHHvPU,5330,Stephen Curry Breaks The All-Time 3-PT Record | NBA Classic ,2026-09-11T16:35:12Z
21,nba,.,NBA full game 2024,oL9Uaie2v2A,6150,Los Angeles Lakers vs Los Angeles Clippers NBA FULL GAME 02.,2026-09-11T16:35:12Z
22,nba,.,NBA full game 2024,L7o4UCIIqS4,5414,Milwaukee Bucks vs San Antonio Spurs NBA FULL GAME 01.08.202,2026-09-11T16:35:12Z
23,nba,.,NBA full game 2024,waBDFY4ihS0,5848,Los Angeles Clippers vs Dallas Mavericks NBA FULL GAME 21.12,2026-09-11T16:35:12Z
24,nba,.,NBA full game 2024,RWO5tGSbLDI,7370,NBA Full Game | San Antonio Spurs vs Golden State Warriors |,2026-09-11T16:35:12Z
25,nba,.,NBA full game 2024,coYlCAzzpjI,9170,Los Angeles Lakers vs Denver Nuggets NBA Full Game Replay - ,2026-09-11T16:35:12Z
26,nba,.,NBA full game 2024,uJs693eNfuQ,8087,Men's Basketball Gold Medal Match 🏀 | Full Replay | Paris Re,2026-09-11T16:35:12Z
27,nba,.,NBA full game 2024,-0XiPUZXBcM,8098,2024 NBA Finals Game 5 Sky Cam Full Game: DAL vs BOS,2026-09-11T16:35:12Z
28,nba,.,NBA full game 2024,J8WABIinM64,5461,Memphis Grizzlies vs Orlando Magic NBA FULL GAME 2024,2026-09-11T16:35:12Z
29,nba,.,NBA full game 2024,3fT6aYz2N9w,6528,Grizzlies & Warriors EPIC OT BATTLE - 2021 NBA Play-In Tourn,2026-09-11T16:35:12Z
30,wnba,.,WNBA full game 2025,QCoM_-z6OT4,4504,UConn vs. UCLA - 2025 NCAA women’s Final Four | FULL REPLAY,2026-09-11T16:35:17Z
31,wnba,.,WNBA full game 2025,8kHt2bFTK6g,3776,Indiana Fever VS Connecticut Sun Full Game Highlights June 1,2026-09-11T16:35:17Z
32,wnba,.,WNBA full game 2025,2bOgqv235pg,4728,2023 WNBA Finals | Game 4: Las Vegas Aces vs. New York Liber,2026-09-11T16:35:17Z
33,wnba,.,WNBA full game 2025,1zPhldjbJnU,5815,"Indiana Fever vs Atlanta Dream Full Game Aug 16, 2026 | WNBA",2026-09-11T16:35:17Z
34,wnba,.,WNBA full game 2025,mn5dZWT3HBQ,3671,"Indiana Fever vs. New York Liberty | Full Game | Jun 14,2025",2026-09-11T16:35:17Z
35,wnba,.,WNBA full game 2025,H7AMXVGkPhE,4048,"Las Vegas Aces vs Minnesota Lynx | Full Game | Jul 25, 2025 ",2026-09-11T16:35:17Z
36,wnba,.,WNBA full game 2025,IwF-L57_Mes,4380,Indiana Fever VS New York Liberty Full Game Highlights June ,2026-09-11T16:35:17Z
37,wnba,.,WNBA full game 2025,wd08fix8q3Q,6024,Indiana Fever VS Los Angeles Sparks Full Game Highlights Aug,2026-09-11T16:35:17Z
38,wnba,.,WNBA full game 2025,wptZj4SuFtE,5296,"Indiana Fever VS Chicago Sky Full Game Highlights Aug 09, 20",2026-09-11T16:35:17Z
39,wnba,.,WNBA full game 2025,LS2gHvzAW9Y,3653,"Sky vs Storm  Full Game | Aug 19, 2025| WNBA  Season 2025",2026-09-11T16:35:17Z
40,wnba,.,WNBA full game 2025,UCVSlzgun0o,5801,UConn vs. South Carolina - 2025 NCAA women’s national champi,2026-09-11T16:35:17Z
41,wnba,.,WNBA full game 2025,ouRk-j987wk,5023,Las Vegas Aces vs. Connecticut Sun | 2022 WNBA Finals Game 4,2026-09-11T16:35:17Z
42,wnba,.,WNBA full game 2025,SNeyXC57K1Y,3671,"Dallas Wings vs Las Vegas Ace Full Game Jul 27, 2025 | WNBA ",2026-09-11T16:35:17Z
43,wnba,.,WNBA full game 2025,q9kHoUZvxik,6267,"Indiana Fever VS Dallas Wings Full Game Highlights Aug 01, 2",2026-09-11T16:35:17Z
44,wnba,.,WNBA full game 2025,e3E_WApsLV4,5942,Indiana Fever VS Chicago Sky Full Full Game Highlights July ,2026-09-11T16:35:17Z
45,ncaa_basketball,.,NCAA basketball full game 2025,7blRl4zVfrY,4813,#8 Houston vs. #14 Arkansas Full Game Replay (12.20.25) | 20,2026-09-11T16:35:21Z
46,ncaa_basketball,.,NCAA basketball full game 2025,-Oa_BpdVT64,5409,Duke vs. Alabama - 2025 NCAA men’s Elite Eight | FULL REPLAY,2026-09-11T16:35:21Z
47,ncaa_basketball,.,NCAA basketball full game 2025,6rQ2sV4upfc,4538,BYU vs. Kansas Full Game Replay (1.31.26) | 2025-26 Big 12 M,2026-09-11T16:35:21Z
48,ncaa_basketball,.,NCAA basketball full game 2025,KZK9rv9TnGE,7201,Texas vs. Duke Full Game Replay |  2025-26 ACC Men’s Basketb,2026-09-11T16:35:21Z
49,ncaa_basketball,.,NCAA basketball full game 2025,N-eE7ZwTuno,5155,Duke vs. Baylor - 2025 NCAA men’s second round | FULL REPLAY,2026-09-11T16:35:21Z
50,ncaa_basketball,.,NCAA basketball full game 2025,DF774VFj7xs,4193,Florida vs. Duke Full Game Replay | 2025-26 ACC Men's Basket,2026-09-11T16:35:21Z
51,ncaa_basketball,.,NCAA basketball full game 2025,1w-1LMPaxsI,5161,Kentucky vs. Louisville Full Game Replay | 2025-26 ACC Men's,2026-09-11T16:35:21Z
52,ncaa_basketball,.,NCAA basketball full game 2025,VEUJpELt_yA,5892,Houston vs. Duke - 2025 NCAA men’s Final Four | FULL REPLAY,2026-09-11T16:35:21Z
53,ncaa_basketball,.,NCAA basketball full game 2025,hLv8cwl0asQ,6308,Florida vs. Auburn - 2025 NCAA men’s Final Four | FULL REPLA,2026-09-11T16:35:21Z
54,ncaa_basketball,.,NCAA basketball full game 2025,rDN2P2gcteY,5637,Florida vs. Texas Tech - 2025 NCAA men’s Elite Eight | FULL ,2026-09-11T16:35:21Z
55,ncaa_basketball,.,NCAA basketball full game 2025,trGsuzTRCJU,5670,#4 Arizona vs. #2 Houston Full Game Replay (2.21.26) | 2025-,2026-09-11T16:35:21Z
56,ncaa_basketball,.,NCAA basketball full game 2025,vYUtp9BnQIw,4400,Kansas vs. North Carolina Full Game Replay | 2025-26ACC Men',2026-09-11T16:35:21Z
57,ncaa_basketball,.,NCAA basketball full game 2025,-n4iviRLtsU,4201,#19 Texas Tech vs. #3 Duke Full Game Replay (12.20.25) | 202,2026-09-11T16:35:21Z
58,ncaa_basketball,.,NCAA basketball full game 2025,IpR4pT8iN0Y,3793,North Carolina vs. Duke Full Game Replay | 2025-26 ACC Men's,2026-09-11T16:35:21Z
59,ncaa_basketball,.,NCAA basketball full game 2025,GtwFiAa1gXI,5177,Houston vs. Purdue - 2025 NCAA men’s Sweet 16 | FULL REPLAY,2026-09-11T16:35:21Z
60,ncaa_basketball,.,college basketball full game replay,7blRl4zVfrY,4813,#8 Houston vs. #14 Arkansas Full Game Replay (12.20.25) | 20,2026-09-11T16:35:26Z
61,ncaa_basketball,.,college basketball full game replay,s-0Y7aLxXgM,5022,#8 Houston vs. #16 BYU Full Game Replay (2.7.26) | 2025-26 B,2026-09-11T16:35:26Z
62,ncaa_basketball,.,college basketball full game replay,6rQ2sV4upfc,4538,BYU vs. Kansas Full Game Replay (1.31.26) | 2025-26 Big 12 M,2026-09-11T16:35:26Z
63,ncaa_basketball,.,college basketball full game replay,N-eE7ZwTuno,5155,Duke vs. Baylor - 2025 NCAA men’s second round | FULL REPLAY,2026-09-11T16:35:26Z
64,ncaa_basketball,.,college basketball full game replay,-Oa_BpdVT64,5409,Duke vs. Alabama - 2025 NCAA men’s Elite Eight | FULL REPLAY,2026-09-11T16:35:26Z
65,ncaa_basketball,.,college basketball full game replay,7gOkXUv8Uwk,5179,Michigan vs. Alabama: 2026 NCAA men's Sweet 16 | FULL REPLAY,2026-09-11T16:35:26Z
66,ncaa_basketball,.,college basketball full game replay,iDogCL8td5Q,4664,Virginia vs. Duke Full Game Replay | 2025-26 ACC Men's Baske,2026-09-11T16:35:26Z
67,ncaa_basketball,.,college basketball full game replay,FyMWTVsJvv8,4522,Texas Tech vs. Houston Full Game Replay (1.6.26) | 2025-26 B,2026-09-11T16:35:26Z
68,ncaa_basketball,.,college basketball full game replay,Ge4uewCFUFQ,4866,#2 Houston vs. #6 Iowa State Full Game Replay (2.16.26) | 20,2026-09-11T16:35:26Z
69,ncaa_basketball,.,college basketball full game replay,dPgMkcHsSBE,5438,UConn vs. Oklahoma - 2025 NCAA men's first round | FULL REPL,2026-09-11T16:35:26Z
70,ncaa_basketball,.,college basketball full game replay,dAy3tnlu3EQ,4517,#20 Auburn vs. #2 Arizona Full Game Replay (12.6.25) | 2025-,2026-09-11T16:35:26Z
71,ncaa_basketball,.,college basketball full game replay,qTXrSRHHR2M,5713,Auburn vs. Duke Full Game Replay | 2024-25 ACC Men's Basketb,2026-09-11T16:35:26Z
72,ncaa_basketball,.,college basketball full game replay,XS-CeNRGmjs,6786,"#25 Alabama vs #20 Arkansas | CTSN Full Game | February 18, ",2026-09-11T16:35:26Z
73,ncaa_basketball,.,college basketball full game replay,trGsuzTRCJU,5670,#4 Arizona vs. #2 Houston Full Game Replay (2.21.26) | 2025-,2026-09-11T16:35:26Z
74,ncaa_basketball,.,college basketball full game replay,-n4iviRLtsU,4201,#19 Texas Tech vs. #3 Duke Full Game Replay (12.20.25) | 202,2026-09-11T16:35:26Z
75,basketball,euroleague,EuroLeague full game 2025,lTRxUTuX-Tk,9330,Olimpia Milano - Olympiacos Euroleague 2025-26 Riund 11 FULL,2026-09-11T16:35:30Z
76,basketball,euroleague,EuroLeague full game 2025,mXTDT3_sQbk,9599,The -20 COMEBACK Game | Olympiacos - Paris Basketball | EURO,2026-09-11T16:35:30Z
77,basketball,euroleague,EuroLeague full game 2025,u55vdPRGwSY,10562,Olympiacos - Real Madrid | A FINAL WORTH THE WAIT | EUROLEAG,2026-09-11T16:35:30Z
78,basketball,euroleague,EuroLeague full game 2025,6sJXOThOUEY,10398,GREEK RIVALRY Classic | Panathinaikos - Olympiacos | EUROLEA,2026-09-11T16:35:30Z
79,basketball,euroleague,EuroLeague full game 2025,CKh4oSjKnbQ,8345,UNFORGETTABLE Semifinal | Olympiacos - AS Monaco | EUROLEAGU,2026-09-11T16:35:30Z
80,basketball,euroleague,EuroLeague full game 2025,31BodlgQOvg,13260,FINAL MINUTES Decide It | Fenerbahçe - Paris Basketball | EU,2026-09-11T16:35:30Z
81,basketball,euroleague,EuroLeague full game 2025,tCpBCdX4AJ0,8274,El Clásico Thriller | Barcelona - Real Madrid | EUROLEAGUE C,2026-09-11T16:35:30Z
82,basketball,euroleague,EuroLeague full game 2025,uuEogjHnXDY,9424,WIN OR GO HOME Game 5 | Panathinaikos - Maccabi | EUROLEAGUE,2026-09-11T16:35:30Z
83,basketball,euroleague,EuroLeague full game 2025,s7FYmMgF7j0,9863,BUZZER DRAMA in Kaunas | Zalgiris - Crvena Zvezda | EuroLeag,2026-09-11T16:35:30Z
84,basketball,euroleague,EuroLeague full game 2025,QmoPpJI7OCI,10861,The Night Fenerbahce Took the THRONE | AS Monaco - Fener | E,2026-09-11T16:35:30Z
85,basketball,euroleague,EuroLeague full game 2025,lvHM0sKDvYo,9918,TIGHT till the end in a ONE-POINT THRILLER | Bayern - Monaco,2026-09-11T16:35:30Z
86,basketball,euroleague,EuroLeague full game 2025,xRuH1qSD2dE,10975,Real Madrid vs Panathinaikos LEAVE IT ALL on the COURT | FIN,2026-09-11T16:35:30Z
87,basketball,euroleague,EuroLeague full game 2025,1JN2w7nPn9k,12360,CLUTCH Battle WORTH REWATCHING | Baskonia - Barcelona | EURO,2026-09-11T16:35:30Z
88,basketball,euroleague,EuroLeague full game 2025,apsx4VQKE4s,9488,High-Stakes in Belgrade | Partizan - Real Madrid | EUROLEAGU,2026-09-11T16:35:30Z
