draw_j,source_id,competition,tag,query,duration_s,title,discovered_at,membership_count,query_memberships,fmt
0,0pKftc-Z0_k,basketball,bleague,B.League full game,7106,【バスケ】千葉Jvs横浜BC | 第100回天皇杯 2次ラウンド 広島会場 DAY2 | 2024.9.22,2026-09-11T16:36:49Z,1,basketball/B.League full game,270
1,y5rz-f3spww,basketball,bleague,B.League full game,8397,【B.LEAGUE】2018 決勝 アルバルク東京vs千葉ジェッツ,2026-09-11T16:36:49Z,1,basketball/B.League full game,270
2,mxV9XV3uwVs,basketball,bcl,Basketball Champions League full game,7500,BAXI Manresa v Nutribullet Treviso | Full Game| Basketball C,2026-09-11T16:36:05Z,1,basketball/Basketball Champions League full game,270
3,SCuv58Dsehg,basketball,betclic,Betclic Elite match complet basket,341,Le résumé du Young Star Game | Betclic Elite,2026-09-11T16:36:18Z,1,basketball/Betclic Elite match complet basket,270
4,N-AM_AtzV1s,basketball,cba,CBA basketball full game,7290,CHINESE CBA LEAGUE: 2012 finals - Beijing Ducks vs Guangdong,2026-09-11T16:35:47Z,1,basketball/CBA basketball full game,270
5,J6YFyipGQTQ,basketball,eurocup,EuroCup full game replay,522,Lietkabelis Panevezys -- Besiktas GAIN Istanbul | Round 1 | ,2026-09-11T16:36:00Z,1,basketball/EuroCup full game replay,270
6,2sbib3tt90c,basketball,euroleague,EuroLeague full game 2025,8884,Abu Dhabi SEMIFINAL Lights Up Green & Yellow | Fenerbahce – ,2026-09-11T16:35:30Z,1,basketball/EuroLeague full game 2025,270
7,xRuH1qSD2dE,basketball,euroleague,EuroLeague full game 2025,10975,Real Madrid vs Panathinaikos LEAVE IT ALL on the COURT | FIN,2026-09-11T16:35:30Z,1,basketball/EuroLeague full game 2025,270
8,L2uZqxKTgVU,basketball,fibawc,FIBA World Cup 2023 full game,7881,Italy vs Slovenia | Full Basketball Game | FIBA Basketball W,2026-09-11T16:36:36Z,1,basketball/FIBA World Cup 2023 full game,270
9,Q9JyBMHHm2Q,basketball,fiba,FIBA full game 2025,9600,3RD PLACE GAME | Greece v Finland | Full Basketball Game | F,2026-09-11T16:35:34Z,2,basketball/FIBA full game 2025|basketball/FIBA EuroBasket 2025 full game,270
10,Bw-kLQF82_g,basketball,gleague,G League full game 2025,395,Ciudad de México Capitanes vs. Osceola Magic - Game Highligh,2026-09-11T16:35:43Z,1,basketball/G League full game 2025,270
11,vgb11ZoSpE4,basketball,gleague,G League full game 2025,226,Back-to-back! Unicaja beat NBA G League United again for ano,2026-09-11T16:35:43Z,1,basketball/G League full game 2025,270
12,bTLh4z-3ZmE,basketball,kbl,KBL full game replay,239,Anyang KGC vs. San Miguel Beermen - Game Highlights,2026-09-11T16:36:53Z,1,basketball/KBL full game replay,270
13,jXbV5rbuK9I,basketball,lba,Lega Basket Serie A partita completa,7562,Finale Scudetto 2023-24 Olimpia Milano - Virtus Bologna G4 (,2026-09-11T16:36:14Z,1,basketball/Lega Basket Serie A partita completa,270
14,OHJgVogFtNE,basketball,acb,Liga ACB partido completo,7356,Partido completo: Barça Atlètic – Real Madrid | Grupo A | Li,2026-09-11T16:35:39Z,1,basketball/Liga ACB partido completo,270
15,Z9LZwPvEMTU,basketball,gleague,NBA G League full game,9215,NBA G League United v Tasmania JackJumpers | Full Basketball,2026-09-11T16:35:51Z,1,basketball/NBA G League full game,270
16,CdviIms2akE,basketball,nbl,NBL Australia full game replay,9621,NBL26 Championship Series Game 5 | Sydney Kings vs Adelaide ,2026-09-11T16:36:09Z,1,basketball/NBL Australia full game replay,270
17,vWF_p2syAoY,basketball,nbl,NBL Australia full game replay,6283,Best of NBL20 | LaMelo Ball's First Triple Double vs Cairns,2026-09-11T16:36:09Z,1,basketball/NBL Australia full game replay,270
18,u1OWyy1C_i8,nba,summerleague,NBA Summer League full game 2025,7068,Milwaukee Bucks vs Chicago Bulls  Full  Game Jul 16 2025 NBA,2026-09-11T16:36:27Z,1,nba/NBA Summer League full game 2025,270
19,uJs693eNfuQ,nba,.,NBA full game 2024,8087,Men's Basketball Gold Medal Match 🏀 | Full Replay | Paris Re,2026-09-11T16:35:12Z,1,nba/NBA full game 2024,270
20,h5pTl8fOM2U,nba,.,NBA full game replay 2025,5799,Warriors vs Cavaliers EPIC Finals Rematch On Christmas Day |,2026-09-11T16:35:08Z,1,nba/NBA full game replay 2025,270
21,pY5qP_RvHjg,nba,.,NBA preseason full game 2025,7964,Winner Takes All! Baltimore Ravens vs. Pittsburgh Steelers F,2026-09-11T16:36:58Z,1,nba/NBA preseason full game 2025,270
22,r47nstLp4Eo,ncaa_basketball,.,Big East basketball full game replay,4237,Georgetown vs. Wake Forest Full Game Replay | 2025-26 ACC Wo,2026-09-11T16:36:40Z,1,ncaa_basketball/Big East basketball full game replay,270
23,hLv8cwl0asQ,ncaa_basketball,.,NCAA basketball full game 2025,6308,Florida vs. Auburn - 2025 NCAA men’s Final Four | FULL REPLA,2026-09-11T16:35:21Z,1,ncaa_basketball/NCAA basketball full game 2025,270
24,quW0Kn-ombo,ncaa_basketball,.,NCAA tournament full game replay 2024,4552,Oakland vs. Kentucky: 2024 NCAA men's first round | FULL REP,2026-09-11T16:37:02Z,1,ncaa_basketball/NCAA tournament full game replay 2024,270
