draw_j,source_id,card,raw_listing,metadata,compatible_30fps,probe_status
0,0pKftc-Z0_k,card_00_0pKftc-Z0_k.txt,raw_formats/0pKftc-Z0_k.txt,metadata/0pKftc-Z0_k.json,YES,OK
1,y5rz-f3spww,card_01_y5rz-f3spww.txt,raw_formats/y5rz-f3spww.txt,metadata/y5rz-f3spww.json,NO,OK
2,mxV9XV3uwVs,card_02_mxV9XV3uwVs.txt,raw_formats/mxV9XV3uwVs.txt,metadata/mxV9XV3uwVs.json,YES,OK
3,SCuv58Dsehg,card_03_SCuv58Dsehg.txt,raw_formats/SCuv58Dsehg.txt,metadata/SCuv58Dsehg.json,NO,OK
4,N-AM_AtzV1s,card_04_N-AM_AtzV1s.txt,raw_formats/N-AM_AtzV1s.txt,metadata/N-AM_AtzV1s.json,NO,OK
5,J6YFyipGQTQ,card_05_J6YFyipGQTQ.txt,raw_formats/J6YFyipGQTQ.txt,metadata/J6YFyipGQTQ.json,NO,OK
6,2sbib3tt90c,card_06_2sbib3tt90c.txt,raw_formats/2sbib3tt90c.txt,metadata/2sbib3tt90c.json,NO,OK
7,xRuH1qSD2dE,card_07_xRuH1qSD2dE.txt,raw_formats/xRuH1qSD2dE.txt,metadata/xRuH1qSD2dE.json,NO,OK
8,L2uZqxKTgVU,card_08_L2uZqxKTgVU.txt,raw_formats/L2uZqxKTgVU.txt,metadata/L2uZqxKTgVU.json,YES,OK
9,Q9JyBMHHm2Q,card_09_Q9JyBMHHm2Q.txt,raw_formats/Q9JyBMHHm2Q.txt,metadata/Q9JyBMHHm2Q.json,YES,OK
10,Bw-kLQF82_g,card_10_Bw-kLQF82_g.txt,raw_formats/Bw-kLQF82_g.txt,metadata/Bw-kLQF82_g.json,NO,OK
11,vgb11ZoSpE4,card_11_vgb11ZoSpE4.txt,raw_formats/vgb11ZoSpE4.txt,metadata/vgb11ZoSpE4.json,NO,OK
12,bTLh4z-3ZmE,card_12_bTLh4z-3ZmE.txt,raw_formats/bTLh4z-3ZmE.txt,metadata/bTLh4z-3ZmE.json,NO,OK
13,jXbV5rbuK9I,card_13_jXbV5rbuK9I.txt,raw_formats/jXbV5rbuK9I.txt,metadata/jXbV5rbuK9I.json,NO,OK
14,OHJgVogFtNE,card_14_OHJgVogFtNE.txt,raw_formats/OHJgVogFtNE.txt,metadata/OHJgVogFtNE.json,YES,OK
15,Z9LZwPvEMTU,card_15_Z9LZwPvEMTU.txt,raw_formats/Z9LZwPvEMTU.txt,metadata/Z9LZwPvEMTU.json,NO,OK
16,CdviIms2akE,card_16_CdviIms2akE.txt,raw_formats/CdviIms2akE.txt,metadata/CdviIms2akE.json,NO,OK
17,vWF_p2syAoY,card_17_vWF_p2syAoY.txt,raw_formats/vWF_p2syAoY.txt,metadata/vWF_p2syAoY.json,NO,OK
18,u1OWyy1C_i8,card_18_u1OWyy1C_i8.txt,raw_formats/u1OWyy1C_i8.txt,metadata/u1OWyy1C_i8.json,YES,OK
19,uJs693eNfuQ,card_19_uJs693eNfuQ.txt,raw_formats/uJs693eNfuQ.txt,metadata/uJs693eNfuQ.json,NO,OK
20,h5pTl8fOM2U,card_20_h5pTl8fOM2U.txt,raw_formats/h5pTl8fOM2U.txt,metadata/h5pTl8fOM2U.json,YES,OK
21,pY5qP_RvHjg,card_21_pY5qP_RvHjg.txt,raw_formats/pY5qP_RvHjg.txt,metadata/pY5qP_RvHjg.json,YES,OK
22,r47nstLp4Eo,card_22_r47nstLp4Eo.txt,raw_formats/r47nstLp4Eo.txt,metadata/r47nstLp4Eo.json,NO,OK
23,hLv8cwl0asQ,card_23_hLv8cwl0asQ.txt,raw_formats/hLv8cwl0asQ.txt,metadata/hLv8cwl0asQ.json,YES,OK
24,quW0Kn-ombo,card_24_quW0Kn-ombo.txt,raw_formats/quW0Kn-ombo.txt,metadata/quW0Kn-ombo.json,YES,OK
25,wYEldEDV3dQ,card_25_wYEldEDV3dQ.txt,raw_formats/wYEldEDV3dQ.txt,metadata/wYEldEDV3dQ.json,NO,OK
26,lWJ8W_jjZ5s,card_26_lWJ8W_jjZ5s.txt,raw_formats/lWJ8W_jjZ5s.txt,metadata/lWJ8W_jjZ5s.json,NO,OK
27,s-0Y7aLxXgM,card_27_s-0Y7aLxXgM.txt,raw_formats/s-0Y7aLxXgM.txt,metadata/s-0Y7aLxXgM.json,NO,OK
28,ouRk-j987wk,card_28_ouRk-j987wk.txt,raw_formats/ouRk-j987wk.txt,metadata/ouRk-j987wk.json,NO,OK
29,e3MKg537C3w,card_29_e3MKg537C3w.txt,raw_formats/e3MKg537C3w.txt,metadata/e3MKg537C3w.json,YES,OK
