draw_j,source_id,ytid,competition,tag,query,duration_s,dur,title,discovered_at,membership_count,query_memberships,fmt
0,5_sp7Q8AHcU,5_sp7Q8AHcU,basketball,bcl,Basketball Champions League full game,7184,7184,JDA Bourgogne Dijon v Unicaja | Full Game | Basketball Champ,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
1,BV7nede6C6k,BV7nede6C6k,basketball,bcl,Basketball Champions League full game,7781,7781,Juventus Utena v SIG Strasbourg - Full Game - Basketball Cha,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
2,PDVNoSynU7Y,PDVNoSynU7Y,basketball,bcl,Basketball Champions League full game,7471,7471,Darüssafaka v BAXI Manresa - Full Game | Basketball Champion,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
3,UjX5lMFlwhA,UjX5lMFlwhA,basketball,bcl,Basketball Champions League full game,7500,7500,Stelmet Zielona Gora v MHP RIESEN Ludwigsburg - Full Game - ,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
4,WE47jDv_JLs,WE47jDv_JLs,basketball,bcl,Basketball Champions League full game,10387,10387,AS Monaco v AEK - Final - Full Game - Basketball Champions L,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
5,Y8Twp7LgPb8,Y8Twp7LgPb8,basketball,bcl,Basketball Champions League full game,8115,8115,Limoges CSP v BAXI Manresa | Full Game | Basketball Champion,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
6,fixywKCSSpw,fixywKCSSpw,basketball,bcl,Basketball Champions League full game,7297,7297,Hapoel Jerusalem v Iberostar Tenerife - Full Game - Qtr-Fina,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
7,g0lXjTWhxQo,g0lXjTWhxQo,basketball,bcl,Basketball Champions League full game,8870,8870,Filou Oostende v Hapoel Atsmon Holon | Full Game | Basketbal,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
8,iiBVytTmfKw,iiBVytTmfKw,basketball,bcl,Basketball Champions League full game,8285,8285,Hapoel Atsmon Holon v Hapoel Jerusalem | Full Game | Basketb,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
9,iwnByd_Iowk,iwnByd_Iowk,basketball,bcl,Basketball Champions League full game,7162,7162,Hapoel U-net Holon v SIG Strasbourg - Full Game | Basketball,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
10,mxV9XV3uwVs,mxV9XV3uwVs,basketball,bcl,Basketball Champions League full game,7500,7500,BAXI Manresa v Nutribullet Treviso | Full Game| Basketball C,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
11,pYCgIuP6-e0,pYCgIuP6-e0,basketball,bcl,Basketball Champions League full game,9069,9069,MHP Riesen Ludwigsburg v BAXI Manresa | Semi-Final | Full Ga,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
12,qTISjk2vR1U,qTISjk2vR1U,basketball,bcl,Basketball Champions League full game,8020,8020,Partizan v PAOK - Full Game - Play-Off Qualifiers 2 - Basket,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
13,y8UQxPOVdbE,y8UQxPOVdbE,basketball,bcl,Basketball Champions League full game,7534,7534,BAXI Manresa v Darüssafaka - Full Game | Basketball Champion,2026-09-11T18:10:50Z,1,basketball/Basketball Champions League full game,270
14,-sZHSUp1WV4,-sZHSUp1WV4,basketball,eurocup,EuroCup full game replay,6923,6923,Joventut’s DEFENSIVE MASTERCLASS 🔒 | 2008 EuroCup Final vs. ,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
15,1MQ38PsSviw,1MQ38PsSviw,basketball,eurocup,EuroCup full game replay,8726,8726,Lietuvos Rytas MAKES HISTORY! 📖 2009 EuroCup Final vs. Khimk,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
16,2UNJe2grSzo,2UNJe2grSzo,basketball,eurocup,EuroCup full game replay,9770,9770,Sevilla v Roma (1-1) (Sevilla win 4-1 on penalties) | Europa,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
17,EIcNJX8JyA0,EIcNJX8JyA0,basketball,eurocup,EuroCup full game replay,10815,10815,THRILLING OVERTIME NIGHT! | London - Paris | 2023-24 EuroCup,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
18,OFbyNU6UQQs,OFbyNU6UQQs,basketball,eurocup,EuroCup full game replay,5989,5989,FULL MATCH: Portugal v Spain | 2018 FIFA World Cup,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
19,T1LZvhP3AeM,T1LZvhP3AeM,basketball,eurocup,EuroCup full game replay,9546,9546,MVP SHORTS leads PARIS to the TRIUMPH! | Bourg - Paris | 202,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
20,adN6aEmgK5Y,adN6aEmgK5Y,basketball,eurocup,EuroCup full game replay,9584,9584,Dynamo Moscow CROWNED EuroCup KING 👑 | 2006 Final vs. Aris |,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
21,df0jesjE3yk,df0jesjE3yk,basketball,eurocup,EuroCup full game replay,9480,9480,Valencia BECOMES FIRST-EVER EuroCup Champion | Game 2 vs Krk,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
22,prxLSgEkawg,prxLSgEkawg,basketball,eurocup,EuroCup full game replay,9182,9182,50-POINTS SECOND HALF makes the DIFFERENCE! | Besiktas - Bou,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
23,rOdFBZJRwEo,rOdFBZJRwEo,basketball,eurocup,EuroCup full game replay,9671,9671,RESILIENCE right to THE END! | Gran Canaria - Turk Telekom |,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
24,vq17CRazqJo,vq17CRazqJo,basketball,eurocup,EuroCup full game replay,8703,8703,SPECTACULAR FIRST HALF boosts the hometeam! | Paris - Bourg ,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
25,zyV1NxdXo2c,zyV1NxdXo2c,basketball,eurocup,EuroCup full game replay,9398,9398,TEODOSIC leads VIRTUS to the EuroCup title | Virtus - Frutti,2026-09-11T18:10:46Z,1,basketball/EuroCup full game replay,270
26,Lp3An-07otU,Lp3An-07otU,basketball,gleague,G League full game 2025,6270,6270,NRL 2026 | Dragons v Eels | Full Match Replay | Round 27,2026-09-11T18:10:28Z,1,basketball/G League full game 2025,270
27,-0XiPUZXBcM,-0XiPUZXBcM,nba,.,NBA full game 2024,8098,8098,2024 NBA Finals Game 5 Sky Cam Full Game: DAL vs BOS,2026-09-11T18:09:57Z,1,nba/NBA full game 2024,270
