draw_j,source_id,card,raw_listing,metadata,compatible_30fps,probe_status
0,0pKftc-Z0_k,card_00_0pKftc-Z0_k.txt,raw_formats/0pKftc-Z0_k.txt,metadata/0pKftc-Z0_k.json,YES,OK
1,UPlzuJyGLX0,card_01_UPlzuJyGLX0.txt,raw_formats/UPlzuJyGLX0.txt,metadata/UPlzuJyGLX0.json,YES,OK
2,tPLwS9QjGHw,card_02_tPLwS9QjGHw.txt,raw_formats/tPLwS9QjGHw.txt,metadata/tPLwS9QjGHw.json,YES,OK
3,StaR8HvV_jM,card_03_StaR8HvV_jM.txt,raw_formats/StaR8HvV_jM.txt,metadata/StaR8HvV_jM.json,NO,OK
4,g0lXjTWhxQo,card_04_g0lXjTWhxQo.txt,raw_formats/g0lXjTWhxQo.txt,metadata/g0lXjTWhxQo.json,YES,OK
5,97AypcBJNUE,card_05_97AypcBJNUE.txt,raw_formats/97AypcBJNUE.txt,metadata/97AypcBJNUE.json,NO,OK
6,mAl_gEPhp3s,card_06_mAl_gEPhp3s.txt,raw_formats/mAl_gEPhp3s.txt,metadata/mAl_gEPhp3s.json,UNKNOWN,INCOMPLETE
7,EIcNJX8JyA0,card_07_EIcNJX8JyA0.txt,raw_formats/EIcNJX8JyA0.txt,metadata/EIcNJX8JyA0.json,NO,OK
8,prxLSgEkawg,card_08_prxLSgEkawg.txt,raw_formats/prxLSgEkawg.txt,metadata/prxLSgEkawg.json,NO,OK
9,_PA1xPaXG4E,card_09__PA1xPaXG4E.txt,raw_formats/_PA1xPaXG4E.txt,metadata/_PA1xPaXG4E.json,YES,OK
10,IOPrVtbhAzw,card_10_IOPrVtbhAzw.txt,raw_formats/IOPrVtbhAzw.txt,metadata/IOPrVtbhAzw.json,YES,OK
11,OUgH-3iZnYs,card_11_OUgH-3iZnYs.txt,raw_formats/OUgH-3iZnYs.txt,metadata/OUgH-3iZnYs.json,YES,OK
12,fXoZZhGQcsg,card_12_fXoZZhGQcsg.txt,raw_formats/fXoZZhGQcsg.txt,metadata/fXoZZhGQcsg.json,YES,OK
13,1fR4CEEbVvU,card_13_1fR4CEEbVvU.txt,raw_formats/1fR4CEEbVvU.txt,metadata/1fR4CEEbVvU.json,YES,OK
14,uksR2pjXUCc,card_14_uksR2pjXUCc.txt,raw_formats/uksR2pjXUCc.txt,metadata/uksR2pjXUCc.json,YES,OK
15,X_dBf9OZzFw,card_15_X_dBf9OZzFw.txt,raw_formats/X_dBf9OZzFw.txt,metadata/X_dBf9OZzFw.json,NO,OK
16,xfeLrkVamaU,card_16_xfeLrkVamaU.txt,raw_formats/xfeLrkVamaU.txt,metadata/xfeLrkVamaU.json,NO,OK
17,dd_QSkmUWyU,card_17_dd_QSkmUWyU.txt,raw_formats/dd_QSkmUWyU.txt,metadata/dd_QSkmUWyU.json,YES,OK
18,5IfsjfYqSnA,card_18_5IfsjfYqSnA.txt,raw_formats/5IfsjfYqSnA.txt,metadata/5IfsjfYqSnA.json,NO,OK
19,UgmcyE8wkRM,card_19_UgmcyE8wkRM.txt,raw_formats/UgmcyE8wkRM.txt,metadata/UgmcyE8wkRM.json,NO,OK
20,qJ8-NFqWhqU,card_20_qJ8-NFqWhqU.txt,raw_formats/qJ8-NFqWhqU.txt,metadata/qJ8-NFqWhqU.json,YES,OK
21,pY5qP_RvHjg,card_21_pY5qP_RvHjg.txt,raw_formats/pY5qP_RvHjg.txt,metadata/pY5qP_RvHjg.json,YES,OK
22,WutCtBQsSe0,card_22_WutCtBQsSe0.txt,raw_formats/WutCtBQsSe0.txt,metadata/WutCtBQsSe0.json,NO,OK
23,pl9cPZehbQw,card_23_pl9cPZehbQw.txt,raw_formats/pl9cPZehbQw.txt,metadata/pl9cPZehbQw.json,NO,OK
24,RoeIroj6SXw,card_24_RoeIroj6SXw.txt,raw_formats/RoeIroj6SXw.txt,metadata/RoeIroj6SXw.json,YES,OK
25,zGTacmyiwiA,card_25_zGTacmyiwiA.txt,raw_formats/zGTacmyiwiA.txt,metadata/zGTacmyiwiA.json,YES,OK
26,ZUF61y_9P3U,card_26_ZUF61y_9P3U.txt,raw_formats/ZUF61y_9P3U.txt,metadata/ZUF61y_9P3U.json,YES,OK
27,wYEldEDV3dQ,card_27_wYEldEDV3dQ.txt,raw_formats/wYEldEDV3dQ.txt,metadata/wYEldEDV3dQ.json,NO,OK
28,tpIYpVdWscY,card_28_tpIYpVdWscY.txt,raw_formats/tpIYpVdWscY.txt,metadata/tpIYpVdWscY.json,NO,OK
29,z2byjGVKZWQ,card_29_z2byjGVKZWQ.txt,raw_formats/z2byjGVKZWQ.txt,metadata/z2byjGVKZWQ.json,YES,OK
