card_id,left_set,right_set,left_id,right_id,iou
1080p30_00,comparator,blind,1080p30_00_d00,1080p30_00_m03,0.794511
1080p30_00,comparator,blind,1080p30_00_d01,1080p30_00_m10,0.76781
1080p30_00,comparator,blind,1080p30_00_d02,1080p30_00_m09,0.660244
1080p30_00,comparator,blind,1080p30_00_d05,1080p30_00_m08,0.655584
1080p30_00,comparator,blind,1080p30_00_d06,1080p30_00_m05,0.650641
1080p30_00,comparator,blind,1080p30_00_d07,1080p30_00_m01,0.639161
1080p30_00,comparator,blind,1080p30_00_d10,1080p30_00_m04,0.565338
1080p30_00,comparator,blind,1080p30_00_d04,1080p30_00_m11,0.533096
1080p30_00,comparator,blind,1080p30_00_d08,1080p30_00_m12,0.518675
1080p30_01,producer,comparator,1080p30_01_r02,1080p30_01_d01,0.566571
1080p30_01,comparator,blind,1080p30_01_d01,1080p30_01_m09,0.807184
1080p30_01,comparator,blind,1080p30_01_d00,1080p30_01_m10,0.633378
1080p30_01,comparator,blind,1080p30_01_d02,1080p30_01_m04,0.628484
1080p30_01,comparator,blind,1080p30_01_d03,1080p30_01_m03,0.596019
1080p30_01,comparator,blind,1080p30_01_d04,1080p30_01_m11,0.532151
1080p30_01,comparator,blind,1080p30_01_d06,1080p30_01_m05,0.510295
1080p30_02,producer,blind,1080p30_02_r00,1080p30_02_m01,0.749008
1080p30_02,producer,comparator,1080p30_02_r00,1080p30_02_d00,0.856033
1080p30_02,comparator,blind,1080p30_02_d01,1080p30_02_m00,0.824591
1080p30_02,comparator,blind,1080p30_02_d00,1080p30_02_m01,0.816406
1080p30_03,comparator,blind,1080p30_03_d04,1080p30_03_m04,0.825413
1080p30_03,comparator,blind,1080p30_03_d01,1080p30_03_m01,0.707418
1080p30_03,comparator,blind,1080p30_03_d02,1080p30_03_m00,0.648523
1080p30_04,comparator,blind,1080p30_04_d04,1080p30_04_m10,0.81666
1080p30_04,comparator,blind,1080p30_04_d01,1080p30_04_m01,0.800203
1080p30_04,comparator,blind,1080p30_04_d07,1080p30_04_m04,0.732065
1080p30_04,comparator,blind,1080p30_04_d02,1080p30_04_m08,0.725901
1080p30_04,comparator,blind,1080p30_04_d00,1080p30_04_m00,0.643656
