draw_kind,section_id,coverage_status,sealed_start_frame,sealed_end_frame_exclusive,bounded_rows,excluded_overrun_rows,sealed_window_source_frames,all_decoded_frames,all_evaluated_ticks,zero_output_evaluated_ticks,candidate_rows,producer_attempted_ticks,receipt_evaluated_ticks,trace_attempt_ticks,bounded_evaluated_ticks,schedule,zero_candidate_evaluated_ticks,receipt_zero_output_evaluated_ticks,g406_selected_ticks
1080p30,9sq-YMlIo9Q_s2346,COMPLETE,118,418,507,0,300,300,100,18,132,100,100,100,100,COMPLETE,18,0,2
720p60,acb-jHcR5UxPGuE_s1393,COMPLETE,232,832,254,61,600,600,85,58,50,115,85,85,85,COMPLETE,58,32,1
1080p30,9sq-YMlIo9Q_s90,COMPLETE,234,534,222,152,300,300,70,17,81,130,70,70,70,COMPLETE,17,1,0
720p60,acb-jHcR5UxPGuE_s90,COMPLETE,465,1065,200,0,600,600,100,97,4,100,100,100,100,COMPLETE,97,0,1
1080p30,RIrGQJ_jsGQ_s90,UNKNOWN,363,663,0,0,300,300,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,0
720p60,3gBeJyl7Szg_s2302,COMPLETE,697,1297,598,0,600,600,100,38,79,100,100,100,100,COMPLETE,38,0,1
1080p30,UCVSlzgun0o_s2298,COMPLETE,468,768,210,0,300,300,100,64,42,100,100,100,100,COMPLETE,64,2,2
720p60,3gBeJyl7Szg_s90,COMPLETE,930,1530,385,0,600,600,100,60,54,100,100,100,100,COMPLETE,60,5,1
1080p30,UCVSlzgun0o_s90,COMPLETE,595,895,297,0,300,300,100,83,18,100,100,100,100,COMPLETE,83,3,1
720p60,Kh7Fj4ogPN4_s3606,COMPLETE,1161,1761,379,0,600,600,100,59,55,100,100,100,100,COMPLETE,59,0,2
1080p30,UzaYBYy3GZg_s90,COMPLETE,725,1025,305,0,300,300,100,68,33,100,100,100,100,COMPLETE,68,0,1
720p60,Kh7Fj4ogPN4_s5950,COMPLETE,1392,1992,281,0,600,600,100,47,90,100,100,100,100,COMPLETE,47,0,1
1080p30,Vm0FqeGo-8g_s1317,COMPLETE,819,1119,399,0,300,300,100,38,130,100,100,100,100,COMPLETE,38,27,1
720p60,Ktu6yFS9iMo_s2532,COMPLETE,1625,2225,574,0,600,600,100,47,62,100,100,100,100,COMPLETE,47,0,1
1080p30,Vm0FqeGo-8g_s90,COMPLETE,968,1268,368,0,300,300,100,64,42,100,100,100,100,COMPLETE,64,0,1
720p60,Ktu6yFS9iMo_s6195,COMPLETE,1857,2457,393,0,600,600,100,84,23,100,100,100,100,COMPLETE,84,0,1
1080p30,X5w3V6rh26s_s90,COMPLETE,1088,1388,345,61,300,300,90,44,90,130,90,90,90,COMPLETE,44,9,1
720p60,L7o4UCIIqS4_s2656,COMPLETE,2089,2689,174,35,600,600,90,57,45,115,90,90,90,COMPLETE,57,17,1
1080p30,Y1cgaIWW8gk_s1437,COMPLETE,1191,1491,276,0,300,300,100,61,69,100,100,100,100,COMPLETE,61,35,1
720p60,L7o4UCIIqS4_s5222,COMPLETE,2321,2921,115,0,600,600,100,84,16,100,100,100,100,COMPLETE,84,31,1
1080p30,Y1cgaIWW8gk_s2784,COMPLETE,1331,1631,454,0,300,300,100,78,27,100,100,100,100,COMPLETE,78,0,2
720p60,oL9Uaie2v2A_s2438,COMPLETE,2553,3153,124,543,600,600,25,5,36,175,25,25,25,COMPLETE,5,0,0
1080p30,qrWmO434a0k_s2804,COMPLETE,1452,1752,253,145,300,300,70,39,51,130,70,70,70,COMPLETE,39,8,0
720p60,oL9Uaie2v2A_s5960,COMPLETE,2785,3385,384,0,600,600,100,91,10,100,100,100,100,COMPLETE,91,0,1
1080p30,tFnl0NVn6FA_s2774,COMPLETE,1574,1874,507,0,300,300,100,54,63,100,100,100,100,COMPLETE,54,0,2
1080p30,tFnl0NVn6FA_s90,COMPLETE,1708,2008,310,0,300,300,100,69,32,100,100,100,100,COMPLETE,69,0,1
1080p30,tZeqmc_-_sA_s2574,COMPLETE,1815,2115,589,0,300,300,100,50,141,100,100,100,100,COMPLETE,50,0,1
720p60,FyMWTVsJvv8_s4332,COMPLETE,3945,4545,286,262,600,600,55,37,28,145,55,55,55,COMPLETE,37,0,1
720p60,Ge4uewCFUFQ_s2382,COMPLETE,4177,4777,204,0,600,600,100,74,31,100,100,100,100,COMPLETE,74,1,1
720p60,Ge4uewCFUFQ_s4674,COMPLETE,4410,5010,376,0,600,600,100,46,68,100,100,100,100,COMPLETE,46,0,1
720p60,IpR4pT8iN0Y_s2432,COMPLETE,4642,5242,107,0,600,600,100,95,5,100,100,100,100,COMPLETE,95,29,1
720p60,KZK9rv9TnGE_s1474,COMPLETE,4873,5473,485,0,600,600,100,34,107,100,100,100,100,COMPLETE,34,0,1
720p60,KZK9rv9TnGE_s4242,COMPLETE,5105,5705,219,0,600,600,100,90,13,100,100,100,100,COMPLETE,90,0,1
720p60,KZK9rv9TnGE_s90,COMPLETE,5337,5937,337,0,600,600,100,76,39,100,100,100,100,COMPLETE,76,2,1
720p60,dAy3tnlu3EQ_s4326,COMPLETE,5570,6170,519,0,600,600,100,49,102,100,100,100,100,COMPLETE,49,0,1
720p60,qTXrSRHHR2M_s2262,COMPLETE,5803,6403,391,64,600,600,85,17,126,115,85,85,85,COMPLETE,17,0,1
720p60,qTXrSRHHR2M_s4434,COMPLETE,6034,6634,226,213,600,600,70,35,61,130,70,70,70,COMPLETE,35,0,0
720p60,s-0Y7aLxXgM_s1275,COMPLETE,6266,6866,446,0,600,600,100,53,81,100,100,100,100,COMPLETE,53,0,1
1080p30,J8pMOFvFlsU_s1384,COMPLETE,3253,3553,338,0,300,300,100,68,38,100,100,100,100,COMPLETE,68,0,1
720p60,s-0Y7aLxXgM_s4830,COMPLETE,6499,7099,556,0,600,600,100,48,69,100,100,100,100,COMPLETE,48,0,1
1080p30,J8pMOFvFlsU_s3972,COMPLETE,3370,3670,218,99,300,300,70,46,31,130,70,70,70,COMPLETE,46,12,1
720p60,xv0WyG7_99c_s1200,COMPLETE,6731,7331,50,0,600,600,100,87,13,100,100,100,100,COMPLETE,87,64,1
1080p30,J8pMOFvFlsU_s90,COMPLETE,3486,3786,171,167,300,300,40,8,62,139,40,40,40,COMPLETE,8,0,1
720p60,xv0WyG7_99c_s4530,COMPLETE,6963,7563,408,0,600,600,100,74,32,100,100,100,100,COMPLETE,74,1,2
720p60,6rQ2sV4upfc_s1509,COMPLETE,3018,3618,404,0,600,600,100,92,15,100,100,100,100,COMPLETE,92,0,1
720p60,6rQ2sV4upfc_s90,COMPLETE,3249,3849,327,0,600,600,100,62,43,100,100,100,100,COMPLETE,62,0,1
720p60,7blRl4zVfrY_s3489,COMPLETE,3481,4081,444,0,600,600,100,37,111,100,100,100,100,COMPLETE,37,0,1
1080p30,yZ5u2sOpiNU_s1371,COMPLETE,1857,2157,60,269,300,300,30,25,6,220,30,30,30,COMPLETE,25,14,0
720p60,7blRl4zVfrY_s90,COMPLETE,3714,4314,295,0,600,600,100,63,42,100,100,100,100,COMPLETE,63,22,1
1080p30,yZ5u2sOpiNU_s3933,COMPLETE,1974,2274,215,0,300,300,100,29,74,100,100,100,100,COMPLETE,29,0,1
1080p30,yZ5u2sOpiNU_s5214,COMPLETE,2089,2389,179,159,300,300,60,33,43,160,60,60,60,COMPLETE,33,2,1
1080p30,yZ5u2sOpiNU_s90,COMPLETE,2206,2506,456,0,300,300,100,50,71,100,100,100,100,COMPLETE,50,0,1
1080p30,4JS090XPhmM_s2388,COMPLETE,2322,2622,266,0,300,300,100,85,19,100,100,100,100,COMPLETE,85,14,1
1080p30,4JS090XPhmM_s3537,COMPLETE,2438,2738,395,0,300,300,100,81,19,100,100,100,100,COMPLETE,81,0,2
1080p30,4JS090XPhmM_s4686,COMPLETE,2553,2853,282,0,300,300,100,88,14,100,100,100,100,COMPLETE,88,0,1
1080p30,3eeaJz1PJTM_s1331,COMPLETE,2672,2972,84,24,300,300,70,61,10,130,70,70,70,COMPLETE,61,24,1
1080p30,3eeaJz1PJTM_s2572,COMPLETE,2789,3089,682,0,300,300,100,21,156,100,100,100,100,COMPLETE,21,0,1
1080p30,3eeaJz1PJTM_s3813,COMPLETE,2906,3206,505,0,300,300,100,83,25,100,100,100,100,COMPLETE,83,0,1
1080p30,3eeaJz1PJTM_s6295,COMPLETE,3020,3320,0,93,300,300,0,0,0,294,0,0,0,COMPLETE,0,0,0
1080p30,3eeaJz1PJTM_s90,COMPLETE,3136,3436,253,0,300,300,100,56,46,100,100,100,100,COMPLETE,56,0,1
