stratum_system,stratum,unique_retained_sections,quota,status,ordinal,section_identity
actual_rendition,232,12,30,PARTIAL,,
actual_rendition,270,46,30,COMPLETE,0,fiba-6BYeUynVAqI_s1600
actual_rendition,270,46,30,COMPLETE,1,fiba-6BYeUynVAqI_s4620
actual_rendition,270,46,30,COMPLETE,2,fiba-6BYeUynVAqI_s6130
actual_rendition,270,46,30,COMPLETE,3,fiba-6BYeUynVAqI_s90
actual_rendition,270,46,30,COMPLETE,4,cba-Dys4JeucBBk_s1533
actual_rendition,270,46,30,COMPLETE,5,cba-Dys4JeucBBk_s4419
actual_rendition,270,46,30,COMPLETE,6,cba-Dys4JeucBBk_s5862
actual_rendition,270,46,30,COMPLETE,7,cba-Dys4JeucBBk_s90
actual_rendition,270,46,30,COMPLETE,8,gleague-TUXsofc3mgg_s1771
actual_rendition,270,46,30,COMPLETE,9,gleague-TUXsofc3mgg_s5133
actual_rendition,270,46,30,COMPLETE,10,gleague-TUXsofc3mgg_s8495
actual_rendition,270,46,30,COMPLETE,11,gleague-TUXsofc3mgg_s90
actual_rendition,270,46,30,COMPLETE,12,gleague-Z9LZwPvEMTU_s3664
actual_rendition,270,46,30,COMPLETE,13,gleague-Z9LZwPvEMTU_s5451
actual_rendition,270,46,30,COMPLETE,14,gleague-Z9LZwPvEMTU_s90
actual_rendition,270,46,30,COMPLETE,15,gleague-Z9LZwPvEMTU_s9025
actual_rendition,270,46,30,COMPLETE,16,gleague-a0FMMvE3B5k_s3354
actual_rendition,270,46,30,COMPLETE,17,gleague-a0FMMvE3B5k_s4986
actual_rendition,270,46,30,COMPLETE,18,gleague-a0FMMvE3B5k_s8250
actual_rendition,270,46,30,COMPLETE,19,gleague-a0FMMvE3B5k_s90
actual_rendition,270,46,30,COMPLETE,20,gleague-cl9uwvP1Fe8_s3228
actual_rendition,270,46,30,COMPLETE,21,gleague-cl9uwvP1Fe8_s6366
actual_rendition,270,46,30,COMPLETE,22,gleague-cl9uwvP1Fe8_s7935
actual_rendition,270,46,30,COMPLETE,23,gleague-dd_QSkmUWyU_s1675
actual_rendition,270,46,30,COMPLETE,24,gleague-dd_QSkmUWyU_s3260
actual_rendition,270,46,30,COMPLETE,25,gleague-dd_QSkmUWyU_s6430
actual_rendition,270,46,30,COMPLETE,26,gleague-dd_QSkmUWyU_s8015
actual_rendition,270,46,30,COMPLETE,27,a2pEHm9YzFo_s1501
actual_rendition,270,46,30,COMPLETE,28,a2pEHm9YzFo_s2912
actual_rendition,270,46,30,COMPLETE,29,a2pEHm9YzFo_s90
actual_rendition,300,0,30,PARTIAL,,
actual_rendition,301,0,30,PARTIAL,,
actual_rendition,311,0,30,PARTIAL,,
actual_rendition,312,0,30,PARTIAL,,
actual_rendition,UNRESOLVED,30,30,COMPLETE,0,euroleague-QmoPpJI7OCI_s10670
actual_rendition,UNRESOLVED,30,30,COMPLETE,1,euroleague-QmoPpJI7OCI_s2206
actual_rendition,UNRESOLVED,30,30,COMPLETE,2,euroleague-QmoPpJI7OCI_s4322
actual_rendition,UNRESOLVED,30,30,COMPLETE,3,euroleague-QmoPpJI7OCI_s6438
actual_rendition,UNRESOLVED,30,30,COMPLETE,4,euroleague-QmoPpJI7OCI_s8554
actual_rendition,UNRESOLVED,30,30,COMPLETE,5,euroleague-QmoPpJI7OCI_s90
actual_rendition,UNRESOLVED,30,30,COMPLETE,6,gleague-YuLn6qQVEv0_s1254
actual_rendition,UNRESOLVED,30,30,COMPLETE,7,gleague-YuLn6qQVEv0_s2418
actual_rendition,UNRESOLVED,30,30,COMPLETE,8,gleague-YuLn6qQVEv0_s3582
actual_rendition,UNRESOLVED,30,30,COMPLETE,9,gleague-YuLn6qQVEv0_s4746
actual_rendition,UNRESOLVED,30,30,COMPLETE,10,gleague-YuLn6qQVEv0_s90
actual_rendition,UNRESOLVED,30,30,COMPLETE,11,gleague-iUn3klfUOkM_s1390
actual_rendition,UNRESOLVED,30,30,COMPLETE,12,gleague-iUn3klfUOkM_s2690
actual_rendition,UNRESOLVED,30,30,COMPLETE,13,gleague-iUn3klfUOkM_s3990
actual_rendition,UNRESOLVED,30,30,COMPLETE,14,gleague-iUn3klfUOkM_s90
actual_rendition,UNRESOLVED,30,30,COMPLETE,15,gleague-oA9IHkrPNws_s1190
actual_rendition,UNRESOLVED,30,30,COMPLETE,16,gleague-oA9IHkrPNws_s2290
actual_rendition,UNRESOLVED,30,30,COMPLETE,17,gleague-oA9IHkrPNws_s3390
actual_rendition,UNRESOLVED,30,30,COMPLETE,18,gleague-oA9IHkrPNws_s4490
actual_rendition,UNRESOLVED,30,30,COMPLETE,19,gleague-oA9IHkrPNws_s90
actual_rendition,UNRESOLVED,30,30,COMPLETE,20,HnNYinCzPFU_s1413
actual_rendition,UNRESOLVED,30,30,COMPLETE,21,HnNYinCzPFU_s2736
actual_rendition,UNRESOLVED,30,30,COMPLETE,22,HnNYinCzPFU_s90
actual_rendition,UNRESOLVED,30,30,COMPLETE,23,SNeyXC57K1Y_s1785
actual_rendition,UNRESOLVED,30,30,COMPLETE,24,SNeyXC57K1Y_s3480
actual_rendition,UNRESOLVED,30,30,COMPLETE,25,TcRGoJEF-Us_s1328
actual_rendition,UNRESOLVED,30,30,COMPLETE,26,TcRGoJEF-Us_s2566
actual_rendition,UNRESOLVED,30,30,COMPLETE,27,TcRGoJEF-Us_s3804
