draw_j,source_name,source_path,sha256,bytes,codec_name,width,height,duration,r_frame_rate,avg_frame_rate,validated_fps,fps_basis,pts_count,valid_count,missing_count,duplicate_pts_steps,backwards_steps,gap_steps,dropped_frames,median_step_s,first_pts,last_pts,monotonic,frame_reader,packet_reader,packet_count,packet_negative_count,reader_exact_match,reader_max_abs_delta_s,reader_disagreeing_frames,packet_duplicate_pts_steps,packet_gap_steps,packet_dropped_frames,arm_c_admitted_frames,arm_c_packet_admitted_frames,arm_c_reader_admitted_delta,g401_digest_match
0,basketball__acb-jHcR5UxPGuE_s90.mp4,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s90.mp4,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,55642588,h264,1280,720,60/1,60/1,130.033000,60.0,TWO_READER_AGREEMENT,7801,7801,0,0,0,1,1,0.01666699999999821,0.0,130.016667,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7827,26,True,0.000000000,0,0,1,1,6000,6000,0,True
1,basketball__acb-jHcR5UxPGuE_s3999.mp4,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s3999.mp4,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,52437550,h264,1280,720,60/1,60/1,130.016000,60.0,TWO_READER_AGREEMENT,7801,7801,0,0,0,0,0,0.01666699999999821,0.0,130.0,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7929,128,True,0.000000000,0,0,0,0,6000,6000,0,True
2,nba__1rZZ_7buX_Y_s5474.mp4,C:\Users\neelj\g401_receiver\sources\nba__1rZZ_7buX_Y_s5474.mp4,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,95163842,h264,1920,1080,60000/1001,238560000/3982837,130.021000,59.94005994005994,TWO_READER_AGREEMENT,7787,7787,0,0,0,0,0,0.01670000000000016,0.0,129.989822,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7952,165,False,0.016700000,94,12,26,26,5990,5990,0,True
3,nba__3gBeJyl7Szg_s1196.mp4,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s1196.mp4,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,45350999,h264,1280,720,60/1,60/1,130.050000,60.0,TWO_READER_AGREEMENT,7801,7801,0,0,0,1,2,0.01666699999999821,0.0,130.033333,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7817,16,False,0.016667000,135,35,36,37,6000,6000,0,True
4,nba__3gBeJyl7Szg_s4514.mp4,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s4514.mp4,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,47733494,h264,1280,720,60/1,60/1,130.083000,60.0,TWO_READER_AGREEMENT,7801,7801,0,0,0,1,4,0.01666699999999821,0.0,130.066667,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8081,280,False,0.016667000,169,41,42,45,6000,6000,0,True
5,nba__FnbFGnX4Qgo_s2822.mp4,C:\Users\neelj\g401_receiver\sources\nba__FnbFGnX4Qgo_s2822.mp4,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,75623391,h264,1920,1080,60000/1001,712890000/11893381,130.099000,59.94005994005994,TWO_READER_AGREEMENT,7794,7794,0,0,0,1,4,0.0166889999999853,0.0,130.079944,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7921,127,False,0.016689000,95,26,27,30,5995,5995,0,True
6,nba__H1-Ns9IU-JM_s90.mp4,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s90.mp4,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,69118919,h264,1920,1080,60000/1001,721800000/12042029,130.020000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8020,227,False,0.016689000,100,26,26,26,5995,5995,0,True
7,nba__H1-Ns9IU-JM_s4314.mp4,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s4314.mp4,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,82140964,h264,1920,1080,60000/1001,358875000/5987231,130.023000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7975,182,False,0.016689000,90,26,26,26,5995,5995,0,True
8,nba__Kh7Fj4ogPN4_s1262.mp4,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s1262.mp4,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,52342554,h264,1280,720,60000/1001,177435000/2960207,130.058000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,2,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7886,93,True,0.000000000,0,0,1,2,5995,5995,0,True
9,nba__Kh7Fj4ogPN4_s4778.mp4,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s4778.mp4,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,56755801,h264,1280,720,60000/1001,147546000/2461559,130.036000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,1,0.0166889999999853,0.0,130.013222,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8197,404,True,0.000000000,0,0,1,1,5995,5995,0,True
