draw_j,source_name,source_sha256,source_bytes,source_path_at_rehash,schedule_path,schedule_sha256,schedule_pts_count,duplicate_pts_steps,dropped_frames,backwards_steps,missing_count,g401_digest_match,g401_duplicate_match,g401_dropped_match,validated_fps
0,basketball__acb-jHcR5UxPGuE_s90.mp4,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,55642588,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s90.mp4,g401_frame_pts/basketball__acb-jHcR5UxPGuE_s90.mp4.json,a18600c2514c9622f640fb1cd35f52d0530882cf3f14342872ca0d6957a913c2,7801,0,1,0,0,True,True,True,60.0
1,basketball__acb-jHcR5UxPGuE_s3999.mp4,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,52437550,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s3999.mp4,g401_frame_pts/basketball__acb-jHcR5UxPGuE_s3999.mp4.json,66037549444088bf4c17f6161f181d5853ea21075405115faa3b4a072fcc6ee7,7801,0,0,0,0,True,True,True,60.0
2,nba__1rZZ_7buX_Y_s5474.mp4,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,95163842,C:\Users\neelj\g401_receiver\sources\nba__1rZZ_7buX_Y_s5474.mp4,g401_frame_pts/nba__1rZZ_7buX_Y_s5474.mp4.json,508b816aa829872242a585fbd6384c2c37b8fec82439bc3f2678048fd0534736,7787,26,26,0,0,True,True,True,59.94005994005994
3,nba__3gBeJyl7Szg_s1196.mp4,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,45350999,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s1196.mp4,g401_frame_pts/nba__3gBeJyl7Szg_s1196.mp4.json,2e897407008d67efd484e0232d169bdea08a661ae3c4aeddd4650f9f604f3575,7801,35,37,0,0,True,True,True,60.0
4,nba__3gBeJyl7Szg_s4514.mp4,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,47733494,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s4514.mp4,g401_frame_pts/nba__3gBeJyl7Szg_s4514.mp4.json,641c6a6c48da30130e69fe96a2fdb4199549cb726fd1645dc8b160548be11535,7801,41,45,0,0,True,True,True,60.0
5,nba__FnbFGnX4Qgo_s2822.mp4,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,75623391,C:\Users\neelj\g401_receiver\sources\nba__FnbFGnX4Qgo_s2822.mp4,g401_frame_pts/nba__FnbFGnX4Qgo_s2822.mp4.json,a27a692765397983875b9a07dce7f40a4fd0cb0f0c9571edd1600c9c32720c1e,7794,26,30,0,0,True,True,True,59.94005994005994
6,nba__H1-Ns9IU-JM_s90.mp4,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,69118919,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s90.mp4,g401_frame_pts/nba__H1-Ns9IU-JM_s90.mp4.json,bf67a3037c069a8805c15db67ba5c46515d99f0627f89d43810fcf6018f8b46a,7793,26,26,0,0,True,True,True,59.94005994005994
7,nba__H1-Ns9IU-JM_s4314.mp4,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,82140964,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s4314.mp4,g401_frame_pts/nba__H1-Ns9IU-JM_s4314.mp4.json,4c535871e785ec0b65fc2412a0917cd48ad2985860ef4f1f9f5549196d57335c,7793,26,26,0,0,True,True,True,59.94005994005994
8,nba__Kh7Fj4ogPN4_s1262.mp4,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,52342554,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s1262.mp4,g401_frame_pts/nba__Kh7Fj4ogPN4_s1262.mp4.json,d733f0aec0f993a5d7913676894874e25c90930702d72e416a73660c4d0d1d5a,7793,0,2,0,0,True,True,True,59.94005994005994
9,nba__Kh7Fj4ogPN4_s4778.mp4,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,56755801,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s4778.mp4,g401_frame_pts/nba__Kh7Fj4ogPN4_s4778.mp4.json,e96c815807e8cccecd9fd4a399a6ea7c1ca329284e2b4871b9e51c549d055d6d,7793,0,1,0,0,True,True,True,59.94005994005994
10,nba__Ktu6yFS9iMo_s1311.mp4,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,50470689,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s1311.mp4,g401_frame_pts/nba__Ktu6yFS9iMo_s1311.mp4.json,58451dff1aef4dedc83cc675489b5df814a8b4ed90e13ff073cd6da2ea8229ed,7793,26,28,0,0,True,True,True,59.94005994005994
11,nba__Ktu6yFS9iMo_s4974.mp4,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,52661744,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s4974.mp4,g401_frame_pts/nba__Ktu6yFS9iMo_s4974.mp4.json,3959e5cf1940309ebbab73bae4b6401392be19d9fc512e5cff5bdbf896807818,7794,26,27,0,0,True,True,True,59.94005994005994
12,nba__L7o4UCIIqS4_s1373.mp4,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,57231693,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s1373.mp4,g401_frame_pts/nba__L7o4UCIIqS4_s1373.mp4.json,e96c815807e8cccecd9fd4a399a6ea7c1ca329284e2b4871b9e51c549d055d6d,7793,0,1,0,0,True,True,True,59.94005994005994
13,nba__L7o4UCIIqS4_s5222.mp4,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,46736475,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s5222.mp4,g401_frame_pts/nba__L7o4UCIIqS4_s5222.mp4.json,6f811d5f0821e2a3db558d35a0c63b53faf4de99bbe2ef425dd5aa4fde00b082,7794,0,1,0,0,True,True,True,59.94005994005994
14,nba__oL9Uaie2v2A_s2438.mp4,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,50026054,C:\Users\neelj\g401_receiver\sources\nba__oL9Uaie2v2A_s2438.mp4,g401_frame_pts/nba__oL9Uaie2v2A_s2438.mp4.json,137552366eb41acc357d47cf7b9eac343a3d1ec06b0631a803c67240d67bd731,7794,0,1,0,0,True,True,True,59.94005994005994
15,ncaa_basketball__6rQ2sV4upfc_s90.mp4,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,54041007,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s90.mp4,g401_frame_pts/ncaa_basketball__6rQ2sV4upfc_s90.mp4.json,e82f5fd7a53fc80e5095e35b84fe118be628ff781fbe66db770533a9dd2a7c8e,7793,26,27,0,0,True,True,True,59.94005994005994
16,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,52188825,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s4347.mp4,g401_frame_pts/ncaa_basketball__6rQ2sV4upfc_s4347.mp4.json,5fe98c4ad0a6353718a17cfbfd61d8114ab9170333fb256b70e60026d33960e9,7793,25,25,0,0,True,True,True,59.94005994005994
17,ncaa_basketball__7blRl4zVfrY_s2356.mp4,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,56478743,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__7blRl4zVfrY_s2356.mp4,g401_frame_pts/ncaa_basketball__7blRl4zVfrY_s2356.mp4.json,9cbf95558bee0eea17145d241b4e3c797d12e9ddb8fcd8cbe44f87aaa7414c0c,7793,0,0,0,0,True,True,True,59.94005994005994
18,ncaa_basketball__FyMWTVsJvv8_s90.mp4,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,58427269,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s90.mp4,g401_frame_pts/ncaa_basketball__FyMWTVsJvv8_s90.mp4.json,9cbf95558bee0eea17145d241b4e3c797d12e9ddb8fcd8cbe44f87aaa7414c0c,7793,0,0,0,0,True,True,True,59.94005994005994
19,ncaa_basketball__FyMWTVsJvv8_s4332.mp4,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,57043679,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s4332.mp4,g401_frame_pts/ncaa_basketball__FyMWTVsJvv8_s4332.mp4.json,9cbf95558bee0eea17145d241b4e3c797d12e9ddb8fcd8cbe44f87aaa7414c0c,7793,0,0,0,0,True,True,True,59.94005994005994
20,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,56676340,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,g401_frame_pts/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4.json,c9ac529ee752f2d9f0486161f905dbeb01b6ee21d2d65eca7a2a2c02dfa44ffd,7793,0,0,0,0,True,True,True,59.94005994005994
21,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594,53555283,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s90.mp4,g401_frame_pts/ncaa_basketball__IpR4pT8iN0Y_s90.mp4.json,eb5960546a3be872c54d65a9c39cb0ee9976b17f75cab75b0e95a7c3033fc1a8,7793,24,28,0,0,True,True,True,59.94005994005994
22,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882,53781321,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,g401_frame_pts/ncaa_basketball__IpR4pT8iN0Y_s3603.mp4.json,c894c70c40e1fc698d9ea537c0237a1572e16ddd7e59a50a1afecbfedcb881eb,7793,25,25,0,0,True,True,True,59.94005994005994
23,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,56773280,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s2858.mp4,g401_frame_pts/ncaa_basketball__KZK9rv9TnGE_s2858.mp4.json,d733f0aec0f993a5d7913676894874e25c90930702d72e416a73660c4d0d1d5a,7793,0,2,0,0,True,True,True,59.94005994005994
24,ncaa_basketball__KZK9rv9TnGE_s7010.mp4,ff08f42fc407650ced673a86a2a45ce5fba92cacdfb39a428f7779a9d81f92cd,56448407,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s7010.mp4,g401_frame_pts/ncaa_basketball__KZK9rv9TnGE_s7010.mp4.json,bbfeb7d27d1d924b6c532dc57e797fe82a6f830e063984457a359df9ced89271,7794,0,0,0,0,True,True,True,59.94005994005994
25,ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,351c95528ab0c8b078a4a502485ea0b977b973d824b498e76cd3663728c40841,52008265,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,g401_frame_pts/ncaa_basketball__dAy3tnlu3EQ_s2914.mp4.json,c9ac529ee752f2d9f0486161f905dbeb01b6ee21d2d65eca7a2a2c02dfa44ffd,7793,0,0,0,0,True,True,True,59.94005994005994
26,ncaa_basketball__qTXrSRHHR2M_s1176.mp4,09ce5c2bc7aa82e0ababd37f2fd1ef686efdc7034eee83299b9a58cc9751204b,55295560,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s1176.mp4,g401_frame_pts/ncaa_basketball__qTXrSRHHR2M_s1176.mp4.json,c9ac529ee752f2d9f0486161f905dbeb01b6ee21d2d65eca7a2a2c02dfa44ffd,7793,0,0,0,0,True,True,True,59.94005994005994
27,ncaa_basketball__qTXrSRHHR2M_s4434.mp4,1b93f3a24ea0835ab220f08bae0c87baecaecc51db43b6150ab83ee7597dcb22,57333697,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s4434.mp4,g401_frame_pts/ncaa_basketball__qTXrSRHHR2M_s4434.mp4.json,9cbf95558bee0eea17145d241b4e3c797d12e9ddb8fcd8cbe44f87aaa7414c0c,7793,0,0,0,0,True,True,True,59.94005994005994
28,ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,55405416,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,g401_frame_pts/ncaa_basketball__s-0Y7aLxXgM_s1275.mp4.json,c9ac529ee752f2d9f0486161f905dbeb01b6ee21d2d65eca7a2a2c02dfa44ffd,7793,0,0,0,0,True,True,True,59.94005994005994
29,ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,54805277,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,g401_frame_pts/ncaa_basketball__s-0Y7aLxXgM_s4830.mp4.json,2d7e1b63b0d559ff9a5dd3dce5ccb597788ed875b41e15326b467ec51e6f1e90,7793,0,1,0,0,True,True,True,59.94005994005994
