token,path,line,in_proposed_diff,changed_by_proposal,alias_note
_SENTINEL,scripts/audit_phase_g.py,102,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/audit_phase_g.py,108,False,unchanged 3-tuple; read() tolerates both item widths,
--frames,scripts/batch_from_channel.py,118,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/batch_reprocess.py,131,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/batch_reprocess.py,146,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/batch_reprocess_games.py,14,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_reprocess_games.py,17,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_reprocess_games.py,90,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_reprocess_games.py,148,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_season.py,17,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_season.py,200,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/batch_season.py,246,False,argv value unchanged; emitted only when explicit or legacy,
_VRAM_FLUSH_INTERVAL,scripts/bot_guards/pre_edit_check.py,41,False,no,
_VRAM_FLUSH_INTERVAL,scripts/build_brain.py,1574,False,no,
max_frames,scripts/build_brain.py,1911,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/build_cv_quality_confidence.py,59,False,no,
total_frames,scripts/build_cv_quality_confidence.py,85,False,no,
total_frames,scripts/build_lineup_chemistry.py,465,False,no,
total_frames,scripts/build_lineup_chemistry.py,474,False,no,
total_frames,scripts/build_lineup_chemistry.py,587,False,no,
total_frames,scripts/build_lineup_chemistry.py,680,False,no,
total_frames,scripts/build_lineup_chemistry.py,927,False,no,
total_frames,scripts/build_lineup_chemistry.py,938,False,no,
_SENTINEL,scripts/build_matchup_intel.py,86,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/build_matchup_intel.py,109,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/build_matchup_intel.py,371,False,unchanged 3-tuple; read() tolerates both item widths,
total_frames,scripts/build_pair_chemistry.py,106,False,no,
total_frames,scripts/build_pair_chemistry.py,107,False,no,
total_frames,scripts/build_pair_chemistry.py,160,False,no,
total_frames,scripts/build_pair_chemistry.py,161,False,no,
total_frames,scripts/build_pair_chemistry.py,166,False,no,
total_frames,scripts/build_pair_chemistry.py,171,False,no,
total_frames,scripts/build_pair_chemistry.py,187,False,no,
total_frames,scripts/build_possession_type_intel.py,217,False,no,
total_frames,scripts/build_possession_type_intel.py,218,False,no,
total_frames,scripts/build_possession_type_intel.py,224,False,no,
total_frames,scripts/build_possession_type_intel.py,266,False,no,
total_frames,scripts/build_possession_type_intel.py,275,False,no,
total_frames,scripts/build_possession_type_intel.py,395,False,no,
total_frames,scripts/build_possession_type_intel.py,409,False,no,
total_frames,scripts/build_possession_type_intel.py,436,False,no,
total_frames,scripts/build_possession_type_intel.py,498,False,no,
total_frames,scripts/build_possession_type_intel.py,507,False,no,
total_frames,scripts/build_possession_type_intel.py,515,False,no,
total_frames,scripts/build_possession_type_intel.py,539,False,no,
total_frames,scripts/build_possession_type_intel.py,553,False,no,
total_frames,scripts/build_possession_type_intel.py,563,False,no,
total_frames,scripts/build_possession_type_intel.py,582,False,no,
total_frames,scripts/build_possession_type_intel.py,585,False,no,
total_frames,scripts/build_possession_type_intel.py,713,False,no,
total_frames,scripts/build_possession_type_intel.py,760,False,no,
total_frames,scripts/build_possession_type_intel.py,771,False,no,
total_frames,scripts/build_q1_extrapolation_signals.py,101,False,no,
total_frames,scripts/build_q1_extrapolation_signals.py,102,False,no,
total_frames,scripts/build_q1_extrapolation_signals.py,106,False,no,
total_frames,scripts/build_q1_extrapolation_signals.py,107,False,no,
total_frames,scripts/build_quarter_momentum.py,337,False,no,
--frames,scripts/courtvision/cv_demo_replay.py,17,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/courtvision/cv_demo_replay.py,98,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/diagnose_pose_pipeline.py,14,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/diagnose_pose_pipeline.py,116,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/diagnostics/_bench_run.py,9,False,argv value unchanged; emitted only when explicit or legacy,
total_frames,scripts/diagnostics/_bench_run.py,30,False,no,
total_frames,scripts/diagnostics/_bench_run.py,53,False,no,
total_frames,scripts/diagnostics/_bench_run.py,63,False,no,
max_frames,scripts/diagnostics/_bench_run.py,75,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/diagnostics/_bench_run.py,77,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/diagnostics/_bench_run.py,92,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/diagnostics/_bench_run.py,96,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/diagnostics/_bench_run.py,101,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/diagnostics/_bench_run.py,101,False,no,
total_frames,scripts/diagnostics/_bench_run.py,105,False,no,
total_frames,scripts/diagnostics/_bench_run.py,110,False,no,
--frames,scripts/diagnostics/_bench_run.py,124,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/full_game_pipeline.py,426,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/full_game_pipeline.py,449,False,no,
max_frames,scripts/full_game_pipeline.py,471,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/full_game_pipeline.py,483,False,no,
total_frames,scripts/full_game_pipeline.py,487,False,no,
total_frames,scripts/full_game_pipeline.py,518,False,no,
total_frames,scripts/full_game_pipeline.py,680,False,no,
total_frames,scripts/full_game_pipeline.py,723,False,no,
max_frames,scripts/full_game_pipeline.py,830,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/full_game_pipeline.py,892,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/full_game_pipeline.py,907,False,no,
--frames,scripts/ingest_one_game.py,139,False,argv value unchanged; emitted only when explicit or legacy,
_SENTINEL,scripts/live_inplay_daemon.py,74,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/live_inplay_daemon.py,258,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/live_inplay_daemon.py,259,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/live_inplay_daemon.py,316,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/live_inplay_daemon.py,317,False,unchanged 3-tuple; read() tolerates both item widths,
max_frames,scripts/master_pipeline.py,224,False,unchanged meaning; stays an explicit EARLIER frame cap,
