frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,coordinate_space,observation,calibration
3253,108.433,5,green,349,1006,0.1025,0.588,0.0,0.0,0.0,paint,0,5.0,0.1,,none,,,349.0,1006.0,1,2,left,,1137.0,951.0,1206.0,1034.0,529,985,1.0,6.8,0.0,0,9.64,29.4,6.21,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.0,3.9,half_court,,,0.0,0,unknown,76.23005815880994,732.9159341970847,0.3333333333333333,green#?,,,0,7,1,image_px,observed,none
3253,108.433,7,white,153,1017,0.0449,0.5944,0.33,-1.34,0.0,paint,0,10.4,5.4,5.5,none,,,252.0,1012.0,2,1,left,,390.0,762.0,473.0,918.0,529,985,1.0,4.5,0.0,0,4.23,29.72,4.83,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.0,3.9,half_court,,,0.0,0,unknown,76.23005815880994,732.9159341970847,0.3333333333333333,white#?,,,0,7,1,image_px,observed,none
3253,108.433,6,white,351,1007,0.1031,0.5885,0.0,0.0,0.0,paint,0,5.0,0.1,5.5,none,,,252.0,1012.0,2,1,left,,1234.7651,927.0446,1310.3628,1033.6462,529,985,1.0,6.9,0.0,0,9.69,29.43,6.27,0,0,0,0.533,unclassified,1,0.0,0.0,,,4,,0.0,3.9,half_court,,,0.0,0,unknown,76.23005815880994,732.9159341970847,0.3333333333333333,white#?,,,0,7,1,image_px,observed,none
3256,108.533,5,green,349,1006,0.1025,0.588,0.0,0.0,0.0,paint,0,5.0,5.7,,none,,,349.0,1006.0,1,1,left,,1137.0,951.0,1206.0,1035.0,530,985,1.0,6.8,0.0,0,9.64,29.4,6.21,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.0,4.0,half_court,,,0.0,0,unknown,79.09906349426188,735.6023394309541,0.7453559924999299,green#?,,,0,10,1,image_px,observed,none
3256,108.533,7,white,144,1018,0.0423,0.595,3.02,2.69,173.7,paint,0,10.7,5.7,,none,,,144.0,1018.0,1,1,left,,390.0,768.0,471.0,916.0,530,985,1.0,4.5,-0.5,0,3.98,29.75,4.92,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.0,4.0,half_court,,,0.0,0,unknown,79.09906349426188,735.6023394309541,0.7453559924999299,white#?,,,0,10,1,image_px,observed,none
3379,112.633,5,green,349,1006,0.1025,0.588,0.0,0.0,0.0,paint,0,5.0,0.1,,none,,,349.0,1006.0,1,2,left,,1137.0,952.0,1205.0,1033.0,528,985,0.0,6.8,0.0,0,9.64,29.4,6.21,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.2,8.1,half_court,,,0.0,0,unknown,3.728926584578673e-12,,0.0,green#?,,,0,3,1,image_px,observed,none
3379,112.633,7,white,149,1017,0.0438,0.5944,0.0,-23.75,0.0,paint,0,10.5,5.5,5.6,none,,,250.0,1012.0,2,1,left,,389.0,771.0,468.0,918.0,528,985,0.0,4.5,0.0,0,4.11,29.72,4.85,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.2,8.1,half_court,,,0.0,0,unknown,3.728926584578673e-12,,0.0,white#?,,,0,3,1,image_px,observed,none
3379,112.633,8,white,351,1007,0.1031,0.5885,0.0,0.0,0.0,paint,0,4.9,0.1,5.6,none,,,250.0,1012.0,2,1,left,,1542.9767,923.85266,1620.9767,1034.797,528,985,0.0,6.9,0.0,0,9.69,29.43,6.27,0,0,0,0.667,unclassified,1,0.0,0.0,,,4,,0.2,8.1,half_court,,,0.0,0,unknown,3.728926584578673e-12,,0.0,white#?,,,0,3,1,image_px,observed,none
3382,112.733,5,green,349,1006,0.1025,0.588,0.0,0.0,0.0,paint,0,4.9,5.5,,none,,,349.0,1006.0,1,1,left,,1137.0,951.0,1205.0,1035.0,527,985,1.0,6.8,0.0,0,9.64,29.4,6.21,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.2,8.2,half_court,,,0.0,0,unknown,1.6294445393331213e-13,,0.3333333333333333,green#?,,,0,10,1,image_px,observed,none
3382,112.733,7,white,149,1017,0.0438,0.5944,0.0,0.0,0.0,paint,0,10.5,5.5,,none,,,149.0,1017.0,1,1,left,,390.0,774.0,467.0,918.0,527,985,1.0,4.5,0.0,0,4.11,29.72,4.85,0,0,0,1.0,unclassified,1,0.0,0.0,,,4,,0.2,8.2,half_court,,,0.0,0,unknown,1.6294445393331213e-13,,0.3333333333333333,white#?,,,0,10,1,image_px,observed,none
