frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,coordinate_space,observation,calibration
622,10.367,4,green,510,136,0.1498,0.0795,0.0,0.0,0.0,mid_range,0,9.1,7.1,9.1,none,36.5,36.5,324.0,361.0,0,0,left,9.4,-7.0,-11.0,290.0,250.0,391.0,442.0,159.2,22.2,0.0,0,14.08,3.97,22.81,0,0,36,1.0,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,green#?,,,0,25,1,image_px,observed,none
622,10.367,5,green,391,442,0.1149,0.2583,0.85,0.35,168.7,mid_range,1,0.0,9.4,9.0,none,36.5,36.5,324.0,361.0,0,0,left,9.4,480.0,-13.0,924.0,586.0,391.0,442.0,159.2,13.2,0.56,0,10.8,12.92,13.3,0,0,36,1.0,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,green#?,,,0,25,1,image_px,observed,none
622,10.367,10,white,59,520,0.0173,0.3039,0.0,0.0,0.0,mid_range,0,9.4,0.5,11.7,none,127.2,127.2,280.0,257.3,0,0,left,9.4,686.0,-14.0,1165.0,527.0,391.0,442.0,159.2,9.6,0.0,0,1.63,15.2,10.45,0,0,36,1.0,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,white#?,,,0,25,1,image_px,observed,none
622,10.367,2,green,71,505,0.0209,0.2951,0.0,0.0,0.0,mid_range,0,9.0,0.5,9.0,none,36.5,36.5,324.0,361.0,0,0,left,9.4,689.4166,16.673859,1105.2166,386.36517,391.0,442.0,159.2,9.9,0.0,0,1.96,14.76,10.76,0,0,36,0.933,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,green#?,,,0,25,1,image_px,observed,none
622,10.367,8,white,767,154,0.2253,0.09,0.0,0.0,0.0,3pt_arc,0,13.1,7.1,20.9,none,127.2,127.2,280.0,257.3,0,0,left,9.4,489.01443,-22.484985,1034.2485,575.8115,391.0,442.0,159.2,25.7,0.0,0,21.18,4.5,25.96,0,0,36,0.8,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,white#?,,,0,25,1,image_px,observed,none
622,10.367,7,white,14,98,0.0041,0.0573,8.73,0.08,246.4,corner_3,0,14.1,11.3,11.7,none,127.2,127.2,280.0,257.3,0,0,left,9.4,-139.10439,-299.96826,216.57085,106.01199,391.0,442.0,159.2,21.3,-8.5,0,0.39,2.86,22.66,0,0,36,0.733,cut,0,0.0,20.5,,,3,,0.0,0.0,half_court,,,0.0,0,unknown,9.52237121346303,52.78296076388111,0.8333333333333334,white#?,,,0,25,1,image_px,observed,none
628,10.467,4,green,510,136,0.1498,0.0795,0.0,0.0,0.0,mid_range,0,9.1,7.1,9.1,none,36.2,36.2,323.0,361.3,0,0,left,9.3,-12.0,-14.0,293.0,249.0,388.0,443.0,3.16,22.2,0.0,0,14.08,3.97,22.81,0,0,37,1.0,cut,0,0.0,20.4,,,3,,0.0,0.1,double_team,,,0.0,0,unknown,-13.622436655639884,50.81044457864152,0.1666666666666666,green#?,,,0,25,1,image_px,observed,none
628,10.467,5,green,388,443,0.114,0.2589,0.53,-0.32,161.6,mid_range,1,0.0,9.3,8.9,dribble,36.2,36.2,323.0,361.3,0,0,left,9.3,474.0,-12.0,924.0,587.0,388.0,443.0,3.16,13.1,0.39,0,10.71,12.95,13.24,0,0,37,1.0,cut,0,0.0,20.4,,,3,,0.0,0.1,double_team,,,0.0,0,unknown,-13.622436655639884,50.81044457864152,0.1666666666666666,green#?,,,1,25,1,image_px,observed,none
628,10.467,10,white,59,520,0.0173,0.3039,0.0,0.0,0.0,mid_range,0,9.3,0.5,9.0,none,88.4,88.4,304.3,290.0,0,0,left,9.3,682.0,-14.0,1212.0,580.0,388.0,443.0,3.16,9.6,0.0,0,1.63,15.2,10.45,0,0,37,1.0,cut,0,0.0,20.4,,,3,,0.0,0.1,double_team,,,0.0,0,unknown,-13.622436655639884,50.81044457864152,0.1666666666666666,white#?,,,0,25,1,image_px,observed,none
628,10.467,2,green,71,505,0.0209,0.2951,0.0,0.0,0.0,mid_range,0,8.9,0.5,8.9,none,36.2,36.2,323.0,361.3,0,0,left,9.3,858.8002,45.348206,1274.6,415.03952,388.0,443.0,3.16,9.9,0.0,0,1.96,14.76,10.76,0,0,37,0.867,cut,0,0.0,20.4,,,3,,0.0,0.1,double_team,,,0.0,0,unknown,-13.622436655639884,50.81044457864152,0.1666666666666666,green#?,,,0,25,1,image_px,observed,none
