frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,coordinate_space,observation,calibration
3021,50.4,1,green,366,837,0.1075,0.4892,2.39,2.39,155.2,paint,0,26.5,0.0,22.8,none,117.7,117.7,1349.0,389.0,1,1,left,,955.0,116.0,1027.0,285.0,1137,265,0.0,5.9,2.25,0,10.11,24.46,4.89,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,3,1,image_px,observed,none
3021,50.4,2,green,1981,3,0.582,0.0018,0.0,0.0,0.0,backcourt,0,24.4,9.6,5.9,none,117.7,117.7,1349.0,389.0,1,1,left,,141.0,117.0,211.0,240.0,1137,265,0.0,42.2,0.0,0,54.7,0.09,42.19,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,3,1,image_px,observed,none
3021,50.4,4,green,1121,505,0.3293,0.2951,0.0,0.0,0.0,3pt_arc,0,6.6,18.5,22.8,none,117.7,117.7,1349.0,389.0,1,1,left,,877.0,150.0,977.0,295.0,1137,265,0.0,28.4,0.0,0,30.96,14.76,27.67,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,3,1,image_px,observed,none
3021,50.4,7,white,1746,259,0.5129,0.1514,0.0,0.0,0.0,backcourt,0,16.8,5.2,41.3,none,,,1056.0,548.0,1,1,left,,811.0,171.0,895.0,319.0,1137,265,0.0,44.7,0.0,0,48.22,7.57,44.12,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,3,1,image_px,observed,none
3021,50.4,3,green,1928,211,0.5664,0.1233,30.8,29.29,345.6,backcourt,0,21.9,5.2,5.9,none,117.7,117.7,1349.0,389.0,1,1,left,,809.42444,170.72919,893.42444,319.14362,1137,265,0.0,40.6,23.46,0,53.24,6.17,40.19,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,3,1,image_px,observed,none
3021,50.4,6,white,366,837,0.1075,0.4892,0.0,0.0,0.0,paint,0,26.5,0.0,41.3,none,,,1056.0,548.0,1,1,left,,955.0,116.0,1027.0,285.0,1137,265,0.0,5.9,0.0,0,10.11,24.46,4.89,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,3,1,image_px,observed,none
3027,50.5,1,green,379,831,0.1113,0.4857,2.39,0.0,335.2,paint,0,26.1,0.4,28.7,none,118.2,118.2,1406.2,373.8,1,1,left,,955.0,115.0,1026.0,285.0,1137,265,0.0,6.3,-2.26,0,10.47,24.28,5.26,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,4,1,image_px,observed,none
3027,50.5,2,green,1981,3,0.582,0.0018,0.0,0.0,0.0,backcourt,0,24.4,6.0,6.1,none,118.2,118.2,1406.2,373.8,1,1,left,,141.0,118.0,211.0,240.0,1137,265,0.0,42.2,0.0,0,54.7,0.09,42.19,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,4,1,image_px,observed,none
3027,50.5,8,white,1121,505,0.3293,0.2951,0.0,0.0,0.0,3pt_arc,0,6.6,6.4,22.8,none,18.9,18.9,1137.0,518.7,1,1,left,,877.0,150.0,977.0,295.0,1137,265,0.0,28.4,0.0,0,30.96,14.76,27.67,0,0,0,1.0,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,4,1,image_px,observed,none
3027,50.5,4,green,1347,448,0.3957,0.2618,38.85,38.85,345.8,backcourt,0,7.7,6.4,17.1,none,118.2,118.2,1406.2,373.8,1,1,left,,877.0,149.95242,977.0,294.93512,1137,265,0.0,34.8,-38.72,0,37.2,13.09,34.09,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,green#?,,,0,4,1,image_px,observed,none
3027,50.5,7,white,1924,214,0.5652,0.1251,30.6,30.6,345.8,backcourt,0,21.8,0.2,23.6,none,18.9,18.9,1137.0,518.7,1,1,left,,811.0,171.0,895.0,319.0,1137,265,0.0,40.7,23.44,0,53.13,6.25,40.25,0,0,0,0.933,unclassified,0,0.0,0.0,,,4,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,white#?,,,0,4,1,image_px,observed,none
