frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,coordinate_space,observation,calibration
1935,64.5,1,green,1337,972,0.3928,0.5681,0.0,-10.05,0.0,backcourt,0,,5.5,9.8,none,109.6,109.6,1367.0,648.3,0,0,,,1137.0,369.0,1320.0,640.0,,,0.0,32.8,0.0,0,36.92,28.4,31.85,0,0,41,1.0,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,green#?,,,0,26,1,image_px,observed,none
1935,64.5,5,green,1080,726,0.3173,0.4243,0.0,0.0,0.0,3pt_arc,0,,1.2,9.8,none,109.6,109.6,1367.0,648.3,0,0,,,730.0,420.0,888.0,652.0,,,0.0,25.8,0.0,0,29.82,21.22,24.86,0,0,41,1.0,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,green#?,,,0,26,1,image_px,observed,none
1935,64.5,7,white,1166,1076,0.3425,0.6289,0.0,0.0,0.0,3pt_arc,0,,5.5,2.5,none,86.1,86.1,1299.7,693.7,0,0,,,831.0,273.0,942.0,487.0,,,0.0,28.6,0.0,0,32.2,31.44,27.71,0,0,41,1.0,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,white#?,,,0,26,1,image_px,observed,none
1935,64.5,8,white,1088,767,0.3196,0.4483,8.8,8.05,114.6,3pt_arc,0,,1.2,8.8,none,86.1,86.1,1299.7,693.7,0,0,,,1453.0,201.0,1639.0,403.0,,,0.0,25.9,4.4,0,30.04,22.41,24.93,0,0,41,1.0,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,white#?,,,0,26,1,image_px,observed,none
1935,64.5,9,white,1645,238,0.4833,0.1391,0.0,0.0,0.0,backcourt,0,,1.1,21.2,none,86.1,86.1,1299.7,693.7,0,0,,,1176.0,123.0,1251.0,205.0,,,0.0,44.6,0.0,0,45.43,6.95,44.04,0,0,41,1.0,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,white#?,,,0,26,1,image_px,observed,none
1935,64.5,4,green,1684,247,0.4947,0.1444,0.0,0.0,0.0,backcourt,0,,1.1,21.3,none,109.6,109.6,1367.0,648.3,0,0,,,993.0,302.0,1119.0,528.0,,,0.0,45.5,0.0,0,46.5,7.22,44.92,0,0,41,0.933,cut,0,0.0,20.0,,,4,,0.0,0.8,half_court,,,0.0,0,unknown,62.95195610832891,324.06407300568617,0.7453559924999299,green#?,,,0,26,1,image_px,observed,none
1938,64.6,1,green,1337,972,0.3928,0.5681,0.0,0.0,0.0,backcourt,0,,5.5,9.8,none,253.9,253.9,1458.0,781.0,0,0,,,829.0,285.0,970.0,497.0,,,0.0,32.8,0.0,0,36.92,28.4,31.85,0,0,42,1.0,cut,0,0.0,19.9,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,60.82615407617357,262.11648351658147,1.0540925533894598,green#?,,,0,27,1,image_px,observed,none
1938,64.6,3,green,1731,1179,0.5085,0.6891,0.0,0.0,0.0,backcourt,0,,15.0,12.3,none,253.9,253.9,1458.0,781.0,0,0,,,863.0,273.0,972.0,498.0,,,0.0,42.9,0.0,0,47.8,34.45,42.03,0,0,42,1.0,cut,0,0.0,19.9,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,60.82615407617357,262.11648351658147,1.0540925533894598,green#?,,,0,27,1,image_px,observed,none
1938,64.6,5,green,1080,726,0.3173,0.4243,0.0,0.0,0.0,3pt_arc,0,,3.2,9.8,none,253.9,253.9,1458.0,781.0,0,0,,,756.0,399.0,912.0,706.0,,,0.0,25.8,0.0,0,29.82,21.22,24.86,0,0,42,1.0,cut,0,0.0,19.9,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,60.82615407617357,262.11648351658147,1.0540925533894598,green#?,,,0,27,1,image_px,observed,none
1938,64.6,7,white,1166,1076,0.3425,0.6289,0.0,0.0,0.0,3pt_arc,0,,5.5,2.5,none,84.2,84.2,1287.7,718.0,0,0,,,1051.0,277.0,1207.0,534.0,,,0.0,28.6,0.0,0,32.2,31.44,27.71,0,0,42,1.0,cut,0,0.0,19.9,,,4,,0.0,0.9,half_court,,,0.0,0,unknown,60.82615407617357,262.11648351658147,1.0540925533894598,white#?,,,0,27,1,image_px,observed,none
