draw_kind,section_id,retained_path,retained_status,retained_bytes,retained_sha256,matches_g402_receipt,g402_sha256,pod_source_path,replay_start_frame,replay_frames,g402_width,g402_height,g402_avg_fps,readback_status,readback_width,readback_height,readback_frames,readback_fps_rational,readback_fps_float,dimensions_agree
1080p30,9sq-YMlIo9Q_s2346,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,RETAINED,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,118,300,1920,1080,29.97003,OK,1920,1080,4007,30000/1001,29.970030,1
1080p30,UCVSlzgun0o_s2298,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,RETAINED,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,468,300,1920,1080,29.97003,OK,1920,1080,3949,30000/1001,29.970030,1
1080p30,UCVSlzgun0o_s90,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s90.mp4,RETAINED,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,595,300,1920,1080,29.97003,OK,1920,1080,4075,30000/1001,29.970030,1
1080p30,Vm0FqeGo-8g_s1317,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s1317.mp4,RETAINED,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,819,300,1920,1080,29.97003,OK,1920,1080,3948,30000/1001,29.970030,1
1080p30,X5w3V6rh26s_s90,C:/Users/neelj/g402_receiver/X5w3V6rh26s_s90.mp4,RETAINED,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,1088,300,1920,1080,29.97003,OK,1920,1080,4195,30000/1001,29.970030,1
1080p30,Y1cgaIWW8gk_s2784,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s2784.mp4,RETAINED,68904225,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,1,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,1331,300,1920,1080,30.0,OK,1920,1080,4171,30/1,30.000000,1
1080p30,tFnl0NVn6FA_s2774,C:/Users/neelj/g402_receiver/tFnl0NVn6FA_s2774.mp4,RETAINED,69117769,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,1,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,/workspace/g364_scratch/val/tFnl0NVn6FA_s2774.mp4,1574,300,1920,1080,30.0,OK,1920,1080,4171,30/1,30.000000,1
1080p30,tFnl0NVn6FA_s90,C:/Users/neelj/g402_receiver/tFnl0NVn6FA_s90.mp4,RETAINED,65212592,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,1,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,1708,300,1920,1080,30.0,OK,1920,1080,4231,30/1,30.000000,1
1080p30,tZeqmc_-_sA_s2574,C:/Users/neelj/g402_receiver/tZeqmc_-_sA_s2574.mp4,RETAINED,75846958,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,1,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,1815,300,1920,1080,30.0,OK,1920,1080,4171,30/1,30.000000,1
1080p30,yZ5u2sOpiNU_s5214,C:/Users/neelj/g402_receiver/nba__yZ5u2sOpiNU_s5214.mp4,RETAINED,62680969,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,1,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,/workspace/g402_scratch/srcs/nba__yZ5u2sOpiNU_s5214.mp4,2089,300,1920,1080,29.97003,OK,1920,1080,3916,30000/1001,29.970030,1
