draw_j,source_name,retained_path,bytes,sha256,draw_digest,digest_matches_draw,height,time_base_reader_ffprobe,time_base_reader_mp4,time_base_agree,reader_ffprobe_frames,reader_mp4_samples_presented,reader_mp4_samples_total,reader_multiset_agree,reader_order_diff_count,first_pts_ffprobe,last_pts_ffprobe,missing_pts_count,status
0,basketball__acb-jHcR5UxPGuE_s90.mp4,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s90.mp4,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,True,720,1/90000,1/90000,True,7801,7801,7827,True,0,0,11701500,0,OK
1,basketball__acb-jHcR5UxPGuE_s3999.mp4,C:\Users\neelj\g401_receiver\sources\basketball__acb-jHcR5UxPGuE_s3999.mp4,52437550,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,True,720,1/90000,1/90000,True,7801,7801,7929,True,0,0,11700000,0,OK
2,nba__1rZZ_7buX_Y_s5474.mp4,C:\Users\neelj\g401_receiver\sources\nba__1rZZ_7buX_Y_s5474.mp4,95163842,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,True,1080,1/90000,1/90000,True,7787,7787,7952,True,102,0,11699084,0,OK
3,nba__3gBeJyl7Szg_s1196.mp4,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s1196.mp4,45350999,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,True,720,1/90000,1/90000,True,7801,7801,7817,True,131,0,11703000,0,OK
4,nba__3gBeJyl7Szg_s4514.mp4,C:\Users\neelj\g401_receiver\sources\nba__3gBeJyl7Szg_s4514.mp4,47733494,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,True,720,1/90000,1/90000,True,7801,7801,8081,True,161,0,11706000,0,OK
5,nba__FnbFGnX4Qgo_s2822.mp4,C:\Users\neelj\g401_receiver\sources\nba__FnbFGnX4Qgo_s2822.mp4,75623391,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,True,1080,1/90000,1/90000,True,7794,7794,7921,True,90,0,11707195,0,OK
6,nba__H1-Ns9IU-JM_s90.mp4,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s90.mp4,69118919,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,True,1080,1/90000,1/90000,True,7793,7793,8020,True,94,0,11699688,0,OK
7,nba__H1-Ns9IU-JM_s4314.mp4,C:\Users\neelj\g401_receiver\sources\nba__H1-Ns9IU-JM_s4314.mp4,82140964,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,True,1080,1/90000,1/90000,True,7793,7793,7975,True,86,0,11699688,0,OK
8,nba__Kh7Fj4ogPN4_s1262.mp4,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s1262.mp4,52342554,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,True,720,1/90000,1/90000,True,7793,7793,7886,True,0,0,11702691,0,OK
9,nba__Kh7Fj4ogPN4_s4778.mp4,C:\Users\neelj\g401_receiver\sources\nba__Kh7Fj4ogPN4_s4778.mp4,56755801,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,True,720,1/90000,1/90000,True,7793,7793,8197,True,0,0,11701190,0,OK
10,nba__Ktu6yFS9iMo_s1311.mp4,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s1311.mp4,50470689,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,True,720,1/90000,1/90000,True,7793,7793,7943,True,85,0,11702691,0,OK
11,nba__Ktu6yFS9iMo_s4974.mp4,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s4974.mp4,52661744,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,True,720,1/90000,1/90000,True,7794,7794,8016,True,119,0,11702691,0,OK
12,nba__L7o4UCIIqS4_s1373.mp4,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s1373.mp4,57231693,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,True,720,1/90000,1/90000,True,7793,7793,7903,True,0,0,11701190,0,OK
13,nba__L7o4UCIIqS4_s5222.mp4,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s5222.mp4,46736475,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,True,720,1/90000,1/90000,True,7794,7794,7873,True,0,0,11702691,0,OK
14,nba__oL9Uaie2v2A_s2438.mp4,C:\Users\neelj\g401_receiver\sources\nba__oL9Uaie2v2A_s2438.mp4,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,True,720,1/90000,1/90000,True,7794,7794,8018,True,0,0,11702691,0,OK
15,ncaa_basketball__6rQ2sV4upfc_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s90.mp4,54041007,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,True,720,1/90000,1/90000,True,7793,7793,8020,True,113,0,11701189,0,OK
16,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s4347.mp4,52188825,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,True,720,1/90000,1/90000,True,7793,7793,7825,True,100,0,11699688,0,OK
17,ncaa_basketball__7blRl4zVfrY_s2356.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__7blRl4zVfrY_s2356.mp4,56478743,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,True,720,1/90000,1/90000,True,7793,7793,7810,True,0,0,11699688,0,OK
