time_base,unit_per_frame,case,schedule,declared_reason,observed_reason,declared_first_excluded_index,observed_first_excluded_index,matches_declared
1/90000,1500,at_deadline,0 1500 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1500,one_unit_below,0 1500 8999999,EOF_SHORT,EOF_SHORT,,,True
1/90000,1500,one_unit_above,0 1500 9000001,DEADLINE,DEADLINE,2,2,True
1/90000,1500,duplicate,0 1500 1500 9000000,DEADLINE,DEADLINE,3,3,True
1/90000,1500,missing,0 1500 NA 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1500,backwards,0 1500 1499 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1500,dropped_deadline_neighbor,0 1500 9001500,DEADLINE,DEADLINE,2,2,True
1/90000,1500,skipped_by_stride,0 1500 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1501,at_deadline,0 1501 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1501,one_unit_below,0 1501 8999999,EOF_SHORT,EOF_SHORT,,,True
1/90000,1501,one_unit_above,0 1501 9000001,DEADLINE,DEADLINE,2,2,True
1/90000,1501,duplicate,0 1501 1501 9000000,DEADLINE,DEADLINE,3,3,True
1/90000,1501,missing,0 1501 NA 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1501,backwards,0 1501 1500 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1501,dropped_deadline_neighbor,0 1501 9001501,DEADLINE,DEADLINE,2,2,True
1/90000,1501,skipped_by_stride,0 1501 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1502,at_deadline,0 1502 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1502,one_unit_below,0 1502 8999999,EOF_SHORT,EOF_SHORT,,,True
1/90000,1502,one_unit_above,0 1502 9000001,DEADLINE,DEADLINE,2,2,True
1/90000,1502,duplicate,0 1502 1502 9000000,DEADLINE,DEADLINE,3,3,True
1/90000,1502,missing,0 1502 NA 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1502,backwards,0 1502 1501 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1502,dropped_deadline_neighbor,0 1502 9001502,DEADLINE,DEADLINE,2,2,True
1/90000,1502,skipped_by_stride,0 1502 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1503,at_deadline,0 1503 9000000,DEADLINE,DEADLINE,2,2,True
1/90000,1503,one_unit_below,0 1503 8999999,EOF_SHORT,EOF_SHORT,,,True
1/90000,1503,one_unit_above,0 1503 9000001,DEADLINE,DEADLINE,2,2,True
1/90000,1503,duplicate,0 1503 1503 9000000,DEADLINE,DEADLINE,3,3,True
1/90000,1503,missing,0 1503 NA 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1503,backwards,0 1503 1502 9000000,UNKNOWN,UNKNOWN,,,True
1/90000,1503,dropped_deadline_neighbor,0 1503 9001503,DEADLINE,DEADLINE,2,2,True
1/90000,1503,skipped_by_stride,0 1503 9000000,DEADLINE,DEADLINE,2,2,True
