draw_j,source_name,render,first_excluded_index
0,basketball__acb-jHcR5UxPGuE_s90.mp4,renders/card_0_basketball__acb-jHcR5UxPGuE_s90.mp4.txt,6000
1,basketball__acb-jHcR5UxPGuE_s3999.mp4,renders/card_1_basketball__acb-jHcR5UxPGuE_s3999.mp4.txt,6000
2,nba__1rZZ_7buX_Y_s5474.mp4,renders/card_2_nba__1rZZ_7buX_Y_s5474.mp4.txt,5990
3,nba__3gBeJyl7Szg_s1196.mp4,renders/card_3_nba__3gBeJyl7Szg_s1196.mp4.txt,6000
4,nba__3gBeJyl7Szg_s4514.mp4,renders/card_4_nba__3gBeJyl7Szg_s4514.mp4.txt,6000
5,nba__FnbFGnX4Qgo_s2822.mp4,renders/card_5_nba__FnbFGnX4Qgo_s2822.mp4.txt,5995
6,nba__H1-Ns9IU-JM_s90.mp4,renders/card_6_nba__H1-Ns9IU-JM_s90.mp4.txt,5995
7,nba__H1-Ns9IU-JM_s4314.mp4,renders/card_7_nba__H1-Ns9IU-JM_s4314.mp4.txt,5995
8,nba__Kh7Fj4ogPN4_s1262.mp4,renders/card_8_nba__Kh7Fj4ogPN4_s1262.mp4.txt,5995
9,nba__Kh7Fj4ogPN4_s4778.mp4,renders/card_9_nba__Kh7Fj4ogPN4_s4778.mp4.txt,5995
10,nba__Ktu6yFS9iMo_s1311.mp4,renders/card_10_nba__Ktu6yFS9iMo_s1311.mp4.txt,5995
11,nba__Ktu6yFS9iMo_s4974.mp4,renders/card_11_nba__Ktu6yFS9iMo_s4974.mp4.txt,5995
12,nba__L7o4UCIIqS4_s1373.mp4,renders/card_12_nba__L7o4UCIIqS4_s1373.mp4.txt,5995
13,nba__L7o4UCIIqS4_s5222.mp4,renders/card_13_nba__L7o4UCIIqS4_s5222.mp4.txt,5995
14,nba__oL9Uaie2v2A_s2438.mp4,renders/card_14_nba__oL9Uaie2v2A_s2438.mp4.txt,5995
15,ncaa_basketball__6rQ2sV4upfc_s90.mp4,renders/card_15_ncaa_basketball__6rQ2sV4upfc_s90.mp4.txt,5995
16,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,renders/card_16_ncaa_basketball__6rQ2sV4upfc_s4347.mp4.txt,5995
17,ncaa_basketball__7blRl4zVfrY_s2356.mp4,renders/card_17_ncaa_basketball__7blRl4zVfrY_s2356.mp4.txt,5995
18,ncaa_basketball__FyMWTVsJvv8_s90.mp4,renders/card_18_ncaa_basketball__FyMWTVsJvv8_s90.mp4.txt,5995
19,ncaa_basketball__FyMWTVsJvv8_s4332.mp4,renders/card_19_ncaa_basketball__FyMWTVsJvv8_s4332.mp4.txt,5995
20,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,renders/card_20_ncaa_basketball__Ge4uewCFUFQ_s2382.mp4.txt,5995
21,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,renders/card_21_ncaa_basketball__IpR4pT8iN0Y_s90.mp4.txt,5995
22,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,renders/card_22_ncaa_basketball__IpR4pT8iN0Y_s3603.mp4.txt,5995
23,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,renders/card_23_ncaa_basketball__KZK9rv9TnGE_s2858.mp4.txt,5995
24,ncaa_basketball__KZK9rv9TnGE_s7010.mp4,renders/card_24_ncaa_basketball__KZK9rv9TnGE_s7010.mp4.txt,5995
25,ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,renders/card_25_ncaa_basketball__dAy3tnlu3EQ_s2914.mp4.txt,5995
26,ncaa_basketball__qTXrSRHHR2M_s1176.mp4,renders/card_26_ncaa_basketball__qTXrSRHHR2M_s1176.mp4.txt,5995
27,ncaa_basketball__qTXrSRHHR2M_s4434.mp4,renders/card_27_ncaa_basketball__qTXrSRHHR2M_s4434.mp4.txt,5995
28,ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,renders/card_28_ncaa_basketball__s-0Y7aLxXgM_s1275.mp4.txt,5995
29,ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,renders/card_29_ncaa_basketball__s-0Y7aLxXgM_s4830.mp4.txt,5995
