card_id,draw_kind,box_id,det_id,iou,dx,dy,association_status,visual_adjudication
1080p30_02,1080p30,1080p30_02_r00,1080p30_02_d00,0.9534276043534009,-7.5,11.5,MATCHED,UNKNOWN
720p60_12,720p60,720p60_12_r01,720p60_12_d00,0.9192568774562344,-8.5,-2.75,MATCHED,UNKNOWN
1080p30_16,1080p30,1080p30_16_r00,1080p30_16_d00,0.9148969485012949,-9.406000000000006,9.296999999999997,MATCHED,UNKNOWN
720p60_12,720p60,720p60_12_r03,720p60_12_d01,0.905351127235035,-5.5,13.0,MATCHED,UNKNOWN
720p60_08,720p60,720p60_08_r00,720p60_08_d00,0.8995331527176595,-0.5,15.0,MATCHED,UNKNOWN
1080p30_22,1080p30,1080p30_22_r01,1080p30_22_d09,0.898288915198861,-20.61897500000009,-6.36248999999998,MATCHED,UNKNOWN
1080p30_14,1080p30,1080p30_14_r01,1080p30_14_d01,0.8948840005809365,-5.0,4.125,MATCHED,UNKNOWN
720p60_16,720p60,720p60_16_r00,720p60_16_d00,0.894770898619463,1.5,33.25,MATCHED,UNKNOWN
1080p30_10,1080p30,1080p30_10_r00,1080p30_10_d01,0.8868335787923417,-18.5,-1.8125,MATCHED,UNKNOWN
720p60_10,720p60,720p60_10_r00,720p60_10_d00,0.8862894741534566,-13.0,23.5,MATCHED,UNKNOWN
720p60_04,720p60,720p60_04_r03,720p60_04_d00,0.8834494916720744,-5.718999999999994,0.25,MATCHED,UNKNOWN
720p60_20,720p60,720p60_20_r04,720p60_20_d07,0.8790078861250693,3.0,4.0,MATCHED,UNKNOWN
720p60_29,720p60,720p60_29_r01,720p60_29_d02,0.8638623299956218,0.25,-4.5,MATCHED,UNKNOWN
1080p30_14,1080p30,1080p30_14_r00,1080p30_14_d00,0.8597931366336823,27.5,-2.75,MATCHED,UNKNOWN
720p60_29,720p60,720p60_29_r02,720p60_29_d01,0.8561712740272137,-2.0,-13.5625,MATCHED,UNKNOWN
720p60_29,720p60,720p60_29_r00,720p60_29_d00,0.8461698218707564,1.375,-5.5,MATCHED,UNKNOWN
1080p30_22,1080p30,1080p30_22_r00,1080p30_22_d02,0.8318740998403822,26.962200000000053,-8.14331500000003,MATCHED,UNKNOWN
1080p30_18,1080p30,1080p30_18_r02,1080p30_18_d00,0.82665385168917,-11.375,8.343999999999994,MATCHED,UNKNOWN
720p60_02,720p60,720p60_02_r01,720p60_02_d01,0.8230937743775167,39.81719999999996,-3.485779999999977,MATCHED,UNKNOWN
1080p30_27,1080p30,1080p30_27_r03,1080p30_27_d02,0.8154738580385132,0.25,1.375,MATCHED,UNKNOWN
1080p30_25,1080p30,1080p30_25_r00,1080p30_25_d05,0.8033954757755662,10.119180000000028,-20.2641000000001,MATCHED,UNKNOWN
720p60_04,720p60,720p60_04_r00,720p60_04_d02,0.8021544981088734,-8.5,-4.0,MATCHED,UNKNOWN
1080p30_20,1080p30,1080p30_20_r01,1080p30_20_d02,0.798349627592432,-7.860850000000028,6.940870000000018,MATCHED,UNKNOWN
1080p30_15,1080p30,1080p30_15_r01,1080p30_15_d00,0.7980233872254062,11.218200000000024,3.260324999999966,MATCHED,UNKNOWN
1080p30_06,1080p30,1080p30_06_r02,1080p30_06_d03,0.7849293563579278,7.875,-7.75,MATCHED,UNKNOWN
720p60_11,720p60,720p60_11_r05,720p60_11_d05,0.7562786816854401,0.0,0.5,MATCHED,UNKNOWN
720p60_12,720p60,720p60_12_r02,720p60_12_d03,0.7551451187335092,-3.25,34.25,MATCHED,UNKNOWN
1080p30_20,1080p30,1080p30_20_r00,1080p30_20_d05,0.7511073796357951,0.0,10.875,MATCHED,UNKNOWN
1080p30_13,1080p30,1080p30_13_r00,1080p30_13_d05,0.7478134110787172,0.0,1.25,MATCHED,UNKNOWN
1080p30_18,1080p30,1080p30_18_r04,1080p30_18_d05,0.7417831647828673,0.0,-0.75,MATCHED,UNKNOWN
1080p30_17,1080p30,1080p30_17_r02,1080p30_17_d03,0.7406987724268177,3.0,8.75,MATCHED,UNKNOWN
720p60_14,720p60,720p60_14_r00,720p60_14_d00,0.7256051521208083,10.0,-7.25,MATCHED,UNKNOWN
1080p30_12,1080p30,1080p30_12_r02,1080p30_12_d07,0.7198033707865169,13.0,9.875,MATCHED,UNKNOWN
720p60_11,720p60,720p60_11_r04,720p60_11_d01,0.717948717948718,-0.5,6.5,MATCHED,UNKNOWN
