card_id,box_id,det_id,iou,old_dx,old_dy,after_origin_dx,after_origin_dy
1080p30_01,1080p30_01_r02,1080p30_01_d01,0.566571,3.5,-49.625,3.5,10.375
1080p30_02,1080p30_02_r00,1080p30_02_d00,0.856033,0.0,-55.0,0.0,5.0
1080p30_06,1080p30_06_r02,1080p30_06_d03,0.501982,7.875,-67.75,7.875,-7.75
1080p30_07,1080p30_07_r05,1080p30_07_d04,0.5042,-17.375,-48.875,-17.375,11.125
1080p30_08,1080p30_08_r00,1080p30_08_d03,0.533138,14.5,-60.6875,14.5,-0.6875
1080p30_10,1080p30_10_r00,1080p30_10_d01,0.779467,-18.5,-58.3125,-18.5,1.6875
1080p30_12,1080p30_12_r02,1080p30_12_d07,0.544236,13.0,-50.125,13.0,9.875
1080p30_12,1080p30_12_r03,1080p30_12_d01,0.511471,9.0,-59.5,9.0,0.5
1080p30_13,1080p30_13_r00,1080p30_13_d05,0.581794,0.0,-58.75,0.0,1.25
1080p30_13,1080p30_13_r02,1080p30_13_d07,0.542854,1.375,-59.0,1.375,1.0
1080p30_14,1080p30_14_r01,1080p30_14_d01,0.80342,-5.0,-52.375,-5.0,7.625
1080p30_14,1080p30_14_r00,1080p30_14_d00,0.74857,20.0,-62.25,20.0,-2.25
1080p30_15,1080p30_15_r01,1080p30_15_d00,0.589449,11.218200000000024,-56.739675000000034,11.218200000000024,3.260324999999966
1080p30_16,1080p30_16_r00,1080p30_16_d00,0.695669,-9.406000000000006,-58.203,-9.406000000000006,1.796999999999997
1080p30_17,1080p30_17_r02,1080p30_17_d03,0.613832,3.0,-51.25,3.0,8.75
1080p30_17,1080p30_17_r01,1080p30_17_d01,0.532635,-1.75,-56.25,-1.75,3.75
1080p30_17,1080p30_17_r00,1080p30_17_d08,0.50459,-13.5,-58.343999999999994,-13.5,1.656000000000006
1080p30_18,1080p30_18_r02,1080p30_18_d00,0.62177,-11.375,-51.656000000000006,-11.375,8.343999999999994
1080p30_18,1080p30_18_r05,1080p30_18_d01,0.585901,9.0,-48.125,9.0,11.875
1080p30_18,1080p30_18_r04,1080p30_18_d05,0.512242,0.0,-60.75,0.0,-0.75
1080p30_20,1080p30_20_r01,1080p30_20_d02,0.614559,-7.860850000000028,-53.05912999999998,-7.860850000000028,6.940870000000018
1080p30_20,1080p30_20_r00,1080p30_20_d05,0.589201,0.0,-49.125,0.0,10.875
1080p30_21,1080p30_21_r01,1080p30_21_d00,0.529461,-18.875,-55.0,-18.875,5.0
1080p30_22,1080p30_22_r01,1080p30_22_d09,0.798374,-20.61897500000009,-66.36248999999998,-20.61897500000009,-6.36248999999998
1080p30_22,1080p30_22_r00,1080p30_22_d02,0.740028,26.962200000000053,-68.14331500000003,26.962200000000053,-8.14331500000003
1080p30_22,1080p30_22_r02,1080p30_22_d00,0.541149,-108.0,-90.75,-108.0,-30.75
1080p30_24,1080p30_24_r01,1080p30_24_d01,0.558892,24.0,-56.25,24.0,3.75
1080p30_24,1080p30_24_r03,1080p30_24_d00,0.501779,31.0,-50.125,31.0,9.875
1080p30_25,1080p30_25_r00,1080p30_25_d05,0.569174,10.119180000000028,-80.26409999999998,10.119180000000028,-20.264099999999985
1080p30_27,1080p30_27_r03,1080p30_27_d02,0.68907,0.25,-58.625,0.25,1.375
1080p30_27,1080p30_27_r01,1080p30_27_d04,0.542019,38.25,-70.75,38.25,-10.75
1080p30_29,1080p30_29_r00,1080p30_29_d01,0.54054,27.25,-56.125,27.25,3.875
720p60_02,720p60_02_r01,720p60_02_d01,0.723466,39.81719999999996,-66.09422419999999,39.81719999999996,-6.094224199999985
720p60_04,720p60_04_r03,720p60_04_d00,0.725522,-5.718999999999994,-59.75,-5.718999999999994,0.25
720p60_04,720p60_04_r01,720p60_04_d08,0.578148,1.0,-32.5,1.0,27.5
720p60_04,720p60_04_r00,720p60_04_d02,0.526404,-2.0,-64.0,-2.0,-4.0
720p60_08,720p60_08_r00,720p60_08_d00,0.818799,-0.5,-47.5,-0.5,12.5
720p60_10,720p60_10_r00,720p60_10_d00,0.832404,-8.0,-40.5,-8.0,19.5
720p60_11,720p60_11_r04,720p60_11_d01,0.581103,-0.5,-53.5,-0.5,6.5
720p60_11,720p60_11_r00,720p60_11_d04,0.510507,-3.5,-61.0,-3.5,-1.0
720p60_11,720p60_11_r05,720p60_11_d05,0.507268,0.0,-59.5,0.0,0.5
720p60_11,720p60_11_r03,720p60_11_d03,0.504736,0.0,-59.25,0.0,0.75
720p60_12,720p60_12_r03,720p60_12_d01,0.810602,-5.5,-51.0,-5.5,9.0
720p60_12,720p60_12_r02,720p60_12_d03,0.764215,-3.25,-32.75,-3.25,27.25
720p60_12,720p60_12_r01,720p60_12_d00,0.752955,-1.0,-59.25,-1.0,0.75
720p60_12,720p60_12_r00,720p60_12_d05,0.652888,55.0,-30.0,55.0,30.0
720p60_16,720p60_16_r00,720p60_16_d00,0.868462,9.0,-33.25,9.0,26.75
720p60_16,720p60_16_r01,720p60_16_d02,0.55205,59.0,-45.75,59.0,14.25
720p60_29,720p60_29_r00,720p60_29_d00,0.711505,1.375,-61.5,1.375,-1.5
720p60_29,720p60_29_r02,720p60_29_d01,0.707424,-2.0,-69.0625,-2.0,-9.0625
720p60_29,720p60_29_r01,720p60_29_d02,0.694904,0.25,-60.5,0.25,-0.5
