box_id,card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,player_id,position_source,source_branch,matched_event_id,matched_event_valid,repeated_coordinate,x_position,y_position,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_weight,mask_reason,native_width,native_height,native_form,transform_status,clip_left,clip_top,clip_right,clip_bottom,original_bbox_x1,original_bbox_y1,original_bbox_x2,original_bbox_y2,native_bbox_x1,native_bbox_y1,native_bbox_x2,native_bbox_y2,nominal_detector_form
1080p30_00_r00,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_225_1275_457_1377,1,0,178,987,1275.0,285.0,1377.0,517.0,1,CANDIDATE_ONLY,1920,1080,padded,OK,0,0,0,0,1275.0,225.0,1377.0,457.0,1275.0,285.0,1377.0,517.0,yes
1080p30_00_r01,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_211_647_421_737,1,0,917,246,647.0,271.0,737.0,481.0,1,CANDIDATE_ONLY,1920,1080,padded,OK,0,0,0,0,647.0,211.0,737.0,421.0,647.0,271.0,737.0,481.0,yes
1080p30_00_r02,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,366,859,820.0,425.0,988.0,667.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,820.0,365.0,988.0,607.0,820.0,425.0,988.0,667.0,yes
1080p30_00_r03,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,5,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_184_1527_399_1641,1,0,47,1102,1527.0,244.0,1641.0,459.0,1,CANDIDATE_ONLY,1920,1080,padded,OK,0,0,0,0,1527.0,184.0,1641.0,399.0,1527.0,244.0,1641.0,459.0,yes
1080p30_01_r00,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,111,1197,757.0,477.0,916.0,792.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,757.0,417.0,916.0,732.0,757.0,477.0,916.0,792.0,yes
1080p30_01_r01,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,8,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,12,1142,730.0,205.0,868.0,476.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,730.0,145.0,868.0,416.0,730.0,205.0,868.0,476.0,yes
1080p30_01_r02,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,9,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,376_200_1084_546_1224,1,0,180,1014,1084.0,260.0,1224.0,606.0,1,CANDIDATE_ONLY,1920,1080,padded,OK,0,0,0,0,1084.0,200.0,1224.0,546.0,1084.0,260.0,1224.0,606.0,yes
1080p30_01_r03,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,10,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,0,1093,54,1005.0,236.0,1116.0,482.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,1005.0,176.0,1116.0,422.0,1005.0,236.0,1116.0,482.0,yes
1080p30_02_r00,1080p30_02,1080p30,UCVSlzgun0o_s2298,468,768,474,5,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,3321,593,1320.0,60.0,1920,1079.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,1,1,0,1320.0,-13.0,1935.0,1019.0,1320.0,60.0,1920,1079.0,yes
1080p30_02_r01,1080p30_02,1080p30,UCVSlzgun0o_s2298,468,768,474,4,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,0,1,2465,575,1713.0,60.0,1920,564.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,1,1,0,1713.0,-15.0,1935.0,504.0,1713.0,60.0,1920,564.0,yes
1080p30_03_r00,1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,2,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,0,1,3187,796,149.0,319.0,257.0,537.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,149.0,259.0,257.0,477.0,149.0,319.0,257.0,537.0,yes
1080p30_03_r01,1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,5,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,3301,596,1197.0,789.0,1311.0,923.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,1197.0,729.0,1311.0,863.0,1197.0,789.0,1311.0,923.0,yes
1080p30_03_r02,1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,3021,610,759.43353,368.41528,876.71564,614.8299,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,759.43353,308.41528,876.71564,554.8299,759.43353,368.41528,876.71564,614.8299,yes
1080p30_04_r00,1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,2,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,0,861,1131,580.0,256.0,671.0,450.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,580.0,196.0,671.0,390.0,580.0,256.0,671.0,450.0,yes
1080p30_04_r01,1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,9,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,1126,804,588.0,257.0,681.0,445.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1920,1080,padded,OK,0,0,0,0,588.0,197.0,681.0,385.0,588.0,257.0,681.0,445.0,yes
