unit_set,unit_id,card_id,reason,status
producer,1080p30_02_r01,1080p30_02,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_03_r02,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_04_r00,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_04_r01,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_04_r02,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_05_r00,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_05_r03,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_06_r00,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_06_r05,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_07_r03,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_07_r04,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_10_r01,1080p30_10,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_11_r00,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_11_r01,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_11_r03,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_11_r04,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_12_r00,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_13_r03,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_14_r03,1080p30_14,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_15_r00,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_15_r02,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_15_r03,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
producer,1080p30_15_r04,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
