j,section_id,frame,render,old_point,shadow_point,identity_status,review_judgment,sha256
0,3eeaJz1PJTM_s90,3256,renders/card_00.jpg,"192,1016",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,4fe4b021f6639aeeab38c7b2e495a74c59e665425b9b93e807e6bbddefeedefb
1,Kh7Fj4ogPN4_s3606,1533,renders/card_01.jpg,"763,1002",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,5b0b709b6f5bffd27f40d8f642b4eea365936832c283c6c48e85b96d8c9c7df7
2,Ge4uewCFUFQ_s4674,4968,renders/card_02.jpg,"882,793",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,8ce953aff849afaaceb1357bf3b19edcee5f3b796ad53d408660bbab9261de1a
3,UCVSlzgun0o_s2298,546,renders/card_03.jpg,"3316,598",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,1e36ceaea38d3a93d14acc73066b5207b2d69d788c7abe35780cadaa5c6cffce
4,yZ5u2sOpiNU_s90,2311,renders/card_04.jpg,"188,199",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,7cfe15c89166f4034ed0d42e3605a0df0d454a904bb40caa196664d8c640afaa
5,Y1cgaIWW8gk_s2784,1340,renders/card_05.jpg,"1374,1214",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,20aadc9c3e9c3da0b635bccf7f7151ca2c8c65652e99711dd447dc98e296da07
6,4JS090XPhmM_s3537,2507,renders/card_06.jpg,"3280,400",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,5c7ef88770e7263b99986452b1704b72dc63dc23dd5616bd88b51a93fa69cf72
7,7blRl4zVfrY_s90,4110,renders/card_07.jpg,"293,374",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,890f134772323f4e96e1303a336f77d871723a6fd763d01d64fbb9e0a4d640f9
8,3eeaJz1PJTM_s3813,2993,renders/card_08.jpg,"391,859",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,1f61013d70af64bc7af625c029e9b96bb68a7e24381b8c096f95f4276048bead
9,J8pMOFvFlsU_s3972,3391,renders/card_09.jpg,"14,214",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,c644695e0b476b25c086c6d3ce6761edaf153d648154f833568298e60d15a34c
10,dAy3tnlu3EQ_s4326,5816,renders/card_10.jpg,"2300,830",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,ba585242722ace2ac7d6eaf49b36c0e090202312e4b4d1542d14597cc55b8427
11,KZK9rv9TnGE_s1474,4987,renders/card_11.jpg,"1504,109",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,6554f222e752e9feec140381ad2cebea06f12ddbf9cf60137b4365fc17390a8c
12,UCVSlzgun0o_s90,784,renders/card_12.jpg,"957,1032",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,6b6f6068b93d28e08d997cae6c7fddeb823a41112394638e58bb01fef37a69fb
13,xv0WyG7_99c_s4530,7095,renders/card_13.jpg,"3196,1202",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,b79a4bc58cafaabc9faa7524319126431256e18f5b382670d0633de5f8a90205
14,s-0Y7aLxXgM_s4830,6931,renders/card_14.jpg,"724,92",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,57425e10948bd6429277eea0b8e80860b46b9b94dbb940b48b032bff8f047605
15,Vm0FqeGo-8g_s1317,1056,renders/card_15.jpg,"594,380",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,a411d858d8c4a0064367a842c7cfc09a630ecac830dc31536e973aaa2982cb27
16,3gBeJyl7Szg_s90,1266,renders/card_16.jpg,"1531,260",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,3520688a062c8f3120b6c89aef82ce28dcba4cc3edd47cdafe43746e4e246362
17,X5w3V6rh26s_s90,1247,renders/card_17.jpg,"12,208",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,75f095af1c11707423e2b61444d832c2acfc8ea739eaf29061d4747b87ed72a6
18,Kh7Fj4ogPN4_s5950,1920,renders/card_18.jpg,"299,1242",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,bfeb6490a61831303d9518c4b34908a81ce8b461b44aeea53b6d6f63c67c2cbb
19,KZK9rv9TnGE_s4242,5429,renders/card_19.jpg,"2767,556",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,3d647e6786307c613772a5d455ea40ca695e79cdfae359c688ed27f4e178e65d
20,6rQ2sV4upfc_s90,3741,renders/card_20.jpg,"1231,1310",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,498740914f104fdaa461ea7ef62e6b8fc33e10565084955407a0e3e8a25c9843
21,tFnl0NVn6FA_s2774,1622,renders/card_21.jpg,"3230,1170",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,4ab0e980eaa46850f9be62e9f3eec853692189ab377a8bc2ce5fefab11c69125
22,9sq-YMlIo9Q_s2346,127,renders/card_22.jpg,"149,1020",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,4c1686a5d2119ce28eeb09c80e598bfc07f042806d58a7610badca435b5809b8
23,Ge4uewCFUFQ_s2382,4525,renders/card_23.jpg,"499,911",UNKNOWN,UNKNOWN_MISSING_CALL_IDENTITY,COURT_MAP_OLD_SHADOW_LABELLED,f98e3a78421ec8289049619c5cca7f2d5e1c597738d09a3c2f6a1edc1b5440b2
