clip,frame_index,g76_label
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,192,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,9408,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,13632,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,14784,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24000,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24384,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24576,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,27072,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1320,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,6240,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,6840,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,8640,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,9360,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,10200,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11280,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,17520,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,192,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,1728,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,3648,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,4032,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6336,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,13440,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21696,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,22848,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,3840,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,7680,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,8448,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,9216,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,13632,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15936,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,21696,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,27264,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1337,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2483,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2865,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4202,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5539,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6112,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,11460,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,12606,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,15089,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,16235,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,24639,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,3648,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,6720,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,12288,NOT_PAINT_SOLVABLE
