scope,clip,league,n,paint_solvable,paint_solvable_share,paint_wilson_95_lo,paint_wilson_95_hi,court_no_paint,court_no_paint_share,court_no_paint_wilson_95_lo,court_no_paint_wilson_95_hi,paint_temporal_deciles_occupied,clustering_verdict
clip,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,NCAA,150,103,0.6867,0.6086,0.7555,6,0.0400,0.0185,0.0845,10/10,SPREAD
clip,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,NCAA,150,98,0.6533,0.5742,0.7248,12,0.0800,0.0464,0.1346,10/10,SPREAD
clip,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,NCAA,150,104,0.6933,0.6155,0.7615,10,0.0667,0.0366,0.1184,10/10,SPREAD
clip,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,NCAA,150,61,0.4067,0.3313,0.4867,37,0.2467,0.1846,0.3214,10/10,SPREAD
clip,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,NCAA,150,82,0.5467,0.4668,0.6242,7,0.0467,0.0228,0.0932,10/10,SPREAD
clip,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,NCAA,150,101,0.6733,0.5948,0.7432,20,0.1333,0.0880,0.1970,10/10,SPREAD
clip,wnba__wnba_01,WNBA,150,96,0.6400,0.5606,0.7124,19,0.1267,0.0826,0.1894,10/10,SPREAD
clip,wnba__wnba_01_1080p,WNBA,150,98,0.6533,0.5742,0.7248,17,0.1133,0.0720,0.1740,10/10,SPREAD
clip,wnba__wnba_02,WNBA,150,107,0.7133,0.6364,0.7797,16,0.1067,0.0667,0.1662,10/10,SPREAD
clip,wnba__wnba_04,WNBA,150,68,0.4533,0.3758,0.5332,60,0.4000,0.3250,0.4800,10/10,SPREAD
clip,wnba__wnba_05,WNBA,150,111,0.7400,0.6644,0.8036,3,0.0200,0.0068,0.0571,10/10,SPREAD
league,NCAA,NCAA,900,549,0.6100,0.5777,0.6413,92,0.1022,0.0841,0.1237,,
league,WNBA,WNBA,750,480,0.6400,0.6050,0.6736,115,0.1533,0.1293,0.1809,,
pooled,all,NCAA+WNBA,1650,1029,0.6236,0.6000,0.6467,207,0.1255,0.1103,0.1423,,
