clip,source_frame,blind_label,blind_reason,render
tennis_09,7196,uncertain,not_identifiable_in_2x_render,renders/tennis_09_f7196.jpg
tennis_09,7040,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7040.jpg
tennis_09,7034,uncertain,not_identifiable_in_2x_render,renders/tennis_09_f7034.jpg
tennis_09,7202,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7202.jpg
tennis_09,7082,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7082.jpg
tennis_09,7244,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7244.jpg
tennis_09,6962,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f6962.jpg
tennis_09,7178,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7178.jpg
tennis_09,7208,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7208.jpg
tennis_09,7124,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7124.jpg
tennis_09,7214,uncertain,not_identifiable_in_2x_render,renders/tennis_09_f7214.jpg
tennis_09,7160,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7160.jpg
tennis_09,7148,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7148.jpg
tennis_09,7184,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7184.jpg
tennis_09,7022,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7022.jpg
tennis_09,7166,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7166.jpg
tennis_09,7226,uncertain,not_identifiable_in_2x_render,renders/tennis_09_f7226.jpg
tennis_09,7190,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7190.jpg
tennis_09,7100,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7100.jpg
tennis_09,7232,ball_visible,identifiable_ball_in_2x_render,renders/tennis_09_f7232.jpg
tennis_10,4063,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4063.jpg
tennis_10,4168,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4168.jpg
