source_frame,clip,crops_taken,boxes_available
S1_0060,soccer_DdnvC6-PGYY,3,12
S1_0002,soccer_AgspyOj5BPk,1,1
S1_0010,soccer_AgspyOj5BPk,3,12
S1_0063,soccer_DdnvC6-PGYY,3,3
soccer_DdnvC6-PGYY_w05_last,soccer_DdnvC6-PGYY,3,18
S1_0025,soccer_kSgNjoaqCpI_1080p,3,18
soccer_DdnvC6-PGYY_w04_first,soccer_DdnvC6-PGYY,3,16
S1_0085,soccer_kSgNjoaqCpI_1080p,3,17
S1_0038,soccer_AgspyOj5BPk,3,12
soccer_AgspyOj5BPk_w03_first,soccer_AgspyOj5BPk,3,18
S1_0045,soccer_AgspyOj5BPk,3,22
S1_0030,soccer_kSgNjoaqCpI_1080p,3,16
S1_0004,soccer_AgspyOj5BPk,3,5
soccer_AgspyOj5BPk_w01_first,soccer_AgspyOj5BPk,3,4
soccer_AgspyOj5BPk_w01_last,soccer_AgspyOj5BPk,3,11
S1_0016,soccer_DdnvC6-PGYY,3,16
S1_0083,soccer_kSgNjoaqCpI_1080p,3,21
soccer_AgspyOj5BPk_w02_first,soccer_AgspyOj5BPk,3,5
S1_0095,soccer_kSgNjoaqCpI_1080p,3,15
S1_0007,soccer_AgspyOj5BPk,3,17
S1_0035,soccer_kSgNjoaqCpI_1080p,3,17
S1_0036,soccer_kSgNjoaqCpI_1080p,3,17
S1_0078,soccer_DdnvC6-PGYY,3,8
S1_0097,soccer_kSgNjoaqCpI_1080p,3,23
soccer_kSgNjoaqCpI_1080p_w01_last,soccer_kSgNjoaqCpI_1080p,3,3
S1_0066,soccer_DdnvC6-PGYY,3,10
soccer_AgspyOj5BPk_w02_last,soccer_AgspyOj5BPk,3,23
soccer_DdnvC6-PGYY_w02_first,soccer_DdnvC6-PGYY,3,9
S1_0094,soccer_kSgNjoaqCpI_1080p,3,18
soccer_kSgNjoaqCpI_1080p_w04_first,soccer_kSgNjoaqCpI_1080p,3,14
S1_0089,soccer_kSgNjoaqCpI_1080p,3,10
S1_0032,soccer_kSgNjoaqCpI_1080p,3,17
S1_0018,soccer_DdnvC6-PGYY,3,5
S1_0067,soccer_DdnvC6-PGYY,3,16
soccer_AgspyOj5BPk_w04_last,soccer_AgspyOj5BPk,3,5
S1_0020,soccer_DdnvC6-PGYY,3,13
S1_0015,soccer_DdnvC6-PGYY,3,18
soccer_DdnvC6-PGYY_w01_first,soccer_DdnvC6-PGYY,3,12
S1_0065,soccer_DdnvC6-PGYY,3,16
S1_0072,soccer_DdnvC6-PGYY,3,14
soccer_kSgNjoaqCpI_1080p_w03_last,soccer_kSgNjoaqCpI_1080p,3,3
S1_0099,soccer_kSgNjoaqCpI_1080p,3,17
S1_0088,soccer_kSgNjoaqCpI_1080p,3,15
S1_0019,soccer_DdnvC6-PGYY,3,14
S1_0043,soccer_AgspyOj5BPk,1,1
soccer_kSgNjoaqCpI_1080p_w01_first,soccer_kSgNjoaqCpI_1080p,3,15
S1_0048,soccer_AgspyOj5BPk,3,21
S1_0062,soccer_DdnvC6-PGYY,3,13
soccer_DdnvC6-PGYY_w01_last,soccer_DdnvC6-PGYY,2,9
S1_0033,soccer_kSgNjoaqCpI_1080p,2,14
S1_0042,soccer_AgspyOj5BPk,1,1
S1_0076,soccer_DdnvC6-PGYY,2,13
S1_0017,soccer_DdnvC6-PGYY,2,14
S1_0084,soccer_kSgNjoaqCpI_1080p,2,16
S1_0057,soccer_AgspyOj5BPk,2,18
S1_0034,soccer_kSgNjoaqCpI_1080p,2,21
S1_0037,soccer_AgspyOj5BPk,2,5
S1_0056,soccer_AgspyOj5BPk,2,12
soccer_kSgNjoaqCpI_1080p_w04_last,soccer_kSgNjoaqCpI_1080p,2,11
S1_0100,soccer_kSgNjoaqCpI_1080p,2,19
soccer_kSgNjoaqCpI_1080p_w05_last,soccer_kSgNjoaqCpI_1080p,2,23
S1_0011,soccer_AgspyOj5BPk,2,10
S1_0092,soccer_kSgNjoaqCpI_1080p,2,14
S1_0008,soccer_AgspyOj5BPk,2,10
soccer_kSgNjoaqCpI_1080p_w02_first,soccer_kSgNjoaqCpI_1080p,2,18
S1_0052,soccer_AgspyOj5BPk,2,18
S1_0079,soccer_DdnvC6-PGYY,1,1
S1_0024,soccer_DdnvC6-PGYY,2,11
S1_0028,soccer_kSgNjoaqCpI_1080p,2,13
S1_0001,soccer_AgspyOj5BPk,2,6
S1_0039,soccer_AgspyOj5BPk,2,19
S1_0051,soccer_AgspyOj5BPk,2,13
