frame_id,clip,detector_observed_distinct_player_count
S1_0001,soccer_AgspyOj5BPk,6
S1_0002,soccer_AgspyOj5BPk,1
S1_0003,soccer_AgspyOj5BPk,19
S1_0004,soccer_AgspyOj5BPk,5
S1_0005,soccer_AgspyOj5BPk,13
S1_0006,soccer_AgspyOj5BPk,17
S1_0007,soccer_AgspyOj5BPk,17
S1_0008,soccer_AgspyOj5BPk,10
S1_0009,soccer_AgspyOj5BPk,22
S1_0010,soccer_AgspyOj5BPk,12
S1_0011,soccer_AgspyOj5BPk,10
S1_0012,soccer_AgspyOj5BPk,17
S1_0013,soccer_DdnvC6-PGYY,15
S1_0014,soccer_DdnvC6-PGYY,9
S1_0015,soccer_DdnvC6-PGYY,18
S1_0016,soccer_DdnvC6-PGYY,18
S1_0017,soccer_DdnvC6-PGYY,12
S1_0018,soccer_DdnvC6-PGYY,5
S1_0019,soccer_DdnvC6-PGYY,14
S1_0020,soccer_DdnvC6-PGYY,13
S1_0021,soccer_DdnvC6-PGYY,14
S1_0022,soccer_DdnvC6-PGYY,17
S1_0023,soccer_DdnvC6-PGYY,2
S1_0024,soccer_DdnvC6-PGYY,11
S1_0025,soccer_kSgNjoaqCpI_1080p,19
S1_0026,soccer_kSgNjoaqCpI_1080p,18
S1_0027,soccer_kSgNjoaqCpI_1080p,18
S1_0028,soccer_kSgNjoaqCpI_1080p,13
S1_0029,soccer_kSgNjoaqCpI_1080p,2
S1_0030,soccer_kSgNjoaqCpI_1080p,16
S1_0031,soccer_kSgNjoaqCpI_1080p,18
S1_0032,soccer_kSgNjoaqCpI_1080p,17
S1_0033,soccer_kSgNjoaqCpI_1080p,14
S1_0034,soccer_kSgNjoaqCpI_1080p,22
S1_0035,soccer_kSgNjoaqCpI_1080p,17
S1_0036,soccer_kSgNjoaqCpI_1080p,18
