frame_id,clip,raw_boxes,distinct_track_ids
S1_0037,soccer_AgspyOj5BPk,5,
S1_0038,soccer_AgspyOj5BPk,13,
S1_0039,soccer_AgspyOj5BPk,18,
S1_0040,soccer_AgspyOj5BPk,22,
S1_0041,soccer_AgspyOj5BPk,17,
S1_0042,soccer_AgspyOj5BPk,1,
S1_0043,soccer_AgspyOj5BPk,1,
S1_0044,soccer_AgspyOj5BPk,20,
S1_0045,soccer_AgspyOj5BPk,22,
S1_0046,soccer_AgspyOj5BPk,7,
S1_0047,soccer_AgspyOj5BPk,14,
S1_0048,soccer_AgspyOj5BPk,21,
S1_0049,soccer_AgspyOj5BPk,13,
S1_0050,soccer_AgspyOj5BPk,19,
S1_0051,soccer_AgspyOj5BPk,13,
S1_0052,soccer_AgspyOj5BPk,19,
S1_0053,soccer_AgspyOj5BPk,25,
S1_0054,soccer_AgspyOj5BPk,2,
S1_0055,soccer_AgspyOj5BPk,16,
S1_0056,soccer_AgspyOj5BPk,12,
S1_0057,soccer_AgspyOj5BPk,18,
S1_0058,soccer_AgspyOj5BPk,21,
S1_0059,soccer_DdnvC6-PGYY,8,
S1_0060,soccer_DdnvC6-PGYY,11,
S1_0061,soccer_DdnvC6-PGYY,4,
S1_0062,soccer_DdnvC6-PGYY,12,
S1_0063,soccer_DdnvC6-PGYY,3,
S1_0064,soccer_DdnvC6-PGYY,5,
S1_0065,soccer_DdnvC6-PGYY,18,
S1_0066,soccer_DdnvC6-PGYY,10,
S1_0067,soccer_DdnvC6-PGYY,16,
S1_0068,soccer_DdnvC6-PGYY,16,
S1_0069,soccer_DdnvC6-PGYY,8,
S1_0070,soccer_DdnvC6-PGYY,12,
S1_0071,soccer_DdnvC6-PGYY,18,
S1_0072,soccer_DdnvC6-PGYY,15,
S1_0073,soccer_DdnvC6-PGYY,10,
S1_0074,soccer_DdnvC6-PGYY,12,
S1_0075,soccer_DdnvC6-PGYY,5,
S1_0076,soccer_DdnvC6-PGYY,13,
S1_0077,soccer_DdnvC6-PGYY,3,
S1_0078,soccer_DdnvC6-PGYY,8,
S1_0079,soccer_DdnvC6-PGYY,1,
S1_0080,soccer_kSgNjoaqCpI_1080p,11,
S1_0081,soccer_kSgNjoaqCpI_1080p,12,
S1_0082,soccer_kSgNjoaqCpI_1080p,19,
S1_0083,soccer_kSgNjoaqCpI_1080p,22,
S1_0084,soccer_kSgNjoaqCpI_1080p,17,
S1_0085,soccer_kSgNjoaqCpI_1080p,17,
S1_0086,soccer_kSgNjoaqCpI_1080p,16,
S1_0087,soccer_kSgNjoaqCpI_1080p,1,
S1_0088,soccer_kSgNjoaqCpI_1080p,15,
S1_0089,soccer_kSgNjoaqCpI_1080p,11,
S1_0090,soccer_kSgNjoaqCpI_1080p,19,
S1_0091,soccer_kSgNjoaqCpI_1080p,10,
S1_0092,soccer_kSgNjoaqCpI_1080p,14,
S1_0093,soccer_kSgNjoaqCpI_1080p,16,
S1_0094,soccer_kSgNjoaqCpI_1080p,18,
S1_0095,soccer_kSgNjoaqCpI_1080p,15,
S1_0096,soccer_kSgNjoaqCpI_1080p,16,
S1_0097,soccer_kSgNjoaqCpI_1080p,23,
S1_0098,soccer_kSgNjoaqCpI_1080p,15,
S1_0099,soccer_kSgNjoaqCpI_1080p,16,
S1_0100,soccer_kSgNjoaqCpI_1080p,19,
